coef,value,var1,var2
a0,0.0,,
a1,112.03428292863754,BUILDING_WWR,
a2,-1126.6322187558308,ASPECT_RATIO,
a3,-71.54861277644187,AMPLIF_FACTOR,
a4,13593.244456586619,Shutter,
a5,-514.1431350850303,UROOF,
a6,-1879.8554893033918,UWALL,
a7,-603.8762083964704,USLAB,
a8,39.00753648213024,UWIN,
a9,-9647.571728199555,INFILTRATION_RATE,
a10,-976.8462287059351,NATURAL_VENT_RATE,
a11,-11682.938613192275,MECHANICAL_VENT_RATE,
a12,0.6393502500435773,BUILDING_WWR,BUILDING_WWR
a13,-18.50910075632143,BUILDING_WWR,ASPECT_RATIO
a14,-0.7296534537078117,BUILDING_WWR,AMPLIF_FACTOR
a15,239.85339239094986,BUILDING_WWR,Shutter
a16,-7.155405668810488,BUILDING_WWR,UROOF
a17,-10.992717549554868,BUILDING_WWR,UWALL
a18,-4.638154780442022,BUILDING_WWR,USLAB
a19,0.2888141942922857,BUILDING_WWR,UWIN
a20,-79.18063731032066,BUILDING_WWR,INFILTRATION_RATE
a21,-27.684677452532583,BUILDING_WWR,NATURAL_VENT_RATE
a22,-73.04368715204583,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,120.5272303400759,ASPECT_RATIO,ASPECT_RATIO
a24,9.156909323467573,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1668.2602495860438,ASPECT_RATIO,Shutter
a26,54.31144273126449,ASPECT_RATIO,UROOF
a27,132.69903011891108,ASPECT_RATIO,UWALL
a28,61.93029901834802,ASPECT_RATIO,USLAB
a29,-4.200086346364003,ASPECT_RATIO,UWIN
a30,921.9598154443082,ASPECT_RATIO,INFILTRATION_RATE
a31,305.5831220408129,ASPECT_RATIO,NATURAL_VENT_RATE
a32,845.618940088158,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.3940384662695635,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-93.88956501029261,AMPLIF_FACTOR,Shutter
a35,-0.5848062718177971,AMPLIF_FACTOR,UROOF
a36,2.006954711410799,AMPLIF_FACTOR,UWALL
a37,4.159322867231822,AMPLIF_FACTOR,USLAB
a38,-1.1718778062404454,AMPLIF_FACTOR,UWIN
a39,51.85219303551821,AMPLIF_FACTOR,INFILTRATION_RATE
a40,16.1418018790755,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,51.93293507188719,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,4998.44191245507,Shutter,Shutter
a43,-589.9735735937799,Shutter,UROOF
a44,-1463.738163392518,Shutter,UWALL
a45,-446.7214472061345,Shutter,USLAB
a46,-53.622281492266666,Shutter,UWIN
a47,-9448.883817859747,Shutter,INFILTRATION_RATE
a48,-2901.0441113539705,Shutter,NATURAL_VENT_RATE
a49,-9211.747650825118,Shutter,MECHANICAL_VENT_RATE
a50,84.16400490644241,UROOF,UROOF
a51,174.22067883488717,UROOF,UWALL
a52,-40.753520768799376,UROOF,USLAB
a53,66.54433940198328,UROOF,UWIN
a54,304.48400496348256,UROOF,INFILTRATION_RATE
a55,45.737336460959796,UROOF,NATURAL_VENT_RATE
a56,127.66850430958328,UROOF,MECHANICAL_VENT_RATE
a57,175.73526809124178,UWALL,UWALL
a58,-6.631209959019543,UWALL,USLAB
a59,22.104362114815785,UWALL,UWIN
a60,1161.8500191854905,UWALL,INFILTRATION_RATE
a61,228.1731435238471,UWALL,NATURAL_VENT_RATE
a62,1516.0169911148741,UWALL,MECHANICAL_VENT_RATE
a63,22.449278971107105,USLAB,USLAB
a64,46.654223732804894,USLAB,UWIN
a65,402.88125617892683,USLAB,INFILTRATION_RATE
a66,65.6498226208405,USLAB,NATURAL_VENT_RATE
a67,547.7737923016841,USLAB,MECHANICAL_VENT_RATE
a68,-23.516820041134906,UWIN,UWIN
a69,-246.4446157475261,UWIN,INFILTRATION_RATE
a70,-29.313284110335644,UWIN,NATURAL_VENT_RATE
a71,25.413824112606335,UWIN,MECHANICAL_VENT_RATE
a72,3448.1966062304346,INFILTRATION_RATE,INFILTRATION_RATE
a73,1720.0219760311518,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,8530.778726957957,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-147.15049074607487,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,1871.74924013981,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,3226.18021716939,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
