coef,value,var1,var2
a0,135.05304498393272,BUILDING_WWR,
a1,-1461.2926037462955,ASPECT_RATIO,
a2,-42.91241642905481,AMPLIF_FACTOR,
a3,19582.96302360293,Shutter,
a4,693.2461222491928,UROOF,
a5,-1353.6298868457984,UWALL,
a6,86.74266989552493,USLAB,
a7,1151.660177933185,UWIN,
a8,-6260.358776873054,INFILTRATION_RATE,
a9,1724.565691166216,NATURAL_VENT_RATE,
a10,-7514.7832995252265,MECHANICAL_VENT_RATE,
a11,0.4760492199593358,BUILDING_WWR,BUILDING_WWR
a12,-26.148056613762193,BUILDING_WWR,ASPECT_RATIO
a13,-0.7291549336123282,BUILDING_WWR,AMPLIF_FACTOR
a14,299.62771535757196,BUILDING_WWR,Shutter
a15,-7.122709435212016,BUILDING_WWR,UROOF
a16,-16.762022613536843,BUILDING_WWR,UWALL
a17,-6.192870973407452,BUILDING_WWR,USLAB
a18,0.7559774665406849,BUILDING_WWR,UWIN
a19,-69.88703651819247,BUILDING_WWR,INFILTRATION_RATE
a20,-21.460695574846,BUILDING_WWR,NATURAL_VENT_RATE
a21,-60.077893269597126,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,207.8482343903654,ASPECT_RATIO,ASPECT_RATIO
a23,11.403934750819758,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2478.0419023654777,ASPECT_RATIO,Shutter
a25,74.41719240295367,ASPECT_RATIO,UROOF
a26,246.15201355501085,ASPECT_RATIO,UWALL
a27,94.09166510391458,ASPECT_RATIO,USLAB
a28,-17.228881436298934,ASPECT_RATIO,UWIN
a29,1040.5633601772956,ASPECT_RATIO,INFILTRATION_RATE
a30,352.25994315895207,ASPECT_RATIO,NATURAL_VENT_RATE
a31,858.0860471911146,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.30160162832339665,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-108.1151986798559,AMPLIF_FACTOR,Shutter
a34,-1.5388109212617564,AMPLIF_FACTOR,UROOF
a35,3.4782514480311875,AMPLIF_FACTOR,UWALL
a36,3.950852183043935,AMPLIF_FACTOR,USLAB
a37,-1.7698144500218405,AMPLIF_FACTOR,UWIN
a38,34.19463280620835,AMPLIF_FACTOR,INFILTRATION_RATE
a39,6.466735950300972,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,38.37426717982635,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,3984.8697161532673,Shutter,Shutter
a42,-687.9104922774934,Shutter,UROOF
a43,-2540.992844509083,Shutter,UWALL
a44,-602.1845759891526,Shutter,USLAB
a45,-84.28770387831491,Shutter,UWIN
a46,-10071.255720672125,Shutter,INFILTRATION_RATE
a47,-2844.631216244341,Shutter,NATURAL_VENT_RATE
a48,-10280.151926328692,Shutter,MECHANICAL_VENT_RATE
a49,-69.22295705731528,UROOF,UROOF
a50,59.764941761314276,UROOF,UWALL
a51,-66.43484306099322,UROOF,USLAB
a52,-19.63982702899966,UROOF,UWIN
a53,129.55026515310897,UROOF,INFILTRATION_RATE
a54,-78.29135493537751,UROOF,NATURAL_VENT_RATE
a55,37.10158039195187,UROOF,MECHANICAL_VENT_RATE
a56,121.48736702208225,UWALL,UWALL
a57,53.18935865408392,UWALL,USLAB
a58,-50.006363949847874,UWALL,UWIN
a59,1406.9354094597336,UWALL,INFILTRATION_RATE
a60,104.38723118184805,UWALL,NATURAL_VENT_RATE
a61,2115.338570308779,UWALL,MECHANICAL_VENT_RATE
a62,-67.79980849849551,USLAB,USLAB
a63,6.3921290981911625,USLAB,UWIN
a64,268.80644902580514,USLAB,INFILTRATION_RATE
a65,0.350137663379428,USLAB,NATURAL_VENT_RATE
a66,428.2602939157924,USLAB,MECHANICAL_VENT_RATE
a67,-115.46505295265888,UWIN,UWIN
a68,-292.264317817663,UWIN,INFILTRATION_RATE
a69,-143.9926609874119,UWIN,NATURAL_VENT_RATE
a70,-173.62111191665957,UWIN,MECHANICAL_VENT_RATE
a71,1667.2354295910109,INFILTRATION_RATE,INFILTRATION_RATE
a72,854.593737000349,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,7263.195100331422,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-694.1541341596214,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,580.1562432633424,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,309.0735458926265,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
