coef,value,var1,var2
a0,0.0,,
a1,4023.0747734656197,BUILDING_WWR,
a2,-2365.691834057051,ASPECT_RATIO,
a3,-1121.2098120709602,AMPLIF_FACTOR,
a4,6413.465003381896,Shutter,
a5,-374.823034318066,UROOF,
a6,-1181.1097701110373,UWALL,
a7,-479.61301626172417,USLAB,
a8,-107.12300212291984,UWIN,
a9,-2096.4584480453527,INFILTRATION_RATE,
a10,-797.5585460823082,NATURAL_VENT_RATE,
a11,-1281.961259314065,MECHANICAL_VENT_RATE,
a12,261.6771542914452,BUILDING_WWR,BUILDING_WWR
a13,-923.8852996753153,BUILDING_WWR,ASPECT_RATIO
a14,-237.40305712111774,BUILDING_WWR,AMPLIF_FACTOR
a15,2757.083060048082,BUILDING_WWR,Shutter
a16,-156.47473193921974,BUILDING_WWR,UROOF
a17,-308.70748762589307,BUILDING_WWR,UWALL
a18,-158.22050665258826,BUILDING_WWR,USLAB
a19,29.64992458832171,BUILDING_WWR,UWIN
a20,-491.31062487714144,BUILDING_WWR,INFILTRATION_RATE
a21,-242.33308013747524,BUILDING_WWR,NATURAL_VENT_RATE
a22,-241.8846154623102,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,505.95033866929396,ASPECT_RATIO,ASPECT_RATIO
a24,275.69699975590834,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1516.780754191874,ASPECT_RATIO,Shutter
a26,126.09144278572167,ASPECT_RATIO,UROOF
a27,313.29543421917657,ASPECT_RATIO,UWALL
a28,176.90434948969482,ASPECT_RATIO,USLAB
a29,-28.3813840368598,ASPECT_RATIO,UWIN
a30,524.1879786293235,ASPECT_RATIO,INFILTRATION_RATE
a31,256.0937729805655,ASPECT_RATIO,NATURAL_VENT_RATE
a32,259.8953085523591,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,93.37361524448283,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-644.0543840419673,AMPLIF_FACTOR,Shutter
a35,-10.51091535909626,AMPLIF_FACTOR,UROOF
a36,25.01787356338886,AMPLIF_FACTOR,UWALL
a37,89.61002580165928,AMPLIF_FACTOR,USLAB
a38,-21.98574138156755,AMPLIF_FACTOR,UWIN
a39,204.8713503088427,AMPLIF_FACTOR,INFILTRATION_RATE
a40,83.58289645759508,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,125.3752497318369,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,384.8841565457501,Shutter,Shutter
a43,-249.27377273521924,Shutter,UROOF
a44,-783.4387248384196,Shutter,UWALL
a45,-280.2344026719787,Shutter,USLAB
a46,-25.109318178394005,Shutter,UWIN
a47,-1219.7068084753005,Shutter,INFILTRATION_RATE
a48,-501.9637444472386,Shutter,NATURAL_VENT_RATE
a49,-720.5631336785452,Shutter,MECHANICAL_VENT_RATE
a50,62.99588774969516,UROOF,UROOF
a51,143.05751392901658,UROOF,UWALL
a52,-45.133927558783625,UROOF,USLAB
a53,93.54866401828377,UROOF,UWIN
a54,97.04941603324448,UROOF,INFILTRATION_RATE
a55,18.68551028859497,UROOF,NATURAL_VENT_RATE
a56,5.9887019038409335,UROOF,MECHANICAL_VENT_RATE
a57,215.18144874139534,UWALL,UWALL
a58,48.00953057702395,UWALL,USLAB
a59,32.090145243556094,UWALL,UWIN
a60,401.5566665405307,UWALL,INFILTRATION_RATE
a61,96.95770380066938,UWALL,NATURAL_VENT_RATE
a62,309.6470885219385,UWALL,MECHANICAL_VENT_RATE
a63,28.576958900490837,USLAB,USLAB
a64,53.853142148022926,USLAB,UWIN
a65,137.7807863743426,USLAB,INFILTRATION_RATE
a66,37.43366715813812,USLAB,NATURAL_VENT_RATE
a67,122.06140138135879,USLAB,MECHANICAL_VENT_RATE
a68,-49.55857258370321,UWIN,UWIN
a69,-110.99290010062902,UWIN,INFILTRATION_RATE
a70,-16.70599424104404,UWIN,NATURAL_VENT_RATE
a71,-20.132028700610817,UWIN,MECHANICAL_VENT_RATE
a72,288.3969839633098,INFILTRATION_RATE,INFILTRATION_RATE
a73,159.91868157416826,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,463.7502007094522,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-71.05100661826305,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,97.29224979151343,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,99.78052267575038,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
