coef,value,var1,var2
a0,0.0,,
a1,125.932723809785,BUILDING_WWR,
a2,-1602.8106348531994,ASPECT_RATIO,
a3,-67.72591656136828,AMPLIF_FACTOR,
a4,19307.27156873585,Shutter,
a5,-547.3277221883524,UROOF,
a6,-2777.6335775535167,UWALL,
a7,-574.8689595361718,USLAB,
a8,58.120297800056264,UWIN,
a9,-9675.45412843665,INFILTRATION_RATE,
a10,-502.5551919396396,NATURAL_VENT_RATE,
a11,-11425.914300236227,MECHANICAL_VENT_RATE,
a12,0.5205669003975686,BUILDING_WWR,BUILDING_WWR
a13,-25.582556683099995,BUILDING_WWR,ASPECT_RATIO
a14,-0.6752984252165675,BUILDING_WWR,AMPLIF_FACTOR
a15,300.9889001223318,BUILDING_WWR,Shutter
a16,-6.929175863681337,BUILDING_WWR,UROOF
a17,-15.722474835958337,BUILDING_WWR,UWALL
a18,-5.5004770378002945,BUILDING_WWR,USLAB
a19,0.8105208016073675,BUILDING_WWR,UWIN
a20,-66.8494132155802,BUILDING_WWR,INFILTRATION_RATE
a21,-23.34335218643588,BUILDING_WWR,NATURAL_VENT_RATE
a22,-55.004356184410995,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,218.3167383477898,ASPECT_RATIO,ASPECT_RATIO
a24,11.368537408467603,ASPECT_RATIO,AMPLIF_FACTOR
a25,-2514.1677943530412,ASPECT_RATIO,Shutter
a26,81.91875503779085,ASPECT_RATIO,UROOF
a27,245.07645015485298,ASPECT_RATIO,UWALL
a28,92.20856939136365,ASPECT_RATIO,USLAB
a29,-12.81541193974445,ASPECT_RATIO,UWIN
a30,1079.0684707527244,ASPECT_RATIO,INFILTRATION_RATE
a31,372.88815026983275,ASPECT_RATIO,NATURAL_VENT_RATE
a32,881.6727071905952,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.354685217098222,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-106.50550758598456,AMPLIF_FACTOR,Shutter
a35,-0.6783518086390359,AMPLIF_FACTOR,UROOF
a36,4.185702629049047,AMPLIF_FACTOR,UWALL
a37,4.3197102592876035,AMPLIF_FACTOR,USLAB
a38,-0.9381704843362968,AMPLIF_FACTOR,UWIN
a39,41.82961661298941,AMPLIF_FACTOR,INFILTRATION_RATE
a40,12.062867980656733,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,42.80392580351736,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,3893.740168815417,Shutter,Shutter
a43,-661.1100533417672,Shutter,UROOF
a44,-2473.7236346689515,Shutter,UWALL
a45,-598.3637539847803,Shutter,USLAB
a46,-32.84615173294705,Shutter,UWIN
a47,-10044.070310057941,Shutter,INFILTRATION_RATE
a48,-2882.1299591869433,Shutter,NATURAL_VENT_RATE
a49,-9790.23897107269,Shutter,MECHANICAL_VENT_RATE
a50,70.45188626217532,UROOF,UROOF
a51,171.22701702133736,UROOF,UWALL
a52,-41.02652872472356,UROOF,USLAB
a53,62.84063777268125,UROOF,UWIN
a54,300.4863760788178,UROOF,INFILTRATION_RATE
a55,58.74408714546007,UROOF,NATURAL_VENT_RATE
a56,26.722269598743196,UROOF,MECHANICAL_VENT_RATE
a57,306.0240780906097,UWALL,UWALL
a58,50.432212892834286,UWALL,USLAB
a59,22.271588120798242,UWALL,UWIN
a60,1648.3370961589005,UWALL,INFILTRATION_RATE
a61,281.89067638734286,UWALL,NATURAL_VENT_RATE
a62,2090.8094794378367,UWALL,MECHANICAL_VENT_RATE
a63,15.94140259312644,USLAB,USLAB
a64,31.68615291227343,USLAB,UWIN
a65,376.29922235296203,USLAB,INFILTRATION_RATE
a66,63.28287568458836,USLAB,NATURAL_VENT_RATE
a67,527.0062619958086,USLAB,MECHANICAL_VENT_RATE
a68,-24.46364712394461,UWIN,UWIN
a69,-205.4440721672995,UWIN,INFILTRATION_RATE
a70,-22.167216664676744,UWIN,NATURAL_VENT_RATE
a71,-79.22742789896165,UWIN,MECHANICAL_VENT_RATE
a72,3005.086697051396,INFILTRATION_RATE,INFILTRATION_RATE
a73,1139.4979000207968,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,8002.839715092226,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-269.13916743106984,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,1111.7204011136946,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,3103.6332510396833,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
