coef,value,var1,var2
a0,84.85368364083718,BUILDING_WWR,
a1,-649.6630764192437,ASPECT_RATIO,
a2,-46.6377398482577,AMPLIF_FACTOR,
a3,8898.78555714176,Shutter,
a4,1158.7797276318472,UROOF,
a5,39.53066257395757,UWALL,
a6,-2926.7470083498865,USLAB,
a7,1166.819127907365,UWIN,
a8,-1387.0094066401762,INFILTRATION_RATE,
a9,534.6902592916991,NATURAL_VENT_RATE,
a10,-888.8576627004109,MECHANICAL_VENT_RATE,
a11,0.3328568321241665,BUILDING_WWR,BUILDING_WWR
a12,-9.556901795114499,BUILDING_WWR,ASPECT_RATIO
a13,-0.4225634277631656,BUILDING_WWR,AMPLIF_FACTOR
a14,111.27727778093289,BUILDING_WWR,Shutter
a15,-13.861524399041947,BUILDING_WWR,UROOF
a16,-2.90678157837933,BUILDING_WWR,UWALL
a17,-19.201825265628827,BUILDING_WWR,USLAB
a18,0.34950509923540096,BUILDING_WWR,UWIN
a19,-26.063802537015306,BUILDING_WWR,INFILTRATION_RATE
a20,-9.286369057063894,BUILDING_WWR,NATURAL_VENT_RATE
a21,-40.45727042656824,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,67.58710470275872,ASPECT_RATIO,ASPECT_RATIO
a23,4.218135218205475,ASPECT_RATIO,AMPLIF_FACTOR
a24,-852.3859499742365,ASPECT_RATIO,Shutter
a25,75.76616102787719,ASPECT_RATIO,UROOF
a26,26.290808038183542,ASPECT_RATIO,UWALL
a27,181.51590165309403,ASPECT_RATIO,USLAB
a28,-13.19445651860546,ASPECT_RATIO,UWIN
a29,218.74286025172339,ASPECT_RATIO,INFILTRATION_RATE
a30,128.4834313355668,ASPECT_RATIO,NATURAL_VENT_RATE
a31,325.8123031875507,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.3268208824832648,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-52.96971825484127,AMPLIF_FACTOR,Shutter
a34,-3.0986578105561193,AMPLIF_FACTOR,UROOF
a35,-1.7190099285535325,AMPLIF_FACTOR,UWALL
a36,16.43793154215882,AMPLIF_FACTOR,USLAB
a37,-1.9366345088037633,AMPLIF_FACTOR,UWIN
a38,16.79798880932526,AMPLIF_FACTOR,INFILTRATION_RATE
a39,5.317367623529208,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,22.093027279892112,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1705.6016603261216,Shutter,Shutter
a42,-947.2225650088099,Shutter,UROOF
a43,-178.20483156768242,Shutter,UWALL
a44,-1926.0862543999206,Shutter,USLAB
a45,70.59659995315519,Shutter,UWIN
a46,-2414.5337366677413,Shutter,INFILTRATION_RATE
a47,-1125.268913835624,Shutter,NATURAL_VENT_RATE
a48,-3868.492172322268,Shutter,MECHANICAL_VENT_RATE
a49,307.12636874494433,UROOF,UROOF
a50,-11.024238137466426,UROOF,UWALL
a51,-512.2399580559509,UROOF,USLAB
a52,-76.31325880092652,UROOF,UWIN
a53,-373.3963463148913,UROOF,INFILTRATION_RATE
a54,39.16942127076186,UROOF,NATURAL_VENT_RATE
a55,368.0883513087174,UROOF,MECHANICAL_VENT_RATE
a56,55.46432090461996,UWALL,UWALL
a57,267.01413123915415,UWALL,USLAB
a58,-54.532177605316974,UWALL,UWIN
a59,-329.55927252944576,UWALL,INFILTRATION_RATE
a60,85.99225722193717,UWALL,NATURAL_VENT_RATE
a61,-146.22326614775307,UWALL,MECHANICAL_VENT_RATE
a62,575.0503514531155,USLAB,USLAB
a63,-48.53626150861783,USLAB,UWIN
a64,1099.201591238079,USLAB,INFILTRATION_RATE
a65,329.66017769503685,USLAB,NATURAL_VENT_RATE
a66,1617.051977038298,USLAB,MECHANICAL_VENT_RATE
a67,-99.07620354013892,UWIN,UWIN
a68,-280.53404528813536,UWIN,INFILTRATION_RATE
a69,-43.90688360592094,UWIN,NATURAL_VENT_RATE
a70,-538.5185888727033,UWIN,MECHANICAL_VENT_RATE
a71,649.7203744455993,INFILTRATION_RATE,INFILTRATION_RATE
a72,178.29998971450664,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1354.7332416101663,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-468.07332332428336,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,169.8953035187622,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1631.1620405063936,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
