coef,value,var1,var2
a0,0.0,,
a1,107.49898914018573,BUILDING_WWR,
a2,-763.0928415749307,ASPECT_RATIO,
a3,-43.0191995689762,AMPLIF_FACTOR,
a4,11076.418480544295,Shutter,
a5,-844.258414008356,UROOF,
a6,-1410.4036619643173,UWALL,
a7,-4169.34816816022,USLAB,
a8,513.0574882885717,UWIN,
a9,-2582.23821490138,INFILTRATION_RATE,
a10,-970.6920718630596,NATURAL_VENT_RATE,
a11,-2301.784841000878,MECHANICAL_VENT_RATE,
a12,0.2275518625310582,BUILDING_WWR,BUILDING_WWR
a13,-10.670174298625128,BUILDING_WWR,ASPECT_RATIO
a14,-0.5682732026618282,BUILDING_WWR,AMPLIF_FACTOR
a15,140.26198924677726,BUILDING_WWR,Shutter
a16,-18.552877305462403,BUILDING_WWR,UROOF
a17,-4.1730502654049815,BUILDING_WWR,UWALL
a18,-18.665003269684604,BUILDING_WWR,USLAB
a19,0.7106034259311116,BUILDING_WWR,UWIN
a20,-20.45814704400277,BUILDING_WWR,INFILTRATION_RATE
a21,-5.249312861914063,BUILDING_WWR,NATURAL_VENT_RATE
a22,-30.7607102150983,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,93.42763749151192,ASPECT_RATIO,ASPECT_RATIO
a24,8.226511559786104,ASPECT_RATIO,AMPLIF_FACTOR
a25,-788.7287421384086,ASPECT_RATIO,Shutter
a26,58.20144008732245,ASPECT_RATIO,UROOF
a27,46.871911246227455,ASPECT_RATIO,UWALL
a28,142.31296128872285,ASPECT_RATIO,USLAB
a29,-7.661695489073395,ASPECT_RATIO,UWIN
a30,203.91630024338144,ASPECT_RATIO,INFILTRATION_RATE
a31,63.3851236468295,ASPECT_RATIO,NATURAL_VENT_RATE
a32,282.0806419250372,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,-0.02026512576503592,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-65.38241045031918,AMPLIF_FACTOR,Shutter
a35,-0.4431328875989493,AMPLIF_FACTOR,UROOF
a36,-0.6959236760553722,AMPLIF_FACTOR,UWALL
a37,15.578881855595,AMPLIF_FACTOR,USLAB
a38,-0.3836961373781378,AMPLIF_FACTOR,UWIN
a39,16.16522728843256,AMPLIF_FACTOR,INFILTRATION_RATE
a40,4.576635950816581,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,18.888821640985043,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,2320.663918859121,Shutter,Shutter
a43,-1248.984349584967,Shutter,UROOF
a44,-446.89750590169297,Shutter,UWALL
a45,-2495.0250608572346,Shutter,USLAB
a46,165.7668668815552,Shutter,UWIN
a47,-2815.2329255407276,Shutter,INFILTRATION_RATE
a48,-1027.4165125289803,Shutter,NATURAL_VENT_RATE
a49,-4353.97395324653,Shutter,MECHANICAL_VENT_RATE
a50,540.3446844900786,UROOF,UROOF
a51,119.42401615505787,UROOF,UWALL
a52,-388.5249417365021,UROOF,USLAB
a53,17.860191510049617,UROOF,UWIN
a54,153.08352009201815,UROOF,INFILTRATION_RATE
a55,255.6092737421734,UROOF,NATURAL_VENT_RATE
a56,496.53690164934295,UROOF,MECHANICAL_VENT_RATE
a57,232.42647372224133,UWALL,UWALL
a58,413.3337587463583,UWALL,USLAB
a59,-6.975670333190919,UWALL,UWIN
a60,-392.32680522175224,UWALL,INFILTRATION_RATE
a61,242.82419489591507,UWALL,NATURAL_VENT_RATE
a62,392.6774447805397,UWALL,MECHANICAL_VENT_RATE
a63,735.4944552383752,USLAB,USLAB
a64,-34.749942015434954,USLAB,UWIN
a65,1206.849291311738,USLAB,INFILTRATION_RATE
a66,447.7718202092083,USLAB,NATURAL_VENT_RATE
a67,1614.817312303369,USLAB,MECHANICAL_VENT_RATE
a68,-55.356681830151274,UWIN,UWIN
a69,-337.0855782362132,UWIN,INFILTRATION_RATE
a70,-19.910746615100834,UWIN,NATURAL_VENT_RATE
a71,-399.50108815085093,UWIN,MECHANICAL_VENT_RATE
a72,570.0292652853494,INFILTRATION_RATE,INFILTRATION_RATE
a73,166.6556629153094,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1124.747205603865,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-222.73472943388128,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,-38.870109616204914,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-1011.6454335041274,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
