coef,value,var1,var2
a0,0.0,,
a1,113.28055642502905,BUILDING_WWR,
a2,-952.1317580523336,ASPECT_RATIO,
a3,-36.268546730845024,AMPLIF_FACTOR,
a4,13251.490899962248,Shutter,
a5,-1290.3486216932538,UROOF,
a6,-1604.6931141599798,UWALL,
a7,-4624.493000945251,USLAB,
a8,463.35298184846584,UWIN,
a9,-3088.110001991183,INFILTRATION_RATE,
a10,-1433.1716668556535,NATURAL_VENT_RATE,
a11,-2936.565491955796,MECHANICAL_VENT_RATE,
a12,0.37789436883601013,BUILDING_WWR,BUILDING_WWR
a13,-15.621335223930402,BUILDING_WWR,ASPECT_RATIO
a14,-0.15069295307205266,BUILDING_WWR,AMPLIF_FACTOR
a15,166.1100279459347,BUILDING_WWR,Shutter
a16,-21.757012005654985,BUILDING_WWR,UROOF
a17,-4.527189955518452,BUILDING_WWR,UWALL
a18,-22.29929205599649,BUILDING_WWR,USLAB
a19,0.7232479801086242,BUILDING_WWR,UWIN
a20,-29.046735468711177,BUILDING_WWR,INFILTRATION_RATE
a21,-7.46475737941887,BUILDING_WWR,NATURAL_VENT_RATE
a22,-36.62840553295791,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,144.63979416799873,ASPECT_RATIO,ASPECT_RATIO
a24,1.5555184479546824,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1160.4842081006034,ASPECT_RATIO,Shutter
a26,100.67708020133591,ASPECT_RATIO,UROOF
a27,54.22201674047221,ASPECT_RATIO,UWALL
a28,229.55574684342264,ASPECT_RATIO,USLAB
a29,-10.812842968050404,ASPECT_RATIO,UWIN
a30,359.6173583049033,ASPECT_RATIO,INFILTRATION_RATE
a31,97.41736283376383,ASPECT_RATIO,NATURAL_VENT_RATE
a32,394.764290024341,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.07492535505707565,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-79.01777205685767,AMPLIF_FACTOR,Shutter
a35,-0.27019830311110127,AMPLIF_FACTOR,UROOF
a36,0.11858447565555252,AMPLIF_FACTOR,UWALL
a37,14.377740464622434,AMPLIF_FACTOR,USLAB
a38,-0.05975065929669654,AMPLIF_FACTOR,UWIN
a39,9.97491182219278,AMPLIF_FACTOR,INFILTRATION_RATE
a40,2.3492957139355894,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,10.171543454775929,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,2610.714285204146,Shutter,Shutter
a43,-1508.3743847911492,Shutter,UROOF
a44,-423.05357549918045,Shutter,UWALL
a45,-2823.9687436939507,Shutter,USLAB
a46,126.8496366470481,Shutter,UWIN
a47,-3171.0468799247137,Shutter,INFILTRATION_RATE
a48,-1099.9547868217542,Shutter,NATURAL_VENT_RATE
a49,-4525.011781766137,Shutter,MECHANICAL_VENT_RATE
a50,598.5933664972415,UROOF,UROOF
a51,170.55489369473526,UROOF,UWALL
a52,-401.3625792333096,UROOF,USLAB
a53,46.40688765730329,UROOF,UWIN
a54,306.80260060878675,UROOF,INFILTRATION_RATE
a55,341.79214337047347,UROOF,NATURAL_VENT_RATE
a56,467.0653694518106,UROOF,MECHANICAL_VENT_RATE
a57,252.06348783320732,UWALL,UWALL
a58,412.81870052416264,UWALL,USLAB
a59,19.9278682049885,UWALL,UWIN
a60,-390.5548603084932,UWALL,INFILTRATION_RATE
a61,274.9290270292338,UWALL,NATURAL_VENT_RATE
a62,171.2559700184933,UWALL,MECHANICAL_VENT_RATE
a63,813.4667227894486,USLAB,USLAB
a64,-22.132805211769664,USLAB,UWIN
a65,1267.090774091663,USLAB,INFILTRATION_RATE
a66,497.6481855619161,USLAB,NATURAL_VENT_RATE
a67,1994.5222758135146,USLAB,MECHANICAL_VENT_RATE
a68,-63.04331297126828,UWIN,UWIN
a69,-330.13783669440363,UWIN,INFILTRATION_RATE
a70,-8.58597174251463,UWIN,NATURAL_VENT_RATE
a71,-502.56134456097084,UWIN,MECHANICAL_VENT_RATE
a72,792.5054391028818,INFILTRATION_RATE,INFILTRATION_RATE
a73,246.31057974335522,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1361.8263886215848,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-155.1689451419345,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,148.69329538361848,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-640.5117906602695,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
