coef,value,var1,var2
a0,0.0,,
a1,2506.790849871174,BUILDING_WWR,
a2,-1385.6124468178834,ASPECT_RATIO,
a3,-735.4696847466557,AMPLIF_FACTOR,
a4,3733.143319695263,Shutter,
a5,-724.6181862995177,UROOF,
a6,-213.5828150261932,UWALL,
a7,-2351.3448916158195,USLAB,
a8,-38.089420687742745,UWIN,
a9,-757.5968638790346,INFILTRATION_RATE,
a10,-295.69809942495226,NATURAL_VENT_RATE,
a11,-491.5155488620637,MECHANICAL_VENT_RATE,
a12,234.7099777227034,BUILDING_WWR,BUILDING_WWR
a13,-516.4080259414474,BUILDING_WWR,ASPECT_RATIO
a14,-187.9204670433379,BUILDING_WWR,AMPLIF_FACTOR
a15,1723.7665359610478,BUILDING_WWR,Shutter
a16,-497.36357271245345,BUILDING_WWR,UROOF
a17,-134.7274793540857,BUILDING_WWR,UWALL
a18,-686.3885052672039,BUILDING_WWR,USLAB
a19,23.780147172131393,BUILDING_WWR,UWIN
a20,-212.01365904430816,BUILDING_WWR,INFILTRATION_RATE
a21,-80.15184507103311,BUILDING_WWR,NATURAL_VENT_RATE
a22,-169.0648217720283,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,255.28514816275373,ASPECT_RATIO,ASPECT_RATIO
a24,180.2452250709005,ASPECT_RATIO,AMPLIF_FACTOR
a25,-892.8625219930352,ASPECT_RATIO,Shutter
a26,168.91783491836466,ASPECT_RATIO,UROOF
a27,119.5516772784481,ASPECT_RATIO,UWALL
a28,575.0741782168138,ASPECT_RATIO,USLAB
a29,-25.20163110638009,ASPECT_RATIO,UWIN
a30,184.68691630664068,ASPECT_RATIO,INFILTRATION_RATE
a31,79.80606920017794,ASPECT_RATIO,NATURAL_VENT_RATE
a32,145.08864115375565,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,95.00190197535335,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-400.12249407139427,AMPLIF_FACTOR,Shutter
a35,-3.717662855740059,AMPLIF_FACTOR,UROOF
a36,10.929029811999044,AMPLIF_FACTOR,UWALL
a37,345.9294615133134,AMPLIF_FACTOR,USLAB
a38,-3.897904252657831,AMPLIF_FACTOR,UWIN
a39,103.65771725371332,AMPLIF_FACTOR,INFILTRATION_RATE
a40,32.79822197350211,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,73.09303124941545,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,276.491639132009,Shutter,Shutter
a43,-568.9957425379768,Shutter,UROOF
a44,-224.85212850794863,Shutter,UWALL
a45,-1262.5066596813836,Shutter,USLAB
a46,69.16798285073514,Shutter,UWIN
a47,-381.88542884450754,Shutter,INFILTRATION_RATE
a48,-170.8794645845054,Shutter,NATURAL_VENT_RATE
a49,-321.3420371669383,Shutter,MECHANICAL_VENT_RATE
a50,448.490435991567,UROOF,UROOF
a51,107.67222454883154,UROOF,UWALL
a52,-342.7338354916262,UROOF,USLAB
a53,44.51940086981426,UROOF,UWIN
a54,37.116765445824285,UROOF,INFILTRATION_RATE
a55,56.535282354166384,UROOF,NATURAL_VENT_RATE
a56,45.025111978097414,UROOF,MECHANICAL_VENT_RATE
a57,192.61687515974876,UWALL,UWALL
a58,459.66773251032777,UWALL,USLAB
a59,-20.303949309221935,UWALL,UWIN
a60,-51.53408838491737,UWALL,INFILTRATION_RATE
a61,131.24711986893385,UWALL,NATURAL_VENT_RATE
a62,35.47959815620951,UWALL,MECHANICAL_VENT_RATE
a63,925.2674325912348,USLAB,USLAB
a64,-29.723801333459676,USLAB,UWIN
a65,400.00016435511213,USLAB,INFILTRATION_RATE
a66,226.74830781665443,USLAB,NATURAL_VENT_RATE
a67,320.00613436323,USLAB,MECHANICAL_VENT_RATE
a68,-102.24506772639324,UWIN,UWIN
a69,-121.49680688211089,UWIN,INFILTRATION_RATE
a70,0.050293878941715775,UWIN,NATURAL_VENT_RATE
a71,-95.68774481335609,UWIN,MECHANICAL_VENT_RATE
a72,89.10801971585136,INFILTRATION_RATE,INFILTRATION_RATE
a73,35.47018418842083,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,73.66309722237861,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-29.050191816878524,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,-0.48178221478389105,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-58.02911677862767,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
