coef,value,var1,var2
a0,0.0,,
a1,1944.2337701901674,BUILDING_WWR,
a2,-789.7497064050792,ASPECT_RATIO,
a3,-735.3179367617315,AMPLIF_FACTOR,
a4,2674.9355256917984,Shutter,
a5,423.5489620041059,UROOF,
a6,-310.9320432281445,UWALL,
a7,-1107.8626779979015,USLAB,
a8,-41.283320809005545,UWIN,
a9,-910.2078305241615,INFILTRATION_RATE,
a10,-405.0737395330091,NATURAL_VENT_RATE,
a11,-548.9019162054658,MECHANICAL_VENT_RATE,
a12,216.08034122631705,BUILDING_WWR,BUILDING_WWR
a13,-382.14865983910744,BUILDING_WWR,ASPECT_RATIO
a14,-170.566669582967,BUILDING_WWR,AMPLIF_FACTOR
a15,1388.9913666982675,BUILDING_WWR,Shutter
a16,-127.16147637505198,BUILDING_WWR,UROOF
a17,-135.22912880478668,BUILDING_WWR,UWALL
a18,-385.83932218259963,BUILDING_WWR,USLAB
a19,23.962165157780845,BUILDING_WWR,UWIN
a20,-324.41380545068694,BUILDING_WWR,INFILTRATION_RATE
a21,-151.86484011839173,BUILDING_WWR,NATURAL_VENT_RATE
a22,-239.40084578163004,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,174.39874175219398,ASPECT_RATIO,ASPECT_RATIO
a24,109.9088433931301,ASPECT_RATIO,AMPLIF_FACTOR
a25,-563.1464168619134,ASPECT_RATIO,Shutter
a26,30.038662283010297,ASPECT_RATIO,UROOF
a27,107.57255196275426,ASPECT_RATIO,UWALL
a28,251.86284776376021,ASPECT_RATIO,USLAB
a29,-40.79443533666188,ASPECT_RATIO,UWIN
a30,168.5476582518079,ASPECT_RATIO,INFILTRATION_RATE
a31,94.78513882306154,ASPECT_RATIO,NATURAL_VENT_RATE
a32,117.46688325442017,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,124.71970336385778,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-352.30216882266916,AMPLIF_FACTOR,Shutter
a35,-4.766788699026563,AMPLIF_FACTOR,UROOF
a36,2.5519857208759618,AMPLIF_FACTOR,UWALL
a37,209.83317792777353,AMPLIF_FACTOR,USLAB
a38,-24.15827724913898,AMPLIF_FACTOR,UWIN
a39,163.2889394084899,AMPLIF_FACTOR,INFILTRATION_RATE
a40,63.05003667688146,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,104.05994706592764,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,299.4745489066876,Shutter,Shutter
a43,-132.7273520018993,Shutter,UROOF
a44,-184.62596175490407,Shutter,UWALL
a45,-615.8781894157173,Shutter,USLAB
a46,60.80950978481667,Shutter,UWIN
a47,-513.7216358277319,Shutter,INFILTRATION_RATE
a48,-246.78054004463456,Shutter,NATURAL_VENT_RATE
a49,-348.06073142781054,Shutter,MECHANICAL_VENT_RATE
a50,443.3958422534346,UROOF,UROOF
a51,-151.88580117696063,UROOF,UWALL
a52,-354.61017088772684,UROOF,USLAB
a53,-70.4191205606511,UROOF,UWIN
a54,-7.99074241361609,UROOF,INFILTRATION_RATE
a55,65.86901279793244,UROOF,NATURAL_VENT_RATE
a56,93.56628855325408,UROOF,MECHANICAL_VENT_RATE
a57,158.38056675496432,UWALL,UWALL
a58,182.06621565694923,UWALL,USLAB
a59,78.24270202483686,UWALL,UWIN
a60,37.564454344204705,UWALL,INFILTRATION_RATE
a61,97.06432598786587,UWALL,NATURAL_VENT_RATE
a62,57.65823830592808,UWALL,MECHANICAL_VENT_RATE
a63,417.62519402773347,USLAB,USLAB
a64,-31.66085858428994,USLAB,UWIN
a65,262.1371701042094,USLAB,INFILTRATION_RATE
a66,189.8909894228263,USLAB,NATURAL_VENT_RATE
a67,236.55741891011593,USLAB,MECHANICAL_VENT_RATE
a68,-5.246636761480829,UWIN,UWIN
a69,-92.8735087466269,UWIN,INFILTRATION_RATE
a70,-7.670800604993531,UWIN,NATURAL_VENT_RATE
a71,-51.333719298690085,UWIN,MECHANICAL_VENT_RATE
a72,81.92732588396052,INFILTRATION_RATE,INFILTRATION_RATE
a73,108.74107894886532,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,213.33434470439173,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.6548421951784462,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,120.89417376509931,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.07992106688226386,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
