coef,value,var1,var2
a0,143.28588378428424,BUILDING_WWR,
a1,-1379.4612003231587,ASPECT_RATIO,
a2,-54.736351415737836,AMPLIF_FACTOR,
a3,14231.805121551079,Shutter,
a4,1107.892040309691,UROOF,
a5,-174.32129181506022,UWALL,
a6,-1651.9704202909509,USLAB,
a7,619.7049087778693,UWIN,
a8,-2884.1853076287716,INFILTRATION_RATE,
a9,-193.9426391049742,NATURAL_VENT_RATE,
a10,-3691.4834958052643,MECHANICAL_VENT_RATE,
a11,0.20460153849955987,BUILDING_WWR,BUILDING_WWR
a12,-17.404027547683274,BUILDING_WWR,ASPECT_RATIO
a13,-0.5576191070543786,BUILDING_WWR,AMPLIF_FACTOR
a14,207.09656904742243,BUILDING_WWR,Shutter
a15,-10.690787651777029,BUILDING_WWR,UROOF
a16,-8.803311036921492,BUILDING_WWR,UWALL
a17,-18.016418213211338,BUILDING_WWR,USLAB
a18,0.5240550520126135,BUILDING_WWR,UWIN
a19,-54.94304753470004,BUILDING_WWR,INFILTRATION_RATE
a20,-17.06468857864013,BUILDING_WWR,NATURAL_VENT_RATE
a21,-67.94744431492029,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,158.99455345959166,ASPECT_RATIO,ASPECT_RATIO
a23,8.510149541402939,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1756.093415337581,ASPECT_RATIO,Shutter
a25,79.94122937415847,ASPECT_RATIO,UROOF
a26,95.06193967078764,ASPECT_RATIO,UWALL
a27,243.40642698618535,ASPECT_RATIO,USLAB
a28,-22.670465439321323,ASPECT_RATIO,UWIN
a29,674.9587740792838,ASPECT_RATIO,INFILTRATION_RATE
a30,273.0113353124109,ASPECT_RATIO,NATURAL_VENT_RATE
a31,752.3347417816894,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.3190417000918302,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-73.23903851885552,AMPLIF_FACTOR,Shutter
a34,-0.618009688829261,AMPLIF_FACTOR,UROOF
a35,-1.3230861302077415,AMPLIF_FACTOR,UWALL
a36,11.456837146892667,AMPLIF_FACTOR,USLAB
a37,-2.3056864471427616,AMPLIF_FACTOR,UWIN
a38,29.13316207872549,AMPLIF_FACTOR,INFILTRATION_RATE
a39,6.961793360689626,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,39.67233344613169,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2370.2148332324437,Shutter,Shutter
a42,-979.082736764761,Shutter,UROOF
a43,-730.428311426178,Shutter,UWALL
a44,-1963.587523266577,Shutter,USLAB
a45,77.47054231407992,Shutter,UWIN
a46,-5964.042881407859,Shutter,INFILTRATION_RATE
a47,-2036.3155290170787,Shutter,NATURAL_VENT_RATE
a48,-7013.688596424505,Shutter,MECHANICAL_VENT_RATE
a49,768.9713883839477,UROOF,UROOF
a50,-300.8077621962684,UROOF,UWALL
a51,-589.5103113983396,UROOF,USLAB
a52,-144.1787564024013,UROOF,UWIN
a53,-275.2105091894779,UROOF,INFILTRATION_RATE
a54,47.608456884251154,UROOF,NATURAL_VENT_RATE
a55,427.4816347784164,UROOF,MECHANICAL_VENT_RATE
a56,153.86741640244213,UWALL,UWALL
a57,209.0532618088631,UWALL,USLAB
a58,20.744143133781108,UWALL,UWIN
a59,56.93947884365468,UWALL,INFILTRATION_RATE
a60,82.59505858261446,UWALL,NATURAL_VENT_RATE
a61,79.8248899667962,UWALL,MECHANICAL_VENT_RATE
a62,333.72770406572135,USLAB,USLAB
a63,-29.257415517573918,USLAB,UWIN
a64,798.753854695667,USLAB,INFILTRATION_RATE
a65,296.09537212473174,USLAB,NATURAL_VENT_RATE
a66,1386.825886220627,USLAB,MECHANICAL_VENT_RATE
a67,-24.670187147734396,UWIN,UWIN
a68,-226.16607122859466,UWIN,INFILTRATION_RATE
a69,-28.995936101258906,UWIN,NATURAL_VENT_RATE
a70,-305.20660677967203,UWIN,MECHANICAL_VENT_RATE
a71,1138.6483817809858,INFILTRATION_RATE,INFILTRATION_RATE
a72,716.7113215766693,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3617.869379828893,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-341.9153740943475,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,1105.9401858026524,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1177.4198213233135,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
