coef,value,var1,var2
a0,0.0,,
a1,95.05463557831237,BUILDING_WWR,
a2,-1135.8749109419814,ASPECT_RATIO,
a3,-74.01116644239161,AMPLIF_FACTOR,
a4,13424.01170103683,Shutter,
a5,-680.6835781871201,UROOF,
a6,-1599.368114342107,UWALL,
a7,-2050.444207814848,USLAB,
a8,112.91675505151142,UWIN,
a9,-3752.7212961285104,INFILTRATION_RATE,
a10,-1571.3450654851852,NATURAL_VENT_RATE,
a11,-5099.026554851569,MECHANICAL_VENT_RATE,
a12,0.5032640808027793,BUILDING_WWR,BUILDING_WWR
a13,-20.093096324260024,BUILDING_WWR,ASPECT_RATIO
a14,-0.4720008359727341,BUILDING_WWR,AMPLIF_FACTOR
a15,233.69830414370165,BUILDING_WWR,Shutter
a16,-3.4507911804893183,BUILDING_WWR,UROOF
a17,-10.206597011974353,BUILDING_WWR,UWALL
a18,-16.977934182727864,BUILDING_WWR,USLAB
a19,0.7133933750537338,BUILDING_WWR,UWIN
a20,-47.02433585014742,BUILDING_WWR,INFILTRATION_RATE
a21,-12.784306491047118,BUILDING_WWR,NATURAL_VENT_RATE
a22,-55.07821410444308,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,180.1901189239627,ASPECT_RATIO,ASPECT_RATIO
a24,7.48117802520386,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1858.3481510790439,ASPECT_RATIO,Shutter
a26,36.32927735210234,ASPECT_RATIO,UROOF
a27,151.2270955813113,ASPECT_RATIO,UWALL
a28,230.8877485552232,ASPECT_RATIO,USLAB
a29,-20.92688486964167,ASPECT_RATIO,UWIN
a30,632.031805725097,ASPECT_RATIO,INFILTRATION_RATE
a31,194.73032309306637,ASPECT_RATIO,NATURAL_VENT_RATE
a32,638.8591127901482,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.3932893117448657,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-73.82068164515294,AMPLIF_FACTOR,Shutter
a35,1.7933381753787216,AMPLIF_FACTOR,UROOF
a36,1.5222073683469262,AMPLIF_FACTOR,UWALL
a37,11.120675988864932,AMPLIF_FACTOR,USLAB
a38,-0.7250201124015803,AMPLIF_FACTOR,UWIN
a39,30.435314240967273,AMPLIF_FACTOR,INFILTRATION_RATE
a40,7.795876845287694,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,35.741047541291664,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1839.206328350776,Shutter,Shutter
a43,-645.3364694461231,Shutter,UROOF
a44,-1074.9293032391615,Shutter,UWALL
a45,-1916.9377562546613,Shutter,USLAB
a46,118.60741244585154,Shutter,UWIN
a47,-5450.317747555492,Shutter,INFILTRATION_RATE
a48,-1636.8269473645082,Shutter,NATURAL_VENT_RATE
a49,-6170.012439083827,Shutter,MECHANICAL_VENT_RATE
a50,939.8114025383853,UROOF,UROOF
a51,-169.9388577333939,UROOF,UWALL
a52,-388.48222255061967,UROOF,USLAB
a53,-60.05746016476769,UROOF,UWIN
a54,91.14706196560394,UROOF,INFILTRATION_RATE
a55,123.90820441907721,UROOF,NATURAL_VENT_RATE
a56,359.79918681499583,UROOF,MECHANICAL_VENT_RATE
a57,258.0533684682505,UWALL,UWALL
a58,260.73833707954054,UWALL,USLAB
a59,58.54360781776404,UWALL,UWIN
a60,305.27661070686975,UWALL,INFILTRATION_RATE
a61,308.7437877166864,UWALL,NATURAL_VENT_RATE
a62,493.28920689348524,UWALL,MECHANICAL_VENT_RATE
a63,320.77650397008483,USLAB,USLAB
a64,-10.814048714022078,USLAB,UWIN
a65,687.200711012148,USLAB,INFILTRATION_RATE
a66,390.4957147563057,USLAB,NATURAL_VENT_RATE
a67,1095.4353961020195,USLAB,MECHANICAL_VENT_RATE
a68,-3.0570979318363243,UWIN,UWIN
a69,-190.70310665859176,UWIN,INFILTRATION_RATE
a70,-6.254561981463667,UWIN,NATURAL_VENT_RATE
a71,-146.1276178065744,UWIN,MECHANICAL_VENT_RATE
a72,931.0078773859224,INFILTRATION_RATE,INFILTRATION_RATE
a73,609.7817119754533,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,3481.9912351612247,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-103.04293816848585,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,1171.7571666137505,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-420.4999055426564,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
