coef,value,var1,var2
a0,0.0,,
a1,3367.739242603112,BUILDING_WWR,
a2,-1787.0210864523774,ASPECT_RATIO,
a3,-868.4300555262914,AMPLIF_FACTOR,
a4,4895.926031430124,Shutter,
a5,630.0042680160716,UROOF,
a6,-786.5585835109052,UWALL,
a7,-1537.965487629946,USLAB,
a8,-23.712121697149087,UWIN,
a9,-1123.7643037068303,INFILTRATION_RATE,
a10,-406.22722179802173,NATURAL_VENT_RATE,
a11,-672.5226848194293,MECHANICAL_VENT_RATE,
a12,242.03711960573168,BUILDING_WWR,BUILDING_WWR
a13,-695.4988089560377,BUILDING_WWR,ASPECT_RATIO
a14,-164.0897087650606,BUILDING_WWR,AMPLIF_FACTOR
a15,2239.5950856962863,BUILDING_WWR,Shutter
a16,88.07050775000934,BUILDING_WWR,UROOF
a17,-197.6536312775131,BUILDING_WWR,UWALL
a18,-445.3093990454256,BUILDING_WWR,USLAB
a19,25.121851488828497,BUILDING_WWR,UWIN
a20,-290.32271972185504,BUILDING_WWR,INFILTRATION_RATE
a21,-92.69799735479194,BUILDING_WWR,NATURAL_VENT_RATE
a22,-192.59564295231104,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,394.70599443602345,ASPECT_RATIO,ASPECT_RATIO
a24,178.63699969116655,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1088.0994033536904,ASPECT_RATIO,Shutter
a26,-3.868733365324772,ASPECT_RATIO,UROOF
a27,257.90432490092223,ASPECT_RATIO,UWALL
a28,396.2494477067627,ASPECT_RATIO,USLAB
a29,-40.4316211953186,ASPECT_RATIO,UWIN
a30,291.3573645680835,ASPECT_RATIO,INFILTRATION_RATE
a31,103.77241453271108,ASPECT_RATIO,NATURAL_VENT_RATE
a32,166.66776606811158,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,98.11447553189043,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-455.61435671368645,AMPLIF_FACTOR,Shutter
a35,43.68123625154345,AMPLIF_FACTOR,UROOF
a36,39.838011778966234,AMPLIF_FACTOR,UWALL
a37,215.90064135401747,AMPLIF_FACTOR,USLAB
a38,-13.054269243499334,AMPLIF_FACTOR,UWIN
a39,134.57227165241142,AMPLIF_FACTOR,INFILTRATION_RATE
a40,56.052207995476465,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,99.93734773046916,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,103.43255975232228,Shutter,Shutter
a43,-110.79803890522498,Shutter,UROOF
a44,-562.4728335553498,Shutter,UWALL
a45,-894.0867970831944,Shutter,USLAB
a46,71.88490121044848,Shutter,UWIN
a47,-615.9938570519149,Shutter,INFILTRATION_RATE
a48,-238.96488347243235,Shutter,NATURAL_VENT_RATE
a49,-425.07827318107127,Shutter,MECHANICAL_VENT_RATE
a50,595.5113681847504,UROOF,UROOF
a51,-41.270682141203906,UROOF,UWALL
a52,-258.1610934146902,UROOF,USLAB
a53,-65.3079719320806,UROOF,UWIN
a54,39.70424182398165,UROOF,INFILTRATION_RATE
a55,42.91262124021614,UROOF,NATURAL_VENT_RATE
a56,21.713450984060046,UROOF,MECHANICAL_VENT_RATE
a57,308.952281498498,UWALL,UWALL
a58,370.9688438269932,UWALL,USLAB
a59,77.32400230396911,UWALL,UWIN
a60,112.12982634723866,UWALL,INFILTRATION_RATE
a61,156.47026059509506,UWALL,NATURAL_VENT_RATE
a62,123.75141427302185,UWALL,MECHANICAL_VENT_RATE
a63,403.04358196935345,USLAB,USLAB
a64,-16.30823845824932,USLAB,UWIN
a65,216.43205211699728,USLAB,INFILTRATION_RATE
a66,193.92618991536773,USLAB,NATURAL_VENT_RATE
a67,200.77310836492825,USLAB,MECHANICAL_VENT_RATE
a68,-14.418631798226897,UWIN,UWIN
a69,-87.45865909354598,UWIN,INFILTRATION_RATE
a70,-7.078201729459465,UWIN,NATURAL_VENT_RATE
a71,-24.16251343123963,UWIN,MECHANICAL_VENT_RATE
a72,77.77140752982382,INFILTRATION_RATE,INFILTRATION_RATE
a73,67.1136196424834,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,159.07304614930288,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-15.815389247772373,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,69.89207245307244,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-15.875156481351112,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
