coef,value,var1,var2
a0,0.0,,
a1,5.741049623131065,BUILDING_WWR,
a2,-3.962599309094647,ASPECT_RATIO,
a3,-1.9773738794433795,AMPLIF_FACTOR,
a4,8.2721072380815,Shutter,
a5,0.21729271066372435,UROOF,
a6,0.28498273686485653,UWALL,
a7,-0.5782482616845076,USLAB,
a8,-0.034595983843175304,UWIN,
a9,-1.5464197772597998,INFILTRATION_RATE,
a10,-0.8616637943016913,NATURAL_VENT_RATE,
a11,-0.8399610847520225,MECHANICAL_VENT_RATE,
a12,0.571858871417211,BUILDING_WWR,BUILDING_WWR
a13,-1.7669397357530396,BUILDING_WWR,ASPECT_RATIO
a14,-0.20017582389514255,BUILDING_WWR,AMPLIF_FACTOR
a15,4.09088385246894,BUILDING_WWR,Shutter
a16,-0.17762524168161686,BUILDING_WWR,UROOF
a17,-0.36837102892002394,BUILDING_WWR,UWALL
a18,-0.11843180911290485,BUILDING_WWR,USLAB
a19,-0.012897602055848667,BUILDING_WWR,UWIN
a20,-0.3802982648273696,BUILDING_WWR,INFILTRATION_RATE
a21,-0.19215294480275413,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.23190457719897745,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,1.181353834525201,ASPECT_RATIO,ASPECT_RATIO
a24,0.3976915215002127,ASPECT_RATIO,AMPLIF_FACTOR
a25,-2.313821443428491,ASPECT_RATIO,Shutter
a26,0.041366740236785104,ASPECT_RATIO,UROOF
a27,0.11350954760869214,ASPECT_RATIO,UWALL
a28,0.16978730670507752,ASPECT_RATIO,USLAB
a29,-0.03488306292753307,ASPECT_RATIO,UWIN
a30,0.4069217855925691,ASPECT_RATIO,INFILTRATION_RATE
a31,0.24044215641439326,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.24961639880687292,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.19428145844240374,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.9404940469040235,AMPLIF_FACTOR,Shutter
a35,-0.13226137250897196,AMPLIF_FACTOR,UROOF
a36,-0.254224047934146,AMPLIF_FACTOR,UWALL
a37,0.1221387699716795,AMPLIF_FACTOR,USLAB
a38,-0.02967938055681406,AMPLIF_FACTOR,UWIN
a39,0.18701610179719919,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.0789241161406429,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.17063268961912037,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.4751596815930892,Shutter,Shutter
a43,-0.06615100877689584,Shutter,UROOF
a44,-0.18870204912434108,Shutter,UWALL
a45,-0.31364216340361173,Shutter,USLAB
a46,-0.0444528956854624,Shutter,UWIN
a47,-0.867124185203185,Shutter,INFILTRATION_RATE
a48,-0.5020341705158198,Shutter,NATURAL_VENT_RATE
a49,-0.4518684865829181,Shutter,MECHANICAL_VENT_RATE
a50,0.12749449132842328,UROOF,UROOF
a51,0.1298849442550682,UROOF,UWALL
a52,-0.11294346373469855,UROOF,USLAB
a53,0.0032552730798327545,UROOF,UWIN
a54,-0.05200241861970906,UROOF,INFILTRATION_RATE
a55,-0.004170403505591613,UROOF,NATURAL_VENT_RATE
a56,-0.015499372301748249,UROOF,MECHANICAL_VENT_RATE
a57,0.18074948286605774,UWALL,UWALL
a58,0.0013046020485342202,UWALL,USLAB
a59,-0.006424882459602488,UWALL,UWIN
a60,-0.04105233678286341,UWALL,INFILTRATION_RATE
a61,-0.010572097496998278,UWALL,NATURAL_VENT_RATE
a62,-0.017134050001583634,UWALL,MECHANICAL_VENT_RATE
a63,0.07513967583626302,USLAB,USLAB
a64,-0.002725740545436506,USLAB,UWIN
a65,0.14156466119984376,USLAB,INFILTRATION_RATE
a66,0.03154606405034599,USLAB,NATURAL_VENT_RATE
a67,0.11118486421547358,USLAB,MECHANICAL_VENT_RATE
a68,0.0051340739189873474,UWIN,UWIN
a69,-0.06911892822264365,UWIN,INFILTRATION_RATE
a70,-0.0027840056800056967,UWIN,NATURAL_VENT_RATE
a71,-0.05098685873005608,UWIN,MECHANICAL_VENT_RATE
a72,0.17278736830225183,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.1466277380312052,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.17715344106249575,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.016204836190009786,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.04960607922201987,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.028510123692031722,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
