coef,value,var1,var2
a0,0.0,,
a1,4.98249843626587,BUILDING_WWR,
a2,-2.201218419500911,ASPECT_RATIO,
a3,-1.9438393981602924,AMPLIF_FACTOR,
a4,6.981570875946228,Shutter,
a5,0.2618916834903522,UROOF,
a6,0.007723783031859055,UWALL,
a7,-0.5201376630787766,USLAB,
a8,-0.03987516627868137,UWIN,
a9,-1.4734471342873259,INFILTRATION_RATE,
a10,-0.8111421737590659,NATURAL_VENT_RATE,
a11,-0.8194665315829056,MECHANICAL_VENT_RATE,
a12,0.5721500797147611,BUILDING_WWR,BUILDING_WWR
a13,-1.18942143010786,BUILDING_WWR,ASPECT_RATIO
a14,-0.2596667282345918,BUILDING_WWR,AMPLIF_FACTOR
a15,3.6820742716104737,BUILDING_WWR,Shutter
a16,-0.18309742236740834,BUILDING_WWR,UROOF
a17,-0.3339448075013608,BUILDING_WWR,UWALL
a18,-0.15503791441852466,BUILDING_WWR,USLAB
a19,0.004149574615558316,BUILDING_WWR,UWIN
a20,-0.4412518419835976,BUILDING_WWR,INFILTRATION_RATE
a21,-0.22211492892479856,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.26536343333727364,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5574041315383089,ASPECT_RATIO,ASPECT_RATIO
a24,0.3357506883997068,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.4702605799904536,ASPECT_RATIO,Shutter
a26,0.06316775009004799,ASPECT_RATIO,UROOF
a27,0.14835516432901394,ASPECT_RATIO,UWALL
a28,0.13172384232546996,ASPECT_RATIO,USLAB
a29,-0.028115079166029525,ASPECT_RATIO,UWIN
a30,0.3370480661641974,ASPECT_RATIO,INFILTRATION_RATE
a31,0.19791600473444804,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.19366620099119236,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.2303281299324076,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.9319569233156563,AMPLIF_FACTOR,Shutter
a35,-0.15924250206829227,AMPLIF_FACTOR,UROOF
a36,-0.1860574773394884,AMPLIF_FACTOR,UWALL
a37,0.12234819175045736,AMPLIF_FACTOR,USLAB
a38,-0.036179101772887384,AMPLIF_FACTOR,UWIN
a39,0.1356441773014474,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.0751539742664793,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.1456589531968986,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.5833277319850234,Shutter,Shutter
a43,-0.1003216171073793,Shutter,UROOF
a44,-0.29841394635013385,Shutter,UWALL
a45,-0.3225264302870893,Shutter,USLAB
a46,-0.014905038265856652,Shutter,UWIN
a47,-0.8934201858504869,Shutter,INFILTRATION_RATE
a48,-0.47611609316059367,Shutter,NATURAL_VENT_RATE
a49,-0.4967512225373512,Shutter,MECHANICAL_VENT_RATE
a50,0.16923114762613078,UROOF,UROOF
a51,0.10435802789014637,UROOF,UWALL
a52,-0.10580498513409266,UROOF,USLAB
a53,0.015798539094965425,UROOF,UWIN
a54,-0.049426421805255805,UROOF,INFILTRATION_RATE
a55,-0.01179974939673023,UROOF,NATURAL_VENT_RATE
a56,-0.014802816744288072,UROOF,MECHANICAL_VENT_RATE
a57,0.16263446037752338,UWALL,UWALL
a58,0.017016358932951725,UWALL,USLAB
a59,0.003850697804610342,UWALL,UWIN
a60,-0.018621013245376794,UWALL,INFILTRATION_RATE
a61,0.013982592899563273,UWALL,NATURAL_VENT_RATE
a62,0.021439884689489652,UWALL,MECHANICAL_VENT_RATE
a63,0.056791009594455044,USLAB,USLAB
a64,0.026365156421023578,USLAB,UWIN
a65,0.11192620028832585,USLAB,INFILTRATION_RATE
a66,0.019314773637234106,USLAB,NATURAL_VENT_RATE
a67,0.10726428300688862,USLAB,MECHANICAL_VENT_RATE
a68,0.0019456411469714885,UWIN,UWIN
a69,-0.07875092243800941,UWIN,INFILTRATION_RATE
a70,-0.002584149332417629,UWIN,NATURAL_VENT_RATE
a71,-0.03898746266040698,UWIN,MECHANICAL_VENT_RATE
a72,0.16072991991099128,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.16764743135336424,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.19962044213064079,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.013297577726385179,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.04908501818785593,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.011070958938272035,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
