coef,value,var1,var2
a0,0.0,,
a1,7.76324550482727,BUILDING_WWR,
a2,-4.332611004911873,ASPECT_RATIO,
a3,-2.4741329229148383,AMPLIF_FACTOR,
a4,11.308758545411932,Shutter,
a5,0.012504665418097582,UROOF,
a6,-0.08250071233936551,UWALL,
a7,-0.7307398836855605,USLAB,
a8,-0.04799740685004705,UWIN,
a9,-1.694983901696265,INFILTRATION_RATE,
a10,-0.8990422223890671,NATURAL_VENT_RATE,
a11,-0.9303207597429761,MECHANICAL_VENT_RATE,
a12,0.6404605844211748,BUILDING_WWR,BUILDING_WWR
a13,-1.9480575114565393,BUILDING_WWR,ASPECT_RATIO
a14,-0.25563351547156454,BUILDING_WWR,AMPLIF_FACTOR
a15,5.513164417911275,BUILDING_WWR,Shutter
a16,-0.2082309009130876,BUILDING_WWR,UROOF
a17,-0.5071542783350069,BUILDING_WWR,UWALL
a18,-0.12169759547898984,BUILDING_WWR,USLAB
a19,-0.013758202385143026,BUILDING_WWR,UWIN
a20,-0.3849623611165802,BUILDING_WWR,INFILTRATION_RATE
a21,-0.17370470295086538,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.22777128374359412,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,1.1766193201459378,ASPECT_RATIO,ASPECT_RATIO
a24,0.4211183445217783,ASPECT_RATIO,AMPLIF_FACTOR
a25,-2.662682633436163,ASPECT_RATIO,Shutter
a26,0.07334632732312985,ASPECT_RATIO,UROOF
a27,0.28975476269923384,ASPECT_RATIO,UWALL
a28,0.14999864957849285,ASPECT_RATIO,USLAB
a29,-0.03246565031384896,ASPECT_RATIO,UWIN
a30,0.3673396253472906,ASPECT_RATIO,INFILTRATION_RATE
a31,0.19868949031146263,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.20535102209084788,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.2405380631612637,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-1.2103730683549037,AMPLIF_FACTOR,Shutter
a35,-0.15227840210598997,AMPLIF_FACTOR,UROOF
a36,-0.2931545479198236,AMPLIF_FACTOR,UWALL
a37,0.10991312272817799,AMPLIF_FACTOR,USLAB
a38,-0.030570495976014467,AMPLIF_FACTOR,UWIN
a39,0.13332013944884508,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.07746560429803173,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.11522501563082305,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.5083648099129743,Shutter,Shutter
a43,-0.17103812363716903,Shutter,UROOF
a44,-0.4926691594583916,Shutter,UWALL
a45,-0.4714183215207699,Shutter,USLAB
a46,-0.024623805974409052,Shutter,UWIN
a47,-1.0079935997883605,Shutter,INFILTRATION_RATE
a48,-0.5528705718165601,Shutter,NATURAL_VENT_RATE
a49,-0.5692909383364739,Shutter,MECHANICAL_VENT_RATE
a50,0.1512473903106073,UROOF,UROOF
a51,0.15293373134556287,UROOF,UWALL
a52,-0.14203683160042607,UROOF,USLAB
a53,0.04093476387910053,UROOF,UWIN
a54,-0.03088147892684212,UROOF,INFILTRATION_RATE
a55,0.02573651864974913,UROOF,NATURAL_VENT_RATE
a56,-0.005729520086714901,UROOF,MECHANICAL_VENT_RATE
a57,0.2753039354907796,UWALL,UWALL
a58,0.07185833939692315,UWALL,USLAB
a59,-0.02508522259840351,UWALL,UWIN
a60,-0.00794808936753677,UWALL,INFILTRATION_RATE
a61,0.01482892169685468,UWALL,NATURAL_VENT_RATE
a62,0.035932030089240286,UWALL,MECHANICAL_VENT_RATE
a63,0.09494276625488962,USLAB,USLAB
a64,0.00445928024360942,USLAB,UWIN
a65,0.14880754886698866,USLAB,INFILTRATION_RATE
a66,0.023540040498789327,USLAB,NATURAL_VENT_RATE
a67,0.1423842485164437,USLAB,MECHANICAL_VENT_RATE
a68,-0.01545559434329502,UWIN,UWIN
a69,-0.09383100142221723,UWIN,INFILTRATION_RATE
a70,0.0006988461591805883,UWIN,NATURAL_VENT_RATE
a71,-0.08514495113854448,UWIN,MECHANICAL_VENT_RATE
a72,0.14564188528002564,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.12237825193346501,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.11145561121994108,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.054858483613179465,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.0008301380069353215,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.01824493260726709,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
