coef,value,var1,var2
a0,0.0,,
a1,3.2781498014718435,BUILDING_WWR,
a2,-1.3295521414711247,ASPECT_RATIO,
a3,-1.849197402379891,AMPLIF_FACTOR,
a4,4.700969953488171,Shutter,
a5,1.7253816259969204,UROOF,
a6,0.5116066728657198,UWALL,
a7,-3.673169156649232,USLAB,
a8,-0.02116945986729135,UWIN,
a9,-0.8303621671597692,INFILTRATION_RATE,
a10,-0.4566151698180597,NATURAL_VENT_RATE,
a11,-0.5411333943254937,MECHANICAL_VENT_RATE,
a12,0.40868000300933166,BUILDING_WWR,BUILDING_WWR
a13,-0.6956936241219891,BUILDING_WWR,ASPECT_RATIO
a14,-0.2036904520352708,BUILDING_WWR,AMPLIF_FACTOR
a15,2.4676385395407086,BUILDING_WWR,Shutter
a16,-0.24171683833681523,BUILDING_WWR,UROOF
a17,-0.16752714476238273,BUILDING_WWR,UWALL
a18,-1.0674322200744868,BUILDING_WWR,USLAB
a19,0.003551358609524602,BUILDING_WWR,UWIN
a20,-0.17759534393402038,BUILDING_WWR,INFILTRATION_RATE
a21,-0.10226890593046524,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.20636159882957966,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.30601587209904446,ASPECT_RATIO,ASPECT_RATIO
a24,0.2401461479235909,ASPECT_RATIO,AMPLIF_FACTOR
a25,-0.8988611099824757,ASPECT_RATIO,Shutter
a26,0.09204843740930438,ASPECT_RATIO,UROOF
a27,0.08009921499426242,ASPECT_RATIO,UWALL
a28,0.560959165311965,ASPECT_RATIO,USLAB
a29,-0.027449316181387906,ASPECT_RATIO,UWIN
a30,0.09774616493347826,ASPECT_RATIO,INFILTRATION_RATE
a31,0.08702902765982246,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.12479595005233657,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.20124966402295597,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.6160262370098147,AMPLIF_FACTOR,Shutter
a35,-0.42222209671818833,AMPLIF_FACTOR,UROOF
a36,-0.16996656783135755,AMPLIF_FACTOR,UWALL
a37,0.6340782631772685,AMPLIF_FACTOR,USLAB
a38,-0.04157814203078558,AMPLIF_FACTOR,UWIN
a39,0.1015179439697956,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.08331351931226089,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.05308225058950411,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.22886836447312164,Shutter,Shutter
a43,-0.15884693356200752,Shutter,UROOF
a44,-0.02529563568641402,Shutter,UWALL
a45,-1.6619644424252353,Shutter,USLAB
a46,0.05895204844309809,Shutter,UWIN
a47,-0.4126937420036484,Shutter,INFILTRATION_RATE
a48,-0.24226338729482655,Shutter,NATURAL_VENT_RATE
a49,-0.283348327516864,Shutter,MECHANICAL_VENT_RATE
a50,0.8727467711890176,UROOF,UROOF
a51,0.07153535232167907,UROOF,UWALL
a52,-0.9959046959773574,UROOF,USLAB
a53,-0.03853773417901385,UROOF,UWIN
a54,-0.2200729807256937,UROOF,INFILTRATION_RATE
a55,-0.02193800639601509,UROOF,NATURAL_VENT_RATE
a56,-0.05147368366792349,UROOF,MECHANICAL_VENT_RATE
a57,0.2878592919004803,UWALL,UWALL
a58,0.12229115051285555,UWALL,USLAB
a59,-0.027597640158347543,UWALL,UWIN
a60,-0.07845180588499284,UWALL,INFILTRATION_RATE
a61,0.06660866861318049,UWALL,NATURAL_VENT_RATE
a62,-0.08112395454814214,UWALL,MECHANICAL_VENT_RATE
a63,1.3905406145343555,USLAB,USLAB
a64,-0.028843121955823392,USLAB,UWIN
a65,0.5264791784286995,USLAB,INFILTRATION_RATE
a66,0.3311368913457384,USLAB,NATURAL_VENT_RATE
a67,0.35606235027211325,USLAB,MECHANICAL_VENT_RATE
a68,-0.10445255786310725,UWIN,UWIN
a69,-0.12464369822236077,UWIN,INFILTRATION_RATE
a70,0.010774861769469957,UWIN,NATURAL_VENT_RATE
a71,-0.08647264417088614,UWIN,MECHANICAL_VENT_RATE
a72,0.10035366970659765,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.0512092477485806,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.08619126027635268,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.06479660090778372,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.06387381192694218,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.06061568594594635,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
