coef,value,var1,var2
a0,0.0,,
a1,3.2793214919878677,BUILDING_WWR,
a2,-1.3290319900680876,ASPECT_RATIO,
a3,-1.8491076908188653,AMPLIF_FACTOR,
a4,4.701828607032857,Shutter,
a5,1.725585304167514,UROOF,
a6,0.5120554366456529,UWALL,
a7,-3.6744888937867883,USLAB,
a8,-0.020522052951451597,UWIN,
a9,-0.8299520004646768,INFILTRATION_RATE,
a10,-0.457630887985193,NATURAL_VENT_RATE,
a11,-0.5410262122171325,MECHANICAL_VENT_RATE,
a12,0.40875954939606396,BUILDING_WWR,BUILDING_WWR
a13,-0.6956819208642954,BUILDING_WWR,ASPECT_RATIO
a14,-0.20458424600067512,BUILDING_WWR,AMPLIF_FACTOR
a15,2.4679095010936782,BUILDING_WWR,Shutter
a16,-0.24197003888767488,BUILDING_WWR,UROOF
a17,-0.1674741054233736,BUILDING_WWR,UWALL
a18,-1.0679100747546997,BUILDING_WWR,USLAB
a19,0.004559353293054569,BUILDING_WWR,UWIN
a20,-0.17763251167721095,BUILDING_WWR,INFILTRATION_RATE
a21,-0.10208087885372258,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.20655815014896467,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.30535426607816496,ASPECT_RATIO,ASPECT_RATIO
a24,0.24041548259507817,ASPECT_RATIO,AMPLIF_FACTOR
a25,-0.8988039883834191,ASPECT_RATIO,Shutter
a26,0.09339622170490584,ASPECT_RATIO,UROOF
a27,0.07980680460388256,ASPECT_RATIO,UWALL
a28,0.5604771160371076,ASPECT_RATIO,USLAB
a29,-0.027302068556848025,ASPECT_RATIO,UWIN
a30,0.09749778769720435,ASPECT_RATIO,INFILTRATION_RATE
a31,0.08683998798249815,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.12581435401805718,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.20082244344096223,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.6147775886716592,AMPLIF_FACTOR,Shutter
a35,-0.42184652111569615,AMPLIF_FACTOR,UROOF
a36,-0.17028488529906816,AMPLIF_FACTOR,UWALL
a37,0.6341224104566499,AMPLIF_FACTOR,USLAB
a38,-0.04109503848804852,AMPLIF_FACTOR,UWIN
a39,0.102244944502625,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.08323048240188025,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.051928239583754754,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.22967785635575866,Shutter,Shutter
a43,-0.15882775927884962,Shutter,UROOF
a44,-0.024824269843659708,Shutter,UWALL
a45,-1.6630626357485334,Shutter,USLAB
a46,0.05918453221678455,Shutter,UWIN
a47,-0.41326995395661775,Shutter,INFILTRATION_RATE
a48,-0.24296202500711528,Shutter,NATURAL_VENT_RATE
a49,-0.2841626344813567,Shutter,MECHANICAL_VENT_RATE
a50,0.8724277689761524,UROOF,UROOF
a51,0.0713886209172987,UROOF,UWALL
a52,-0.9950653911765726,UROOF,USLAB
a53,-0.03897588001854291,UROOF,UWIN
a54,-0.22027444115064854,UROOF,INFILTRATION_RATE
a55,-0.022546154246480876,UROOF,NATURAL_VENT_RATE
a56,-0.05196821408490515,UROOF,MECHANICAL_VENT_RATE
a57,0.2870689955124097,UWALL,UWALL
a58,0.12189527081161988,UWALL,USLAB
a59,-0.027790036648915897,UWALL,UWIN
a60,-0.07794473332724378,UWALL,INFILTRATION_RATE
a61,0.066032531034107,UWALL,NATURAL_VENT_RATE
a62,-0.0808619090438159,UWALL,MECHANICAL_VENT_RATE
a63,1.3909669721833346,USLAB,USLAB
a64,-0.03029568088125556,USLAB,UWIN
a65,0.5270131118816086,USLAB,INFILTRATION_RATE
a66,0.33098428151607445,USLAB,NATURAL_VENT_RATE
a67,0.3558852573959984,USLAB,MECHANICAL_VENT_RATE
a68,-0.10401359584023995,UWIN,UWIN
a69,-0.12465310584777878,UWIN,INFILTRATION_RATE
a70,0.009712233183904774,UWIN,NATURAL_VENT_RATE
a71,-0.08611994411974155,UWIN,MECHANICAL_VENT_RATE
a72,0.0996525614504431,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.05002564244685326,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.08611531822915452,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.06464544252938587,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.0636060851216246,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.06055322027801702,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
