coef,value,var1,var2
a0,0.0,,
a1,3.9548036442986745,BUILDING_WWR,
a2,-2.5333680755347485,ASPECT_RATIO,
a3,-1.9015106780098425,AMPLIF_FACTOR,
a4,5.71372177607645,Shutter,
a5,1.6453442491281662,UROOF,
a6,0.711676544318552,UWALL,
a7,-4.152649259140833,USLAB,
a8,-0.011992599746078497,UWIN,
a9,-0.9047804383209074,INFILTRATION_RATE,
a10,-0.5315136202767714,NATURAL_VENT_RATE,
a11,-0.5965209617189029,MECHANICAL_VENT_RATE,
a12,0.4773536557926086,BUILDING_WWR,BUILDING_WWR
a13,-1.113283728668121,BUILDING_WWR,ASPECT_RATIO
a14,-0.18886831953379873,BUILDING_WWR,AMPLIF_FACTOR
a15,2.848635010590309,BUILDING_WWR,Shutter
a16,-0.25288457297005285,BUILDING_WWR,UROOF
a17,-0.19746296891376258,BUILDING_WWR,UWALL
a18,-1.1339187850527879,BUILDING_WWR,USLAB
a19,-0.012273647024674261,BUILDING_WWR,UWIN
a20,-0.18243209411592876,BUILDING_WWR,INFILTRATION_RATE
a21,-0.09148819476686043,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.20385856500114996,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.6292558404084122,ASPECT_RATIO,ASPECT_RATIO
a24,0.34195348813452964,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.511962402841045,ASPECT_RATIO,Shutter
a26,0.07947721917218664,ASPECT_RATIO,UROOF
a27,0.07093703298996457,ASPECT_RATIO,UWALL
a28,0.8407392429987852,ASPECT_RATIO,USLAB
a29,-0.029107933529131436,ASPECT_RATIO,UWIN
a30,0.15203400433799796,ASPECT_RATIO,INFILTRATION_RATE
a31,0.12077375398604412,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.1761675712952393,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.20992734340199037,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.6328086262570449,AMPLIF_FACTOR,Shutter
a35,-0.4111899404061002,AMPLIF_FACTOR,UROOF
a36,-0.22084197483371226,AMPLIF_FACTOR,UWALL
a37,0.6479701881872637,AMPLIF_FACTOR,USLAB
a38,-0.06401748598315526,AMPLIF_FACTOR,UWIN
a39,0.11434929032734836,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.09097003027771189,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.06679415657932686,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.2443101516425874,Shutter,Shutter
a43,-0.15748310641916996,Shutter,UROOF
a44,-0.02177415200393229,Shutter,UWALL
a45,-1.8416515381339968,Shutter,USLAB
a46,0.03356377755604112,Shutter,UWIN
a47,-0.4018723743505986,Shutter,INFILTRATION_RATE
a48,-0.2559369604503533,Shutter,NATURAL_VENT_RATE
a49,-0.2741229012359876,Shutter,MECHANICAL_VENT_RATE
a50,0.845175079965043,UROOF,UROOF
a51,0.11054259360930224,UROOF,UWALL
a52,-1.044668840602493,UROOF,USLAB
a53,-0.06512613322943361,UROOF,UWIN
a54,-0.20583931478365636,UROOF,INFILTRATION_RATE
a55,-0.046629510799919505,UROOF,NATURAL_VENT_RATE
a56,-0.07273392983729265,UROOF,MECHANICAL_VENT_RATE
a57,0.33478962444799376,UWALL,UWALL
a58,0.04551700362772709,UWALL,USLAB
a59,-0.04293941602881504,UWALL,UWIN
a60,-0.12102608729294057,UWALL,INFILTRATION_RATE
a61,0.06403628128060035,UWALL,NATURAL_VENT_RATE
a62,-0.10312209144960138,UWALL,MECHANICAL_VENT_RATE
a63,1.4533268271829514,USLAB,USLAB
a64,-0.023480252859333528,USLAB,UWIN
a65,0.5385980612491601,USLAB,INFILTRATION_RATE
a66,0.33308680013264835,USLAB,NATURAL_VENT_RATE
a67,0.36799180299978684,USLAB,MECHANICAL_VENT_RATE
a68,-0.11611997177310018,UWIN,UWIN
a69,-0.14702790016095935,UWIN,INFILTRATION_RATE
a70,-0.0030050621844886494,UWIN,NATURAL_VENT_RATE
a71,-0.10428230553059664,UWIN,MECHANICAL_VENT_RATE
a72,0.10525841232388866,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.04949484748200206,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.062266021965269314,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.07170136364657542,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.04699121472209891,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.05774781475512103,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
