coef,value,var1,var2
a0,0.0,,
a1,4.4554260574030895,BUILDING_WWR,
a2,-1.6381246525656337,ASPECT_RATIO,
a3,-1.7480328413977728,AMPLIF_FACTOR,
a4,5.9645308281026015,Shutter,
a5,3.5891115160182974,UROOF,
a6,-0.22016332423798846,UWALL,
a7,-2.004283648480966,USLAB,
a8,0.06822706804495549,UWIN,
a9,-0.9290745536132541,INFILTRATION_RATE,
a10,-0.6196993087717244,NATURAL_VENT_RATE,
a11,-0.635398436808257,MECHANICAL_VENT_RATE,
a12,0.4578905980386646,BUILDING_WWR,BUILDING_WWR
a13,-0.8759691050555429,BUILDING_WWR,ASPECT_RATIO
a14,-0.20157966907133454,BUILDING_WWR,AMPLIF_FACTOR
a15,3.203163645625877,BUILDING_WWR,Shutter
a16,0.30873780005597606,BUILDING_WWR,UROOF
a17,-0.35333388091518825,BUILDING_WWR,UWALL
a18,-0.6611341920032987,BUILDING_WWR,USLAB
a19,0.05822793287470346,BUILDING_WWR,UWIN
a20,-0.267263584575378,BUILDING_WWR,INFILTRATION_RATE
a21,-0.09203853146758756,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.2237257519846636,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.34268879554241694,ASPECT_RATIO,ASPECT_RATIO
a24,0.2199998309383565,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.1057122194601954,ASPECT_RATIO,Shutter
a26,-0.17153666600293127,ASPECT_RATIO,UROOF
a27,0.18378916534092427,ASPECT_RATIO,UWALL
a28,0.3661438800243948,ASPECT_RATIO,USLAB
a29,-0.01672508591013866,ASPECT_RATIO,UWIN
a30,0.17794534482578062,ASPECT_RATIO,INFILTRATION_RATE
a31,0.10076126353435277,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.12810344656253791,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.25820895743230077,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.6540140134533204,AMPLIF_FACTOR,Shutter
a35,-0.15800765657635596,AMPLIF_FACTOR,UROOF
a36,-0.1281520616718801,AMPLIF_FACTOR,UWALL
a37,0.3141110137146429,AMPLIF_FACTOR,USLAB
a38,-0.014942446783107521,AMPLIF_FACTOR,UWIN
a39,0.11388941697958721,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.11981627334544687,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.05653437907553849,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.21455793532751288,Shutter,Shutter
a43,0.4476139675952571,Shutter,UROOF
a44,-0.2328652368157436,Shutter,UWALL
a45,-0.9838738902334336,Shutter,USLAB
a46,0.04589665884741999,Shutter,UWIN
a47,-0.5620286689957351,Shutter,INFILTRATION_RATE
a48,-0.29431693614016774,Shutter,NATURAL_VENT_RATE
a49,-0.3845272556529531,Shutter,MECHANICAL_VENT_RATE
a50,1.4653048853021664,UROOF,UROOF
a51,-0.5137759118859604,UROOF,UWALL
a52,-0.3126369291186143,UROOF,USLAB
a53,-0.19995386484437594,UROOF,UWIN
a54,0.11157691282245485,UROOF,INFILTRATION_RATE
a55,-0.2072823755631441,UROOF,NATURAL_VENT_RATE
a56,0.024593101226936254,UROOF,MECHANICAL_VENT_RATE
a57,0.3642822556739482,UWALL,UWALL
a58,-0.021624985948381914,UWALL,USLAB
a59,0.14278623026757797,UWALL,UWIN
a60,0.04376684531806396,UWALL,INFILTRATION_RATE
a61,0.012374811540940212,UWALL,NATURAL_VENT_RATE
a62,0.0002568217056672095,UWALL,MECHANICAL_VENT_RATE
a63,0.5380409948483145,USLAB,USLAB
a64,-0.022678864239399132,USLAB,UWIN
a65,0.12851072993150603,USLAB,INFILTRATION_RATE
a66,0.1545994330287857,USLAB,NATURAL_VENT_RATE
a67,0.10587216228640195,USLAB,MECHANICAL_VENT_RATE
a68,0.2149487819997622,UWIN,UWIN
a69,0.023481661136961485,UWIN,INFILTRATION_RATE
a70,0.0004976521327997308,UWIN,NATURAL_VENT_RATE
a71,0.07235761198703172,UWIN,MECHANICAL_VENT_RATE
a72,-0.048726370341527145,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.076576504135065,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.19600711535069076,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.07589032299657061,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.19030825353920133,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.004042670869172316,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
