coef,value,var1,var2
a0,0.0,,
a1,5.4740406646457345,BUILDING_WWR,
a2,-2.5294566219692562,ASPECT_RATIO,
a3,-1.872740131027483,AMPLIF_FACTOR,
a4,7.485627007450299,Shutter,
a5,3.582187874424597,UROOF,
a6,0.016139258756476593,UWALL,
a7,-2.4050403828879796,USLAB,
a8,0.06162271242748785,UWIN,
a9,-1.0710210457792675,INFILTRATION_RATE,
a10,-0.721232958355114,NATURAL_VENT_RATE,
a11,-0.7516408184134964,MECHANICAL_VENT_RATE,
a12,0.5925288097072432,BUILDING_WWR,BUILDING_WWR
a13,-1.1837690047847262,BUILDING_WWR,ASPECT_RATIO
a14,-0.19386209070718047,BUILDING_WWR,AMPLIF_FACTOR
a15,3.922637286834047,BUILDING_WWR,Shutter
a16,0.27609743647422086,BUILDING_WWR,UROOF
a17,-0.4412853196416049,BUILDING_WWR,UWALL
a18,-0.7560945391579665,BUILDING_WWR,USLAB
a19,0.0508742179937611,BUILDING_WWR,UWIN
a20,-0.29934435615248384,BUILDING_WWR,INFILTRATION_RATE
a21,-0.09110724820849314,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.21734385561762637,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5023911272897229,ASPECT_RATIO,ASPECT_RATIO
a24,0.2665602582664435,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.6124520597012455,ASPECT_RATIO,Shutter
a26,-0.21717036707460163,ASPECT_RATIO,UROOF
a27,0.20766299432972868,ASPECT_RATIO,UWALL
a28,0.49380588087563354,ASPECT_RATIO,USLAB
a29,-0.017635890788260555,ASPECT_RATIO,UWIN
a30,0.25838842409044904,ASPECT_RATIO,INFILTRATION_RATE
a31,0.11881233801014202,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.17275593080863327,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.2810412724526361,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.702151540989485,AMPLIF_FACTOR,Shutter
a35,-0.13339854174913013,AMPLIF_FACTOR,UROOF
a36,-0.19692279377813748,AMPLIF_FACTOR,UWALL
a37,0.3330831853831289,AMPLIF_FACTOR,USLAB
a38,-0.04218797546511577,AMPLIF_FACTOR,UWIN
a39,0.1385188569888717,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.12260146760738921,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.0832169208788538,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.18736833295984612,Shutter,Shutter
a43,0.42373696288838447,Shutter,UROOF
a44,-0.20996205372617327,Shutter,UWALL
a45,-1.1844383144307717,Shutter,USLAB
a46,0.04495961655880586,Shutter,UWIN
a47,-0.600750529028821,Shutter,INFILTRATION_RATE
a48,-0.32320175776715376,Shutter,NATURAL_VENT_RATE
a49,-0.39146938769973105,Shutter,MECHANICAL_VENT_RATE
a50,1.4660696798481405,UROOF,UROOF
a51,-0.496009575437674,UROOF,UWALL
a52,-0.3521547697839524,UROOF,USLAB
a53,-0.22026040703803185,UROOF,UWIN
a54,0.13458724176292497,UROOF,INFILTRATION_RATE
a55,-0.2088289545007026,UROOF,NATURAL_VENT_RATE
a56,0.00790625825489133,UROOF,MECHANICAL_VENT_RATE
a57,0.4156175761741163,UWALL,UWALL
a58,-0.057700762172955056,UWALL,USLAB
a59,0.14387470287217752,UWALL,UWIN
a60,-0.013193356881194024,UWALL,INFILTRATION_RATE
a61,0.009509088443195202,UWALL,NATURAL_VENT_RATE
a62,-0.05860075852519653,UWALL,MECHANICAL_VENT_RATE
a63,0.5840995934701945,USLAB,USLAB
a64,-0.017400808788226474,USLAB,UWIN
a65,0.15027361996707733,USLAB,INFILTRATION_RATE
a66,0.16974674310723992,USLAB,NATURAL_VENT_RATE
a67,0.12916516664025018,USLAB,MECHANICAL_VENT_RATE
a68,0.19003394985049865,UWIN,UWIN
a69,0.003361329790176004,UWIN,INFILTRATION_RATE
a70,-0.009844311656483029,UWIN,NATURAL_VENT_RATE
a71,0.07253394207161423,UWIN,MECHANICAL_VENT_RATE
a72,-0.05692212968025313,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.08207972465214097,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.20584706126303098,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.032759904406217455,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.21584534591628746,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.0069877708968655305,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
