coef,value,var1,var2
a0,0.0,,
a1,5.534650692374657,BUILDING_WWR,
a2,-2.5724915975786753,ASPECT_RATIO,
a3,-1.889366533986934,AMPLIF_FACTOR,
a4,7.509036508138812,Shutter,
a5,3.6032134126976643,UROOF,
a6,-0.043200749288379026,UWALL,
a7,-2.4017618829192595,USLAB,
a8,0.06998431968148833,UWIN,
a9,-1.0708869072926193,INFILTRATION_RATE,
a10,-0.7255155727179385,NATURAL_VENT_RATE,
a11,-0.7585447060600901,MECHANICAL_VENT_RATE,
a12,0.6000474306299143,BUILDING_WWR,BUILDING_WWR
a13,-1.2049958911427336,BUILDING_WWR,ASPECT_RATIO
a14,-0.2056192257370606,BUILDING_WWR,AMPLIF_FACTOR
a15,3.9352667603263303,BUILDING_WWR,Shutter
a16,0.28467540237461975,BUILDING_WWR,UROOF
a17,-0.4155456089601731,BUILDING_WWR,UWALL
a18,-0.7562999929970717,BUILDING_WWR,USLAB
a19,0.05497429965940122,BUILDING_WWR,UWIN
a20,-0.30454424328510526,BUILDING_WWR,INFILTRATION_RATE
a21,-0.10370732443088226,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.22199394490355207,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5156448723169782,ASPECT_RATIO,ASPECT_RATIO
a24,0.27978575001304073,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.6302287088123337,ASPECT_RATIO,Shutter
a26,-0.22102474193593613,ASPECT_RATIO,UROOF
a27,0.20415068447327422,ASPECT_RATIO,UWALL
a28,0.5117450747716761,ASPECT_RATIO,USLAB
a29,-0.019858572355571535,ASPECT_RATIO,UWIN
a30,0.2662000397920654,ASPECT_RATIO,INFILTRATION_RATE
a31,0.12905595063368291,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.1804910920485009,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.28358400551634144,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.717170517403884,AMPLIF_FACTOR,Shutter
a35,-0.13256456203318923,AMPLIF_FACTOR,UROOF
a36,-0.19565413356540862,AMPLIF_FACTOR,UWALL
a37,0.3351182971094596,AMPLIF_FACTOR,USLAB
a38,-0.04841243026305575,AMPLIF_FACTOR,UWIN
a39,0.13676715719889343,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.1281339567184152,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.08180149943929194,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.20077001270147488,Shutter,Shutter
a43,0.43346288018565493,Shutter,UROOF
a44,-0.21543139276790546,Shutter,UWALL
a45,-1.1876028890738215,Shutter,USLAB
a46,0.04061643799312742,Shutter,UWIN
a47,-0.6098699697989527,Shutter,INFILTRATION_RATE
a48,-0.32252429606004474,Shutter,NATURAL_VENT_RATE
a49,-0.39894660020941797,Shutter,MECHANICAL_VENT_RATE
a50,1.4819092721604172,UROOF,UROOF
a51,-0.5204133551866901,UROOF,UWALL
a52,-0.3552693743108244,UROOF,USLAB
a53,-0.23067163650771416,UROOF,UWIN
a54,0.12909963336948535,UROOF,INFILTRATION_RATE
a55,-0.20947906307492947,UROOF,NATURAL_VENT_RATE
a56,0.007387923512897965,UROOF,MECHANICAL_VENT_RATE
a57,0.39773010166202183,UWALL,UWALL
a58,-0.06112318252074478,UWALL,USLAB
a59,0.1454322277303215,UWALL,UWIN
a60,-0.001558958622994877,UWALL,INFILTRATION_RATE
a61,0.008699908102015985,UWALL,NATURAL_VENT_RATE
a62,-0.0560883302918147,UWALL,MECHANICAL_VENT_RATE
a63,0.5826464126100306,USLAB,USLAB
a64,-0.021441647183786328,USLAB,UWIN
a65,0.15462401642836893,USLAB,INFILTRATION_RATE
a66,0.1711988429139064,USLAB,NATURAL_VENT_RATE
a67,0.12824161279931995,USLAB,MECHANICAL_VENT_RATE
a68,0.18950797298528488,UWIN,UWIN
a69,0.008107709429250542,UWIN,INFILTRATION_RATE
a70,-0.013702298917722233,UWIN,NATURAL_VENT_RATE
a71,0.07623060658205844,UWIN,MECHANICAL_VENT_RATE
a72,-0.050312200016157216,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.08649052686769323,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.20447464956155414,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.03553515700465448,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.21650731743942742,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.008978639137048994,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
