coef,value,var1,var2
a0,0.0,,
a1,6.17438588211441,BUILDING_WWR,
a2,-3.1835929340331695,ASPECT_RATIO,
a3,-2.324609667781741,AMPLIF_FACTOR,
a4,-9.50870073715216,Shutter,
a5,0.29557070155060083,UROOF,
a6,0.3479036664592957,UWALL,
a7,-0.6640986049788494,USLAB,
a8,-0.0012532864107502872,UWIN,
a9,-1.843052977519474,INFILTRATION_RATE,
a10,-0.9663272078157812,NATURAL_VENT_RATE,
a11,-1.0958314936808153,MECHANICAL_VENT_RATE,
a12,0.31772836881836286,BUILDING_WWR,BUILDING_WWR
a13,-1.7841500295970563,BUILDING_WWR,ASPECT_RATIO
a14,-0.365146636310576,BUILDING_WWR,AMPLIF_FACTOR
a15,-4.81540147495522,BUILDING_WWR,Shutter
a16,-0.20317650295151513,BUILDING_WWR,UROOF
a17,-0.609026406223439,BUILDING_WWR,UWALL
a18,-0.24232478107067415,BUILDING_WWR,USLAB
a19,0.01931770136275268,BUILDING_WWR,UWIN
a20,-0.47874452777316256,BUILDING_WWR,INFILTRATION_RATE
a21,-0.2009624319578993,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.2907350360875908,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5836326906032634,ASPECT_RATIO,ASPECT_RATIO
a24,0.20289982236962575,ASPECT_RATIO,AMPLIF_FACTOR
a25,1.9881571182348101,ASPECT_RATIO,Shutter
a26,0.05514611146449566,ASPECT_RATIO,UROOF
a27,0.2550440402062858,ASPECT_RATIO,UWALL
a28,0.18542850958344853,ASPECT_RATIO,USLAB
a29,-0.00909768333097527,ASPECT_RATIO,UWIN
a30,0.2632325999682797,ASPECT_RATIO,INFILTRATION_RATE
a31,0.12305402839952433,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.14773929312125378,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.17100256820895865,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,0.866365520088684,AMPLIF_FACTOR,Shutter
a35,-0.12380651552070318,AMPLIF_FACTOR,UROOF
a36,-0.23358589406698238,AMPLIF_FACTOR,UWALL
a37,0.10947178144079887,AMPLIF_FACTOR,USLAB
a38,-0.002582037001786982,AMPLIF_FACTOR,UWIN
a39,0.01477166932484414,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.03245523908708937,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.010596501279501071,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.5800251669881755,Shutter,Shutter
a43,0.22238810241176998,Shutter,UROOF
a44,0.24540764523547892,Shutter,UWALL
a45,0.40096191914646473,Shutter,USLAB
a46,-0.026652280156673584,Shutter,UWIN
a47,1.0196167214316192,Shutter,INFILTRATION_RATE
a48,0.5111782945679856,Shutter,NATURAL_VENT_RATE
a49,0.5823712017337593,Shutter,MECHANICAL_VENT_RATE
a50,0.31585659151789097,UROOF,UROOF
a51,0.0299389285297611,UROOF,UWALL
a52,-0.11163742528566317,UROOF,USLAB
a53,-0.006705068592743668,UROOF,UWIN
a54,0.024281677324461903,UROOF,INFILTRATION_RATE
a55,-0.02361133080464317,UROOF,NATURAL_VENT_RATE
a56,-0.04891740651491805,UROOF,MECHANICAL_VENT_RATE
a57,0.35124662711326016,UWALL,UWALL
a58,-0.007481009809806705,UWALL,USLAB
a59,-0.0011687569609217796,UWALL,UWIN
a60,-0.00394224349646799,UWALL,INFILTRATION_RATE
a61,0.006726815018281762,UWALL,NATURAL_VENT_RATE
a62,0.026872614620655266,UWALL,MECHANICAL_VENT_RATE
a63,0.16979435766892514,USLAB,USLAB
a64,0.0022167582884519144,USLAB,UWIN
a65,0.1256122365551533,USLAB,INFILTRATION_RATE
a66,0.045083442868132956,USLAB,NATURAL_VENT_RATE
a67,0.056797608393262866,USLAB,MECHANICAL_VENT_RATE
a68,0.015483613964970111,UWIN,UWIN
a69,-0.008112558249511681,UWIN,INFILTRATION_RATE
a70,0.009650330094731818,UWIN,NATURAL_VENT_RATE
a71,0.0024855913908758964,UWIN,MECHANICAL_VENT_RATE
a72,0.22593879516435011,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.21616348890834514,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.2769386087607375,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.05978577676577457,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.09047621489396773,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.059068044033439016,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
