coef,value,var1,var2
a0,0.0,,
a1,7.383971517096512,BUILDING_WWR,
a2,-4.927340808936024,ASPECT_RATIO,
a3,-2.6501149883584736,AMPLIF_FACTOR,
a4,-11.702327088789243,Shutter,
a5,0.19837083719232051,UROOF,
a6,0.13123496385747824,UWALL,
a7,-0.7479197398594549,USLAB,
a8,-0.00841336092034295,UWIN,
a9,-1.795561923581754,INFILTRATION_RATE,
a10,-0.932207625466174,NATURAL_VENT_RATE,
a11,-1.0766600455974737,MECHANICAL_VENT_RATE,
a12,0.12255313687737157,BUILDING_WWR,BUILDING_WWR
a13,-2.4028520225264565,BUILDING_WWR,ASPECT_RATIO
a14,-0.37349198561923824,BUILDING_WWR,AMPLIF_FACTOR
a15,-5.637344357380871,BUILDING_WWR,Shutter
a16,-0.24786196782304648,BUILDING_WWR,UROOF
a17,-0.6965456243888983,BUILDING_WWR,UWALL
a18,-0.24882598071894252,BUILDING_WWR,USLAB
a19,0.016521515907888973,BUILDING_WWR,UWIN
a20,-0.41656827003259456,BUILDING_WWR,INFILTRATION_RATE
a21,-0.15889345825025725,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.26029607260716914,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,1.273426386478913,ASPECT_RATIO,ASPECT_RATIO
a24,0.24988420979225545,ASPECT_RATIO,AMPLIF_FACTOR
a25,2.793519506861565,ASPECT_RATIO,Shutter
a26,0.0613713090486987,ASPECT_RATIO,UROOF
a27,0.4360235120677348,ASPECT_RATIO,UWALL
a28,0.2171760540783485,ASPECT_RATIO,USLAB
a29,-0.008723293212413052,ASPECT_RATIO,UWIN
a30,0.27767846874883045,ASPECT_RATIO,INFILTRATION_RATE
a31,0.13151914868377074,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.1527617065173117,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.18762506881259822,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,0.9976296129739662,AMPLIF_FACTOR,Shutter
a35,-0.12948855482296914,AMPLIF_FACTOR,UROOF
a36,-0.2747606093146281,AMPLIF_FACTOR,UWALL
a37,0.11435908297752917,AMPLIF_FACTOR,USLAB
a38,-0.0006793820613445969,AMPLIF_FACTOR,UWIN
a39,0.00134988691754714,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.03275162366524732,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.0021564151944359015,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.7128095976155233,Shutter,Shutter
a43,0.24961210123940172,Shutter,UROOF
a44,0.5324262109670423,Shutter,UWALL
a45,0.45485481188565063,Shutter,USLAB
a46,-0.02800598871103244,Shutter,UWIN
a47,1.0210267165094191,Shutter,INFILTRATION_RATE
a48,0.5027235950807423,Shutter,NATURAL_VENT_RATE
a49,0.5776973592849366,Shutter,MECHANICAL_VENT_RATE
a50,0.3476748406516732,UROOF,UROOF
a51,0.03893895002418901,UROOF,UWALL
a52,-0.0997242457319244,UROOF,USLAB
a53,0.0033992460974716643,UROOF,UWIN
a54,0.019077369465618554,UROOF,INFILTRATION_RATE
a55,-0.04112455227377665,UROOF,NATURAL_VENT_RATE
a56,-0.0721920065009738,UROOF,MECHANICAL_VENT_RATE
a57,0.39430946186802895,UWALL,UWALL
a58,0.00949333323698931,UWALL,USLAB
a59,-0.0033193102544835096,UWALL,UWIN
a60,0.057334412551766745,UWALL,INFILTRATION_RATE
a61,0.041282296199876445,UWALL,NATURAL_VENT_RATE
a62,0.052200685671542235,UWALL,MECHANICAL_VENT_RATE
a63,0.16956927661939059,USLAB,USLAB
a64,0.006076386627080987,USLAB,UWIN
a65,0.11097323741252596,USLAB,INFILTRATION_RATE
a66,0.04394425578176697,USLAB,NATURAL_VENT_RATE
a67,0.051416687292771046,USLAB,MECHANICAL_VENT_RATE
a68,0.01735401127283076,UWIN,UWIN
a69,-0.011887192814583836,UWIN,INFILTRATION_RATE
a70,0.008358902646899868,UWIN,NATURAL_VENT_RATE
a71,0.0011189954839654348,UWIN,MECHANICAL_VENT_RATE
a72,0.18776541970360627,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.18201016290078847,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.23994998540289858,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.04731422786908568,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.06620834976047973,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.04099382689271103,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
