coef,value,var1,var2
a0,0.0,,
a1,8.784263258495145,BUILDING_WWR,
a2,-5.292232010204655,ASPECT_RATIO,
a3,-2.909574500488472,AMPLIF_FACTOR,
a4,-13.939566595527012,Shutter,
a5,0.10692586628074752,UROOF,
a6,0.35638524990201503,UWALL,
a7,-0.8809577452715505,USLAB,
a8,-0.003278938120916397,UWIN,
a9,-2.0575795115608826,INFILTRATION_RATE,
a10,-1.0514684251706652,NATURAL_VENT_RATE,
a11,-1.232500815387609,MECHANICAL_VENT_RATE,
a12,0.1282897431124813,BUILDING_WWR,BUILDING_WWR
a13,-2.7128287367558364,BUILDING_WWR,ASPECT_RATIO
a14,-0.3882193765161155,BUILDING_WWR,AMPLIF_FACTOR
a15,-6.6862821038085745,BUILDING_WWR,Shutter
a16,-0.28034418932580873,BUILDING_WWR,UROOF
a17,-0.8576619909097429,BUILDING_WWR,UWALL
a18,-0.2892663397069217,BUILDING_WWR,USLAB
a19,0.01668624553727277,BUILDING_WWR,UWIN
a20,-0.4480647079533413,BUILDING_WWR,INFILTRATION_RATE
a21,-0.16317526834414053,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.2812114734725738,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,1.0801048795548331,ASPECT_RATIO,ASPECT_RATIO
a24,0.2724108292273215,ASPECT_RATIO,AMPLIF_FACTOR
a25,3.1540632505549597,ASPECT_RATIO,Shutter
a26,0.06688318944022908,ASPECT_RATIO,UROOF
a27,0.46897024719106906,ASPECT_RATIO,UWALL
a28,0.2592445210799763,ASPECT_RATIO,USLAB
a29,-0.009671521752321777,ASPECT_RATIO,UWIN
a30,0.3067325855255987,ASPECT_RATIO,INFILTRATION_RATE
a31,0.14284244158857223,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.168661776269883,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.189593299175284,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,1.0707906812254442,AMPLIF_FACTOR,Shutter
a35,-0.14039833139692176,AMPLIF_FACTOR,UROOF
a36,-0.32834881461619114,AMPLIF_FACTOR,UWALL
a37,0.12291289901884242,AMPLIF_FACTOR,USLAB
a38,0.00022934995810569803,AMPLIF_FACTOR,UWIN
a39,-0.014967567272612056,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.0273403934061397,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,-0.006687303820679039,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.9299005689459303,Shutter,Shutter
a43,0.29617967796168143,Shutter,UROOF
a44,0.5514769638233492,Shutter,UWALL
a45,0.532360937077183,Shutter,USLAB
a46,-0.031041564942538465,Shutter,UWIN
a47,1.132706780908341,Shutter,INFILTRATION_RATE
a48,0.5498152826555839,Shutter,NATURAL_VENT_RATE
a49,0.6425316616132167,Shutter,MECHANICAL_VENT_RATE
a50,0.3809272892156166,UROOF,UROOF
a51,0.035572747494708956,UROOF,UWALL
a52,-0.11721414867669527,UROOF,USLAB
a53,-0.002240551133643187,UROOF,UWIN
a54,0.014190405088905733,UROOF,INFILTRATION_RATE
a55,-0.04242893355539645,UROOF,NATURAL_VENT_RATE
a56,-0.08263151601679564,UROOF,MECHANICAL_VENT_RATE
a57,0.45044311297230566,UWALL,UWALL
a58,0.007258653327055775,UWALL,USLAB
a59,-0.0034470307014531354,UWALL,UWIN
a60,0.03747194797258924,UWALL,INFILTRATION_RATE
a61,0.03319199677538931,UWALL,NATURAL_VENT_RATE
a62,0.039639159387970135,UWALL,MECHANICAL_VENT_RATE
a63,0.1911588632200254,USLAB,USLAB
a64,0.0026769758242621844,USLAB,UWIN
a65,0.12436797796630472,USLAB,INFILTRATION_RATE
a66,0.047253002253076715,USLAB,NATURAL_VENT_RATE
a67,0.05767098584534547,USLAB,MECHANICAL_VENT_RATE
a68,0.023617362744477788,UWIN,UWIN
a69,-0.006012533092391692,UWIN,INFILTRATION_RATE
a70,0.009980251360680648,UWIN,NATURAL_VENT_RATE
a71,0.001937691246877593,UWIN,MECHANICAL_VENT_RATE
a72,0.2021378713224582,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.19847990448130648,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.24833311990758045,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.05415516525449693,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.06775319301535232,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.04225213366019087,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
