coef,value,var1,var2
a0,0.0,,
a1,7.638889482560383,BUILDING_WWR,
a2,-4.467654228649545,ASPECT_RATIO,
a3,-2.727871365793249,AMPLIF_FACTOR,
a4,-11.964962160885168,Shutter,
a5,0.14831355230165721,UROOF,
a6,0.05417696581534748,UWALL,
a7,-0.7598904890320323,USLAB,
a8,-0.006797352507298515,UWIN,
a9,-1.8769567763595236,INFILTRATION_RATE,
a10,-0.9594378669079378,NATURAL_VENT_RATE,
a11,-1.1258612563506398,MECHANICAL_VENT_RATE,
a12,0.16351593688329535,BUILDING_WWR,BUILDING_WWR
a13,-2.2966186951719134,BUILDING_WWR,ASPECT_RATIO
a14,-0.4034979113589401,BUILDING_WWR,AMPLIF_FACTOR
a15,-5.832642664640385,BUILDING_WWR,Shutter
a16,-0.27084075929534546,BUILDING_WWR,UROOF
a17,-0.6948225518303066,BUILDING_WWR,UWALL
a18,-0.26052025758295727,BUILDING_WWR,USLAB
a19,0.018771304154663992,BUILDING_WWR,UWIN
a20,-0.45267206215434563,BUILDING_WWR,INFILTRATION_RATE
a21,-0.16707815532846126,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.281655842511093,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,1.093459480830315,ASPECT_RATIO,ASPECT_RATIO
a24,0.25048426428464976,ASPECT_RATIO,AMPLIF_FACTOR
a25,2.605913440311535,ASPECT_RATIO,Shutter
a26,0.06862636055557991,ASPECT_RATIO,UROOF
a27,0.4371239563510677,ASPECT_RATIO,UWALL
a28,0.21423740388006463,ASPECT_RATIO,USLAB
a29,-0.00949922445648288,ASPECT_RATIO,UWIN
a30,0.27922909548961306,ASPECT_RATIO,INFILTRATION_RATE
a31,0.12815246949232734,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.15226883110446687,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.19193921940678527,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,1.0462712900675155,AMPLIF_FACTOR,Shutter
a35,-0.13459228909966062,AMPLIF_FACTOR,UROOF
a36,-0.27963629401174894,AMPLIF_FACTOR,UWALL
a37,0.1180703193362502,AMPLIF_FACTOR,USLAB
a38,-0.0007100795589251813,AMPLIF_FACTOR,UWIN
a39,0.003523759418463932,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.034019127147070664,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.002979634286336241,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.852463709585471,Shutter,Shutter
a43,0.27363924769874576,Shutter,UROOF
a44,0.5658730796384435,Shutter,UWALL
a45,0.46724570012882427,Shutter,USLAB
a46,-0.030527872114734504,Shutter,UWIN
a47,1.075698588786445,Shutter,INFILTRATION_RATE
a48,0.5207823444380418,Shutter,NATURAL_VENT_RATE
a49,0.6063117741629569,Shutter,MECHANICAL_VENT_RATE
a50,0.3688966778319784,UROOF,UROOF
a51,0.039881245437139334,UROOF,UWALL
a52,-0.10299768670425513,UROOF,USLAB
a53,0.0020094938921082495,UROOF,UWIN
a54,0.01551858763235825,UROOF,INFILTRATION_RATE
a55,-0.04388608902353397,UROOF,NATURAL_VENT_RATE
a56,-0.07807171040980054,UROOF,MECHANICAL_VENT_RATE
a57,0.4103678862192104,UWALL,UWALL
a58,0.013826430858472794,UWALL,USLAB
a59,-0.0044837975472495906,UWALL,UWIN
a60,0.062448317054525915,UWALL,INFILTRATION_RATE
a61,0.044512040841106604,UWALL,NATURAL_VENT_RATE
a62,0.053766816476852775,UWALL,MECHANICAL_VENT_RATE
a63,0.17558188269364505,USLAB,USLAB
a64,0.005432053258521363,USLAB,UWIN
a65,0.11747465609257668,USLAB,INFILTRATION_RATE
a66,0.04585459957142027,USLAB,NATURAL_VENT_RATE
a67,0.05325163356266227,USLAB,MECHANICAL_VENT_RATE
a68,0.02013356787023124,UWIN,UWIN
a69,-0.010055137608253495,UWIN,INFILTRATION_RATE
a70,0.008231271617643143,UWIN,NATURAL_VENT_RATE
a71,0.0017642517024046844,UWIN,MECHANICAL_VENT_RATE
a72,0.19760634672315347,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.18893653223432383,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.2484304631760592,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.04949593888885917,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.06794950816041867,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.041741975074672144,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
