coef,value,var1,var2
a0,10,,
a1,10,ASPECT_RATIO,
a2,10,BUILDING_WWR,
a3,10,AMPLIF_FACTOR,
a4,10,HEIGHT_ROOF,
a5,10,RROOF,
a6,10,RWALL,
a7,10,UWIN,
a8,10,RSLAB,
a9,10,INFILTRATION_RATE,
a10,10,NATURAL_VENT_RATE,
a11,10,MECHANICAL_VENT_RATE,
a1_1,10,ASPECT_RATIO,ASPECT_RATIO
a1_2,10,ASPECT_RATIO,BUILDING_WWR
a1_3,10,ASPECT_RATIO,AMPLIF_FACTOR
a1_4,10,ASPECT_RATIO,HEIGHT_ROOF
a1_5,10,ASPECT_RATIO,RROOF
a1_6,10,ASPECT_RATIO,RWALL
a1_7,10,ASPECT_RATIO,UWIN
a1_8,10,ASPECT_RATIO,RSLAB
a1_9,10,ASPECT_RATIO,INFILTRATION_RATE
a1_10,10,ASPECT_RATIO,NATURAL_VENT_RATE
a1_11,10,ASPECT_RATIO,MECHANICAL_VENT_RATE
a2_2,10,BUILDING_WWR,BUILDING_WWR
a2_3,10,BUILDING_WWR,AMPLIF_FACTOR
a2_4,10,BUILDING_WWR,HEIGHT_ROOF
a2_5,10,BUILDING_WWR,RROOF
a2_6,10,BUILDING_WWR,RWALL
a2_7,10,BUILDING_WWR,UWIN
a2_8,10,BUILDING_WWR,RSLAB
a2_9,10,BUILDING_WWR,INFILTRATION_RATE
a2_10,10,BUILDING_WWR,NATURAL_VENT_RATE
a2_11,10,BUILDING_WWR,MECHANICAL_VENT_RATE
a3_3,10,AMPLIF_FACTOR,AMPLIF_FACTOR
a3_4,10,AMPLIF_FACTOR,HEIGHT_ROOF
a3_5,10,AMPLIF_FACTOR,RROOF
a3_6,10,AMPLIF_FACTOR,RWALL
a3_7,10,AMPLIF_FACTOR,UWIN
a3_8,10,AMPLIF_FACTOR,RSLAB
a3_9,10,AMPLIF_FACTOR,INFILTRATION_RATE
a3_10,10,AMPLIF_FACTOR,NATURAL_VENT_RATE
a3_11,10,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a4_4,10,HEIGHT_ROOF,HEIGHT_ROOF
a4_5,10,HEIGHT_ROOF,RROOF
a4_6,10,HEIGHT_ROOF,RWALL
a4_7,10,HEIGHT_ROOF,UWIN
a4_8,10,HEIGHT_ROOF,RSLAB
a4_9,10,HEIGHT_ROOF,INFILTRATION_RATE
a4_10,10,HEIGHT_ROOF,NATURAL_VENT_RATE
a4_11,10,HEIGHT_ROOF,MECHANICAL_VENT_RATE
a5_5,10,RROOF,RROOF
a5_6,10,RROOF,RWALL
a5_7,10,RROOF,UWIN
a5_8,10,RROOF,RSLAB
a5_9,10,RROOF,INFILTRATION_RATE
a5_10,10,RROOF,NATURAL_VENT_RATE
a5_11,10,RROOF,MECHANICAL_VENT_RATE
a6_6,10,RWALL,RWALL
a6_7,10,RWALL,UWIN
a6_8,10,RWALL,RSLAB
a6_9,10,RWALL,INFILTRATION_RATE
a6_10,10,RWALL,NATURAL_VENT_RATE
a6_11,10,RWALL,MECHANICAL_VENT_RATE
a7_7,10,UWIN,UWIN
a7_8,10,UWIN,RSLAB
a7_9,10,UWIN,INFILTRATION_RATE
a7_10,10,UWIN,NATURAL_VENT_RATE
a7_11,10,UWIN,MECHANICAL_VENT_RATE
a8_8,10,RSLAB,RSLAB
a8_9,10,RSLAB,INFILTRATION_RATE
a8_10,10,RSLAB,NATURAL_VENT_RATE
a8_11,10,RSLAB,MECHANICAL_VENT_RATE
a9_9,10,INFILTRATION_RATE,INFILTRATION_RATE
a9_10,10,INFILTRATION_RATE,NATURAL_VENT_RATE
a9_11,10,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a10_10,10,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a10_11,10,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a11_11,10,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
