coef,value,var1,var2
a0,0.08335623353984753,BUILDING_WWR,
a1,-0.6307409657854793,ASPECT_RATIO,
a2,-0.0731896675501069,AMPLIF_FACTOR,
a3,16.90393771485278,Shutter,
a4,0.8520820343836684,UROOF,
a5,1.469327619895185,UWALL,
a6,-0.5279224031270209,USLAB,
a7,0.5408588867102778,UWIN,
a8,-3.4941273905379364,INFILTRATION_RATE,
a9,0.07547899301533756,NATURAL_VENT_RATE,
a10,-2.057840437538122,MECHANICAL_VENT_RATE,
a11,0.0013862412041327574,BUILDING_WWR,BUILDING_WWR
a12,-0.04785386614492097,BUILDING_WWR,ASPECT_RATIO
a13,-0.0007689335132272795,BUILDING_WWR,AMPLIF_FACTOR
a14,0.5674107113491682,BUILDING_WWR,Shutter
a15,-0.009895948000347488,BUILDING_WWR,UROOF
a16,-0.02475461155523731,BUILDING_WWR,UWALL
a17,-0.0055746684557058945,BUILDING_WWR,USLAB
a18,-0.00029104597885093453,BUILDING_WWR,UWIN
a19,-0.06615497166660617,BUILDING_WWR,INFILTRATION_RATE
a20,-0.01962734066150043,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.07339961164508679,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.34430825715024194,ASPECT_RATIO,ASPECT_RATIO
a23,0.016702120444751074,ASPECT_RATIO,AMPLIF_FACTOR
a24,-3.9571773659245766,ASPECT_RATIO,Shutter
a25,0.026097538014497067,ASPECT_RATIO,UROOF
a26,0.1545323307099139,ASPECT_RATIO,UWALL
a27,0.09368301825149389,ASPECT_RATIO,USLAB
a28,-0.03503364346570592,ASPECT_RATIO,UWIN
a29,0.8901470116260346,ASPECT_RATIO,INFILTRATION_RATE
a30,0.3073359735465293,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.9898927993494915,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0008459310696545819,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.16804746057848163,AMPLIF_FACTOR,Shutter
a34,-0.009342300262508374,AMPLIF_FACTOR,UROOF
a35,-0.021919122825166504,AMPLIF_FACTOR,UWALL
a36,0.006485428995233633,AMPLIF_FACTOR,USLAB
a37,-0.001658588593989485,AMPLIF_FACTOR,UWIN
a38,0.02699570932350781,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.010426936224859906,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.05117555721768226,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,3.90507378272837,Shutter,Shutter
a42,-0.36274009643437144,Shutter,UROOF
a43,-0.8747398466699354,Shutter,UWALL
a44,-0.9255267496786328,Shutter,USLAB
a45,-0.10147219165223564,Shutter,UWIN
a46,-8.882254515845085,Shutter,INFILTRATION_RATE
a47,-3.474184363334989,Shutter,NATURAL_VENT_RATE
a48,-8.034081891918383,Shutter,MECHANICAL_VENT_RATE
a49,0.15574775250445638,UROOF,UROOF
a50,0.11675447268712869,UROOF,UWALL
a51,-0.1312106294333386,UROOF,USLAB
a52,-0.014378147969476451,UROOF,UWIN
a53,-0.2343322210034352,UROOF,INFILTRATION_RATE
a54,-0.011849591638426471,UROOF,NATURAL_VENT_RATE
a55,-0.20657476513079376,UROOF,MECHANICAL_VENT_RATE
a56,0.3440991709701462,UWALL,UWALL
a57,0.047254634666371365,UWALL,USLAB
a58,-0.020422566164239875,UWALL,UWIN
a59,-0.24396446467773836,UWALL,INFILTRATION_RATE
a60,-0.09217146629928719,UWALL,NATURAL_VENT_RATE
a61,-0.017784058577420936,UWALL,MECHANICAL_VENT_RATE
a62,0.05288640827723334,USLAB,USLAB
a63,0.003263888087675859,USLAB,UWIN
a64,0.39445692453531866,USLAB,INFILTRATION_RATE
a65,0.04660798712896064,USLAB,NATURAL_VENT_RATE
a66,0.5200365679653587,USLAB,MECHANICAL_VENT_RATE
a67,-0.01675613624453476,UWIN,UWIN
a68,-0.2545556188840292,UWIN,INFILTRATION_RATE
a69,-0.03641000638050243,UWIN,NATURAL_VENT_RATE
a70,-0.2856398435590082,UWIN,MECHANICAL_VENT_RATE
a71,1.9225623462888835,INFILTRATION_RATE,INFILTRATION_RATE
a72,1.1204315158284908,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.437581775297014,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.24953154783414844,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.2918019943130118,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,0.13927779347228428,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
