coef,value,var1,var2
a0,0.0,,
a1,0.0822797376882505,BUILDING_WWR,
a2,-0.8481123280435316,ASPECT_RATIO,
a3,-0.07717805916843885,AMPLIF_FACTOR,
a4,13.588010000605397,Shutter,
a5,0.5642528311467392,UROOF,
a6,0.6565178651311857,UWALL,
a7,-0.4422330057611856,USLAB,
a8,0.1454843053660232,UWIN,
a9,-3.3874076901068086,INFILTRATION_RATE,
a10,-0.5304551529214832,NATURAL_VENT_RATE,
a11,-3.1610331647505965,MECHANICAL_VENT_RATE,
a12,0.0010753652404133507,BUILDING_WWR,BUILDING_WWR
a13,-0.04126725356991287,BUILDING_WWR,ASPECT_RATIO
a14,-0.0005998534550367973,BUILDING_WWR,AMPLIF_FACTOR
a15,0.4363318249834435,BUILDING_WWR,Shutter
a16,-0.007668734327864371,BUILDING_WWR,UROOF
a17,-0.017575959420165127,BUILDING_WWR,UWALL
a18,-0.005385185815848223,BUILDING_WWR,USLAB
a19,0.0002481727143115644,BUILDING_WWR,UWIN
a20,-0.05767168343338491,BUILDING_WWR,INFILTRATION_RATE
a21,-0.021453378609175983,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.05802743176177677,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.3621550406778836,ASPECT_RATIO,ASPECT_RATIO
a24,0.014085684983122529,ASPECT_RATIO,AMPLIF_FACTOR
a25,-3.22855413199787,ASPECT_RATIO,Shutter
a26,0.027025695103929714,ASPECT_RATIO,UROOF
a27,0.11307292006338399,ASPECT_RATIO,UWALL
a28,0.08129191826018756,ASPECT_RATIO,USLAB
a29,-0.018950526911475363,ASPECT_RATIO,UWIN
a30,0.7523657214346274,ASPECT_RATIO,INFILTRATION_RATE
a31,0.3207474329663791,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.7247950426181794,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0007839126815918362,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.14933884625159566,AMPLIF_FACTOR,Shutter
a35,-0.010292637102750746,AMPLIF_FACTOR,UROOF
a36,-0.014435497959390808,AMPLIF_FACTOR,UWALL
a37,0.006412810161291915,AMPLIF_FACTOR,USLAB
a38,-0.001566293403213681,AMPLIF_FACTOR,UWIN
a39,0.028015479990621817,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.010662223541658022,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.049656523250754425,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,3.7311174100199826,Shutter,Shutter
a43,-0.19946570758087634,Shutter,UROOF
a44,-0.8612241484022309,Shutter,UWALL
a45,-0.7142730060962958,Shutter,USLAB
a46,-0.0620982066866832,Shutter,UWIN
a47,-7.438860907023938,Shutter,INFILTRATION_RATE
a48,-2.840403549759611,Shutter,NATURAL_VENT_RATE
a49,-6.651319074711008,Shutter,MECHANICAL_VENT_RATE
a50,0.17806433426718593,UROOF,UROOF
a51,0.14864201259734955,UROOF,UWALL
a52,-0.09741592347301276,UROOF,USLAB
a53,0.012247920344102159,UROOF,UWIN
a54,-0.1952412554111839,UROOF,INFILTRATION_RATE
a55,-0.0538352200112272,UROOF,NATURAL_VENT_RATE
a56,-0.1327274384336619,UROOF,MECHANICAL_VENT_RATE
a57,0.24389282075303642,UWALL,UWALL
a58,0.014107929460415725,UWALL,USLAB
a59,0.003498049167930617,UWALL,UWIN
a60,-0.10616588152808357,UWALL,INFILTRATION_RATE
a61,0.033647814713438584,UWALL,NATURAL_VENT_RATE
a62,0.010780359101364073,UWALL,MECHANICAL_VENT_RATE
a63,0.036407414060113164,USLAB,USLAB
a64,0.013992658970607419,USLAB,UWIN
a65,0.3118503511029328,USLAB,INFILTRATION_RATE
a66,0.04188575227249064,USLAB,NATURAL_VENT_RATE
a67,0.47118706467258975,USLAB,MECHANICAL_VENT_RATE
a68,0.0008967232714476442,UWIN,UWIN
a69,-0.17744412028266876,UWIN,INFILTRATION_RATE
a70,-0.009841231524124083,UWIN,NATURAL_VENT_RATE
a71,-0.15638427968653998,UWIN,MECHANICAL_VENT_RATE
a72,1.6196006123898818,INFILTRATION_RATE,INFILTRATION_RATE
a73,1.1379470720841631,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,3.393356237168781,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.07935339245474005,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.6590940296244813,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.4796299243917589,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
