coef,value,var1,var2
a0,0.0,,
a1,0.12766875421049945,BUILDING_WWR,
a2,-1.0323991803708668,ASPECT_RATIO,
a3,-0.07312262441024509,AMPLIF_FACTOR,
a4,26.220409380280678,Shutter,
a5,0.25599301068056474,UROOF,
a6,1.1618042958679726,UWALL,
a7,-0.677918652320584,USLAB,
a8,0.318926224934743,UWIN,
a9,-3.6024544800253335,INFILTRATION_RATE,
a10,-0.10300017438973093,NATURAL_VENT_RATE,
a11,-0.8354738213032344,MECHANICAL_VENT_RATE,
a12,0.0013374322464564936,BUILDING_WWR,BUILDING_WWR
a13,-0.07045346837272577,BUILDING_WWR,ASPECT_RATIO
a14,-0.0007340737573471867,BUILDING_WWR,AMPLIF_FACTOR
a15,0.7824806568372287,BUILDING_WWR,Shutter
a16,-0.010610772308720096,BUILDING_WWR,UROOF
a17,-0.0340981225589258,BUILDING_WWR,UWALL
a18,-0.005025592945110189,BUILDING_WWR,USLAB
a19,-0.0007492672361794628,BUILDING_WWR,UWIN
a20,-0.054378673821478846,BUILDING_WWR,INFILTRATION_RATE
a21,-0.014218389487675044,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.06013458411916639,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.6481434508320081,ASPECT_RATIO,ASPECT_RATIO
a24,0.02041811647418651,ASPECT_RATIO,AMPLIF_FACTOR
a25,-6.293521003861123,ASPECT_RATIO,Shutter
a26,0.044143202184853736,ASPECT_RATIO,UROOF
a27,0.2880068983644032,ASPECT_RATIO,UWALL
a28,0.10173910123435048,ASPECT_RATIO,USLAB
a29,-0.026091333492638258,ASPECT_RATIO,UWIN
a30,0.9071937193066255,ASPECT_RATIO,INFILTRATION_RATE
a31,0.2797401706126714,ASPECT_RATIO,NATURAL_VENT_RATE
a32,1.0090704031915136,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0008881715769710752,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.21174894188521876,AMPLIF_FACTOR,Shutter
a35,-0.009463798238677157,AMPLIF_FACTOR,UROOF
a36,-0.02804876971675796,AMPLIF_FACTOR,UWALL
a37,0.004742602284551811,AMPLIF_FACTOR,USLAB
a38,-0.0012090707730401107,AMPLIF_FACTOR,UWIN
a39,0.022201550020287897,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.01052558652049429,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.031657232319616924,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,2.862245889443288,Shutter,Shutter
a43,-0.6007578007677487,Shutter,UROOF
a44,-1.5255772607412514,Shutter,UWALL
a45,-1.3218081143102431,Shutter,USLAB
a46,-0.06957323594485021,Shutter,UWIN
a47,-9.634809093621676,Shutter,INFILTRATION_RATE
a48,-3.780531609346908,Shutter,NATURAL_VENT_RATE
a49,-8.881208450096917,Shutter,MECHANICAL_VENT_RATE
a50,0.1591032667367327,UROOF,UROOF
a51,0.18532369180193053,UROOF,UWALL
a52,-0.1435518767620274,UROOF,USLAB
a53,0.0369907706337238,UROOF,UWIN
a54,-0.17131241394315322,UROOF,INFILTRATION_RATE
a55,0.14436630716215104,UROOF,NATURAL_VENT_RATE
a56,-0.1398427111592651,UROOF,MECHANICAL_VENT_RATE
a57,0.5615260929862352,UWALL,UWALL
a58,0.07254064487171505,UWALL,USLAB
a59,-0.028207167908920416,UWALL,UWIN
a60,-0.16434330475050074,UWALL,INFILTRATION_RATE
a61,-0.015689935829961588,UWALL,NATURAL_VENT_RATE
a62,0.1728835135716616,UWALL,MECHANICAL_VENT_RATE
a63,0.08069244944944032,USLAB,USLAB
a64,0.0016269995108508795,USLAB,UWIN
a65,0.48457127865141447,USLAB,INFILTRATION_RATE
a66,0.03443323120099717,USLAB,NATURAL_VENT_RATE
a67,0.6386302399613457,USLAB,MECHANICAL_VENT_RATE
a68,-0.011458163481361305,UWIN,UWIN
a69,-0.20048722971387,UWIN,INFILTRATION_RATE
a70,0.03251884204051869,UWIN,NATURAL_VENT_RATE
a71,-0.3877639418450043,UWIN,MECHANICAL_VENT_RATE
a72,1.620499289633583,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.9102440202435593,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1.8693726011959981,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.36639303859511396,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.04062139522606001,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.9238183443313732,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
