coef,value,var1,var2
a0,0.0,,
a1,11.347805739662563,BUILDING_WWR,
a2,-4.787484815352888,ASPECT_RATIO,
a3,-3.003495233938926,AMPLIF_FACTOR,
a4,16.617536060427522,Shutter,
a5,-0.22309399824281062,UROOF,
a6,-0.3341033838907015,UWALL,
a7,-1.0030603070774533,USLAB,
a8,-0.045433223683889246,UWIN,
a9,-1.9680233163731131,INFILTRATION_RATE,
a10,-0.9429807248456448,NATURAL_VENT_RATE,
a11,-1.084544012997902,MECHANICAL_VENT_RATE,
a12,0.5059343692006126,BUILDING_WWR,BUILDING_WWR
a13,-2.1644207025782434,BUILDING_WWR,ASPECT_RATIO
a14,-0.3822583117089309,BUILDING_WWR,AMPLIF_FACTOR
a15,7.940663540520556,BUILDING_WWR,Shutter
a16,-0.2562513039971832,BUILDING_WWR,UROOF
a17,-0.7695194963300822,BUILDING_WWR,UWALL
a18,-0.304449157098438,BUILDING_WWR,USLAB
a19,0.04077855974825062,BUILDING_WWR,UWIN
a20,-0.41566158163073297,BUILDING_WWR,INFILTRATION_RATE
a21,-0.15331399190721473,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.2543424992604246,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5436459683134653,ASPECT_RATIO,ASPECT_RATIO
a24,0.4731906946506625,ASPECT_RATIO,AMPLIF_FACTOR
a25,-3.352192132601363,ASPECT_RATIO,Shutter
a26,0.1515121605531966,ASPECT_RATIO,UROOF
a27,0.6307853163706247,ASPECT_RATIO,UWALL
a28,0.302057143497247,ASPECT_RATIO,USLAB
a29,-0.05206266014264038,ASPECT_RATIO,UWIN
a30,0.39095007467204246,ASPECT_RATIO,INFILTRATION_RATE
a31,0.149149219037241,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.2432927945052909,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.17850750194745268,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-1.5758117161136758,AMPLIF_FACTOR,Shutter
a35,-0.18959832467888282,AMPLIF_FACTOR,UROOF
a36,-0.3832781650214405,AMPLIF_FACTOR,UWALL
a37,0.064556621151997,AMPLIF_FACTOR,USLAB
a38,-0.03471298868580164,AMPLIF_FACTOR,UWIN
a39,0.0064359579341037865,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.0385738134385587,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.011817846855929126,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.06879537469803143,Shutter,Shutter
a43,-0.254210292319324,Shutter,UROOF
a44,-0.7418942185264112,Shutter,UWALL
a45,-0.640747478843188,Shutter,USLAB
a46,-0.0054887246939077095,Shutter,UWIN
a47,-1.2013466691593926,Shutter,INFILTRATION_RATE
a48,-0.5918282942285247,Shutter,NATURAL_VENT_RATE
a49,-0.7031110146038566,Shutter,MECHANICAL_VENT_RATE
a50,0.17268678645548619,UROOF,UROOF
a51,0.1338329515765636,UROOF,UWALL
a52,-0.1622067163320149,UROOF,USLAB
a53,0.08016880412256644,UROOF,UWIN
a54,-0.06984248420259931,UROOF,INFILTRATION_RATE
a55,0.03224620315309906,UROOF,NATURAL_VENT_RATE
a56,-0.038682604864484604,UROOF,MECHANICAL_VENT_RATE
a57,0.4644855648311994,UWALL,UWALL
a58,0.05397812611520991,UWALL,USLAB
a59,-0.002740061795833526,UWALL,UWIN
a60,-0.03866794850047875,UWALL,INFILTRATION_RATE
a61,-0.023278366021918906,UWALL,NATURAL_VENT_RATE
a62,0.047819666754448154,UWALL,MECHANICAL_VENT_RATE
a63,0.09447406272232817,USLAB,USLAB
a64,-0.001765094392659261,USLAB,UWIN
a65,0.10958597062128517,USLAB,INFILTRATION_RATE
a66,0.012993507376292346,USLAB,NATURAL_VENT_RATE
a67,0.09003745908200328,USLAB,MECHANICAL_VENT_RATE
a68,-0.04513656200920646,UWIN,UWIN
a69,-0.06847142157352137,UWIN,INFILTRATION_RATE
a70,0.024868450107935813,UWIN,NATURAL_VENT_RATE
a71,-0.08664643492352148,UWIN,MECHANICAL_VENT_RATE
a72,0.08057397721465076,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.03518015508306327,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.05634431212307511,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.08678517752404957,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,-0.04089969068791888,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.03559317371498427,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
