coef,value,var1,var2
a0,0.0,,
a1,0.12044232700010435,BUILDING_WWR,
a2,-1.2333263202627127,ASPECT_RATIO,
a3,-0.1147259136545481,AMPLIF_FACTOR,
a4,16.57927002109497,Shutter,
a5,2.1449569074369577,UROOF,
a6,0.4068433171618841,UWALL,
a7,-5.158137107233418,USLAB,
a8,0.8090087545295219,UWIN,
a9,-2.4199556556088955,INFILTRATION_RATE,
a10,-0.8473000411725015,NATURAL_VENT_RATE,
a11,-0.8597071295239896,MECHANICAL_VENT_RATE,
a12,0.0009746625305281226,BUILDING_WWR,BUILDING_WWR
a13,-0.030018564989347435,BUILDING_WWR,ASPECT_RATIO
a14,-0.0005502564496327189,BUILDING_WWR,AMPLIF_FACTOR
a15,0.37778758421390124,BUILDING_WWR,Shutter
a16,-0.014071861051722007,BUILDING_WWR,UROOF
a17,-0.011803708670338895,BUILDING_WWR,UWALL
a18,-0.048903040633892184,BUILDING_WWR,USLAB
a19,0.0004860995503764842,BUILDING_WWR,UWIN
a20,-0.02780088458786542,BUILDING_WWR,INFILTRATION_RATE
a21,-0.010296610411923562,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.05244765805151547,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.22097304582529353,ASPECT_RATIO,ASPECT_RATIO
a24,0.014489371256406008,ASPECT_RATIO,AMPLIF_FACTOR
a25,-2.592493933264722,ASPECT_RATIO,Shutter
a26,0.08159139383397473,ASPECT_RATIO,UROOF
a27,0.0687625904429594,ASPECT_RATIO,UWALL
a28,0.4897624803924625,ASPECT_RATIO,USLAB
a29,-0.02928597499912744,ASPECT_RATIO,UWIN
a30,0.32769201378334994,ASPECT_RATIO,INFILTRATION_RATE
a31,0.18634150653021453,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.6276211471255428,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0008270478264895686,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.11313699358157436,AMPLIF_FACTOR,Shutter
a35,-0.02848645711107789,AMPLIF_FACTOR,UROOF
a36,-0.016892204857967386,AMPLIF_FACTOR,UWALL
a37,0.035785603770168706,AMPLIF_FACTOR,USLAB
a38,-0.0024198116196476605,AMPLIF_FACTOR,UWIN
a39,0.021472263714212403,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.013232498959002692,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.0214560148506997,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,2.191057390408954,Shutter,Shutter
a43,-0.7155389014800623,Shutter,UROOF
a44,-0.06369736998732328,Shutter,UWALL
a45,-4.799526836830495,Shutter,USLAB
a46,0.11054937721299452,Shutter,UWIN
a47,-3.9147368541811285,Shutter,INFILTRATION_RATE
a48,-1.6962411633422148,Shutter,NATURAL_VENT_RATE
a49,-4.444160875381595,Shutter,MECHANICAL_VENT_RATE
a50,1.062251446649393,UROOF,UROOF
a51,0.14696427346440777,UROOF,UWALL
a52,-1.0047952646722884,UROOF,USLAB
a53,-0.04355110247629812,UROOF,UWIN
a54,-0.8052948657919833,UROOF,INFILTRATION_RATE
a55,-0.08737421041368632,UROOF,NATURAL_VENT_RATE
a56,-0.5294916989648618,UROOF,MECHANICAL_VENT_RATE
a57,0.5720830488579267,UWALL,UWALL
a58,0.06482701469575192,UWALL,USLAB
a59,-0.03772692817617229,UWALL,UWIN
a60,-0.5461160789272979,UWALL,INFILTRATION_RATE
a61,0.17598783797886153,UWALL,NATURAL_VENT_RATE
a62,-0.7634716696723439,UWALL,MECHANICAL_VENT_RATE
a63,1.178919572647017,USLAB,USLAB
a64,-0.02266991160930054,USLAB,UWIN
a65,1.6000805473690534,USLAB,INFILTRATION_RATE
a66,0.6616696608942498,USLAB,NATURAL_VENT_RATE
a67,1.9002077871233793,USLAB,MECHANICAL_VENT_RATE
a68,-0.06047150498259768,UWIN,UWIN
a69,-0.41429613507075147,UWIN,INFILTRATION_RATE
a70,0.0015668744630858988,UWIN,NATURAL_VENT_RATE
a71,-0.4281381660990691,UWIN,MECHANICAL_VENT_RATE
a72,1.0334144122195734,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.412113870798438,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1.3792314362686895,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.43991248934505656,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.5865229615542713,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-1.794677365561991,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
