coef,value,var1,var2
a0,0.1309970964609052,BUILDING_WWR,
a1,-1.2649123405852356,ASPECT_RATIO,
a2,-0.09631776565028685,AMPLIF_FACTOR,
a3,17.20018940125922,Shutter,
a4,2.772113260387755,UROOF,
a5,1.0539669161845813,UWALL,
a6,-4.722777576291085,USLAB,
a7,1.29017200917376,UWIN,
a8,-1.2579155516186236,INFILTRATION_RATE,
a9,0.026456731834336666,NATURAL_VENT_RATE,
a10,-0.46448774684827876,MECHANICAL_VENT_RATE,
a11,0.0010073098101972423,BUILDING_WWR,BUILDING_WWR
a12,-0.030649772236064562,BUILDING_WWR,ASPECT_RATIO
a13,-0.0006440882373019222,BUILDING_WWR,AMPLIF_FACTOR
a14,0.3757627840266228,BUILDING_WWR,Shutter
a15,-0.014193610201186303,BUILDING_WWR,UROOF
a16,-0.011891150209604767,BUILDING_WWR,UWALL
a17,-0.04974562336139478,BUILDING_WWR,USLAB
a18,-0.0007056577428379562,BUILDING_WWR,UWIN
a19,-0.03108710547379412,BUILDING_WWR,INFILTRATION_RATE
a20,-0.011763151291749263,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.053336346613014174,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.22931515347407713,ASPECT_RATIO,ASPECT_RATIO
a23,0.014495149092032755,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2.610755819820035,ASPECT_RATIO,Shutter
a25,0.07787277710385265,ASPECT_RATIO,UROOF
a26,0.058767728040875655,ASPECT_RATIO,UWALL
a27,0.483531479272996,ASPECT_RATIO,USLAB
a28,-0.027367035867686754,ASPECT_RATIO,UWIN
a29,0.3373888047325091,ASPECT_RATIO,INFILTRATION_RATE
a30,0.21394326297281213,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.630913557621957,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0008862867777565953,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.11849757003881267,AMPLIF_FACTOR,Shutter
a34,-0.029862081519159034,AMPLIF_FACTOR,UROOF
a35,-0.017618252085981306,AMPLIF_FACTOR,UWALL
a36,0.03558790018311786,AMPLIF_FACTOR,USLAB
a37,-0.003776224428733599,AMPLIF_FACTOR,UWIN
a38,0.014873192148240122,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.011571013018359277,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.01838599208746894,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2.3059502031305277,Shutter,Shutter
a42,-0.7318603236531066,Shutter,UROOF
a43,-0.1210138868474302,Shutter,UWALL
a44,-4.846283926903934,Shutter,USLAB
a45,0.07182272791731525,Shutter,UWIN
a46,-4.102099607248931,Shutter,INFILTRATION_RATE
a47,-1.7923556192362335,Shutter,NATURAL_VENT_RATE
a48,-4.557890531443485,Shutter,MECHANICAL_VENT_RATE
a49,1.0488265420952496,UROOF,UROOF
a50,0.05451185919730128,UROOF,UWALL
a51,-1.0498909465335664,UROOF,USLAB
a52,-0.10256827265146917,UROOF,UWIN
a53,-0.9628835794252844,UROOF,INFILTRATION_RATE
a54,-0.12523124858958395,UROOF,NATURAL_VENT_RATE
a55,-0.5352367024951135,UROOF,MECHANICAL_VENT_RATE
a56,0.5650442523160073,UWALL,UWALL
a57,0.0637767561415763,UWALL,USLAB
a58,-0.0818432367816867,UWALL,UWIN
a59,-0.5877697652102842,UWALL,INFILTRATION_RATE
a60,-0.0007568593189501982,UWALL,NATURAL_VENT_RATE
a61,-0.8054287459455245,UWALL,MECHANICAL_VENT_RATE
a62,1.168507564749178,USLAB,USLAB
a63,-0.03310661854801,USLAB,UWIN
a64,1.5027054533919542,USLAB,INFILTRATION_RATE
a65,0.5533140193274946,USLAB,NATURAL_VENT_RATE
a66,1.9658552081164933,USLAB,MECHANICAL_VENT_RATE
a67,-0.07454455518778569,UWIN,UWIN
a68,-0.4560335265143596,UWIN,INFILTRATION_RATE
a69,-0.038928197920566815,UWIN,NATURAL_VENT_RATE
a70,-0.5121473974822301,UWIN,MECHANICAL_VENT_RATE
a71,1.0482774413063876,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.2734641902842768,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1.3765304816140114,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.4781423337243511,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.5053085803847179,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1.7536092899060152,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
