coef,value,var1,var2
a0,0.0,,
a1,0.10854967311164392,BUILDING_WWR,
a2,-1.0571124062685797,ASPECT_RATIO,
a3,-0.1021196042849663,AMPLIF_FACTOR,
a4,13.818612044183284,Shutter,
a5,2.09684401966545,UROOF,
a6,-0.008284799020824947,UWALL,
a7,-4.646916716728403,USLAB,
a8,0.656267710418691,UWIN,
a9,-2.444473769007458,INFILTRATION_RATE,
a10,-1.097709508702239,NATURAL_VENT_RATE,
a11,-1.301560210161572,MECHANICAL_VENT_RATE,
a12,0.0007585021919952473,BUILDING_WWR,BUILDING_WWR
a13,-0.025336472978459396,BUILDING_WWR,ASPECT_RATIO
a14,-0.0005361950600364512,BUILDING_WWR,AMPLIF_FACTOR
a15,0.29693135967381135,BUILDING_WWR,Shutter
a16,-0.010224474923316743,BUILDING_WWR,UROOF
a17,-0.00926745187774567,BUILDING_WWR,UWALL
a18,-0.040600781662674404,BUILDING_WWR,USLAB
a19,0.00027230992692073297,BUILDING_WWR,UWIN
a20,-0.026063997145051518,BUILDING_WWR,INFILTRATION_RATE
a21,-0.00989887103732312,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.048438986633055625,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.20070300325305765,ASPECT_RATIO,ASPECT_RATIO
a24,0.011860029809644693,ASPECT_RATIO,AMPLIF_FACTOR
a25,-2.134606562450425,ASPECT_RATIO,Shutter
a26,0.06796682675659399,ASPECT_RATIO,UROOF
a27,0.06370501328975747,ASPECT_RATIO,UWALL
a28,0.37987029291174307,ASPECT_RATIO,USLAB
a29,-0.014705968616129939,ASPECT_RATIO,UWIN
a30,0.2861831039768092,ASPECT_RATIO,INFILTRATION_RATE
a31,0.17229093355998093,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.5565241595649684,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0007176327694295992,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.10125493496210858,AMPLIF_FACTOR,Shutter
a35,-0.02835195940079782,AMPLIF_FACTOR,UROOF
a36,-0.013477494256922018,AMPLIF_FACTOR,UWALL
a37,0.03345675838554252,AMPLIF_FACTOR,USLAB
a38,-0.002298524191198581,AMPLIF_FACTOR,UWIN
a39,0.02160160429687663,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.011062147707344039,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.01824687766417732,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.8451838043342066,Shutter,Shutter
a43,-0.2985339664105969,Shutter,UROOF
a44,-0.19492897593452968,Shutter,UWALL
a45,-3.91352956711014,Shutter,USLAB
a46,0.09256460464780267,Shutter,UWIN
a47,-3.526992875417664,Shutter,INFILTRATION_RATE
a48,-1.5078495631733515,Shutter,NATURAL_VENT_RATE
a49,-4.005135596945723,Shutter,MECHANICAL_VENT_RATE
a50,1.0051444970289953,UROOF,UROOF
a51,0.125182895457573,UROOF,UWALL
a52,-0.9412939891721837,UROOF,USLAB
a53,-0.03544739695836918,UROOF,UWIN
a54,-0.897228236213735,UROOF,INFILTRATION_RATE
a55,-0.10294276792862289,UROOF,NATURAL_VENT_RATE
a56,-0.3530955964273112,UROOF,MECHANICAL_VENT_RATE
a57,0.4268342691256498,UWALL,UWALL
a58,0.13597376434799854,UWALL,USLAB
a59,-0.028645511376383492,UWALL,UWIN
a60,-0.2856369008848279,UWALL,INFILTRATION_RATE
a61,0.19577028563200805,UWALL,NATURAL_VENT_RATE
a62,-0.5944583550224876,UWALL,MECHANICAL_VENT_RATE
a63,1.0233757953507732,USLAB,USLAB
a64,-0.02266654392110312,USLAB,UWIN
a65,1.4676044246037618,USLAB,INFILTRATION_RATE
a66,0.6271965720448576,USLAB,NATURAL_VENT_RATE
a67,1.6520142604980526,USLAB,MECHANICAL_VENT_RATE
a68,-0.053462100821867864,UWIN,UWIN
a69,-0.2932360018778548,UWIN,INFILTRATION_RATE
a70,0.0043445685611974705,UWIN,NATURAL_VENT_RATE
a71,-0.3314450579148814,UWIN,MECHANICAL_VENT_RATE
a72,1.0503966167976355,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.37897688748061953,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1.5309532516065123,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,-0.29388963891820596,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.7284728962112492,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-1.6012125388351608,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
