coef,value,var1,var2
a0,0.23757980280042001,BUILDING_WWR,
a1,-2.4312703015736723,ASPECT_RATIO,
a2,-0.08790432123643127,AMPLIF_FACTOR,
a3,31.086483578026577,Shutter,
a4,1.9721482517595228,UROOF,
a5,0.04700466735543047,UWALL,
a6,-4.8728150934463095,USLAB,
a7,0.506518883234361,UWIN,
a8,-0.39701000487541543,INFILTRATION_RATE,
a9,0.14680251473409145,NATURAL_VENT_RATE,
a10,1.8393186967669195,MECHANICAL_VENT_RATE,
a11,0.001405786075651838,BUILDING_WWR,BUILDING_WWR
a12,-0.0549666628800454,BUILDING_WWR,ASPECT_RATIO
a13,-0.0011294077775006184,BUILDING_WWR,AMPLIF_FACTOR
a14,0.7437989739661341,BUILDING_WWR,Shutter
a15,-0.03992465449739742,BUILDING_WWR,UROOF
a16,-0.01914175934684889,BUILDING_WWR,UWALL
a17,-0.07296535623012151,BUILDING_WWR,USLAB
a18,0.0005511592325054826,BUILDING_WWR,UWIN
a19,-0.022000095541333475,BUILDING_WWR,INFILTRATION_RATE
a20,-0.012466771986272565,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.05433199526592128,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.5081095836836489,ASPECT_RATIO,ASPECT_RATIO
a23,0.025758695376326524,ASPECT_RATIO,AMPLIF_FACTOR
a24,-5.303744959440159,ASPECT_RATIO,Shutter
a25,0.12792588957349038,ASPECT_RATIO,UROOF
a26,0.11928601348486734,ASPECT_RATIO,UWALL
a27,0.8489903599492354,ASPECT_RATIO,USLAB
a28,-0.01797795261129076,ASPECT_RATIO,UWIN
a29,0.32358321751650015,ASPECT_RATIO,INFILTRATION_RATE
a30,0.23471632574017942,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.9011432734631453,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0009339533259441202,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.17463246814249267,AMPLIF_FACTOR,Shutter
a34,-0.02952815249338059,AMPLIF_FACTOR,UROOF
a35,-0.02348419362739218,AMPLIF_FACTOR,UWALL
a36,0.04254216122378662,AMPLIF_FACTOR,USLAB
a37,-0.004420399536439135,AMPLIF_FACTOR,UWIN
a38,-0.003724863622661445,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.012883057590695302,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.014385776500238201,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,0.4073437277279871,Shutter,Shutter
a42,-1.6690291369896622,Shutter,UROOF
a43,-0.6920819888187566,Shutter,UWALL
a44,-7.695333581382495,Shutter,USLAB
a45,0.12445650780767986,Shutter,UWIN
a46,-5.833296117544593,Shutter,INFILTRATION_RATE
a47,-1.6421531463958905,Shutter,NATURAL_VENT_RATE
a48,-5.66793887334265,Shutter,MECHANICAL_VENT_RATE
a49,1.3632728811549384,UROOF,UROOF
a50,0.12889375364146427,UROOF,UWALL
a51,-0.9872845045616642,UROOF,USLAB
a52,0.0299862592302369,UROOF,UWIN
a53,-1.404065660182401,UROOF,INFILTRATION_RATE
a54,-0.0152579729526936,UROOF,NATURAL_VENT_RATE
a55,-0.6524924571330906,UROOF,MECHANICAL_VENT_RATE
a56,0.9923240336341324,UWALL,UWALL
a57,0.20750257625067137,UWALL,USLAB
a58,-0.10913478126109721,UWALL,UWIN
a59,-0.3303458028007745,UWALL,INFILTRATION_RATE
a60,0.1085294763320801,UWALL,NATURAL_VENT_RATE
a61,-0.6707802655816039,UWALL,MECHANICAL_VENT_RATE
a62,1.2888997275177894,USLAB,USLAB
a63,0.02493026099832091,USLAB,UWIN
a64,1.3626881455127577,USLAB,INFILTRATION_RATE
a65,0.5052891210510151,USLAB,NATURAL_VENT_RATE
a66,1.4830722348273295,USLAB,MECHANICAL_VENT_RATE
a67,-0.03627254519415679,UWIN,UWIN
a68,-0.3048561945872932,UWIN,INFILTRATION_RATE
a69,-0.022133258661998,UWIN,NATURAL_VENT_RATE
a70,-0.028443116456486894,UWIN,MECHANICAL_VENT_RATE
a71,1.1072833577997176,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.21637844743260748,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,0.28242791031713166,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.5736142670597348,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-0.17473797243287054,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-4.690799883410386,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
