coef,value,var1,var2
a0,0.0,,
a1,0.05679988402917124,BUILDING_WWR,
a2,-0.6460739066843444,ASPECT_RATIO,
a3,-0.12652592768717882,AMPLIF_FACTOR,
a4,13.00242625504032,Shutter,
a5,-0.5696410731681797,UROOF,
a6,0.904015663292422,UWALL,
a7,-1.7504260155065947,USLAB,
a8,-0.38118037057399995,UWIN,
a9,-2.8962671623698433,INFILTRATION_RATE,
a10,-2.0514691812016346,NATURAL_VENT_RATE,
a11,-6.876074018204631,MECHANICAL_VENT_RATE,
a12,0.001200094861261658,BUILDING_WWR,BUILDING_WWR
a13,-0.04145311884929706,BUILDING_WWR,ASPECT_RATIO
a14,-0.0005631114409594129,BUILDING_WWR,AMPLIF_FACTOR
a15,0.48810976815530566,BUILDING_WWR,Shutter
a16,0.017407579420665405,BUILDING_WWR,UROOF
a17,-0.02010042265898815,BUILDING_WWR,UWALL
a18,-0.029481423537691676,BUILDING_WWR,USLAB
a19,0.0015313234800526931,BUILDING_WWR,UWIN
a20,-0.044818206453812626,BUILDING_WWR,INFILTRATION_RATE
a21,-0.010508913595339064,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.05445040605888201,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.30511530906448314,ASPECT_RATIO,ASPECT_RATIO
a24,0.01317946778528073,ASPECT_RATIO,AMPLIF_FACTOR
a25,-3.4780314795006833,ASPECT_RATIO,Shutter
a26,-0.2324721778213813,ASPECT_RATIO,UROOF
a27,0.16985525289562967,ASPECT_RATIO,UWALL
a28,0.34312287726332324,ASPECT_RATIO,USLAB
a29,-0.009514739661422023,ASPECT_RATIO,UWIN
a30,0.6738354329748365,ASPECT_RATIO,INFILTRATION_RATE
a31,0.22494071713389974,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.7614780980173526,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0010634400206928074,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.12180535596303804,AMPLIF_FACTOR,Shutter
a35,-0.011099834909695794,AMPLIF_FACTOR,UROOF
a36,-0.012959139226576877,AMPLIF_FACTOR,UWALL
a37,0.01788764347304772,AMPLIF_FACTOR,USLAB
a38,-0.0018465656679886866,AMPLIF_FACTOR,UWIN
a39,0.027560464587003786,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.017779242949666596,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.02747400003671885,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,1.5443847130894695,Shutter,Shutter
a43,1.6438178061493098,Shutter,UROOF
a44,-0.6462622782264924,Shutter,UWALL
a45,-2.8710378967165524,Shutter,USLAB
a46,0.07016530154166367,Shutter,UWIN
a47,-5.566146764859594,Shutter,INFILTRATION_RATE
a48,-2.0268618731979346,Shutter,NATURAL_VENT_RATE
a49,-6.068594070522917,Shutter,MECHANICAL_VENT_RATE
a50,2.770566023075847,UROOF,UROOF
a51,-0.7696501736517931,UROOF,UWALL
a52,-0.42341922332729887,UROOF,USLAB
a53,-0.19645354926825798,UROOF,UWIN
a54,0.5808814844990418,UROOF,INFILTRATION_RATE
a55,-0.6490041301149512,UROOF,NATURAL_VENT_RATE
a56,0.05540396305524545,UROOF,MECHANICAL_VENT_RATE
a57,0.4652982827367176,UWALL,UWALL
a58,-0.05762577892665699,UWALL,USLAB
a59,0.09797705683432167,UWALL,UWIN
a60,-0.0055487500711149385,UWALL,INFILTRATION_RATE
a61,0.021321588278300496,UWALL,NATURAL_VENT_RATE
a62,-0.3327277337439272,UWALL,MECHANICAL_VENT_RATE
a63,0.44267376915082934,USLAB,USLAB
a64,-0.011640985271444748,USLAB,UWIN
a65,0.44351201161877013,USLAB,INFILTRATION_RATE
a66,0.3381221130341949,USLAB,NATURAL_VENT_RATE
a67,0.6130745995566209,USLAB,MECHANICAL_VENT_RATE
a68,0.07352109442351262,UWIN,UWIN
a69,0.016618028318666878,UWIN,INFILTRATION_RATE
a70,-0.019338334564429682,UWIN,NATURAL_VENT_RATE
a71,0.2604153681917283,UWIN,MECHANICAL_VENT_RATE
a72,-0.5448180270219214,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.6448979799953793,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,3.6904009139853655,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.18244208448261712,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,2.6906113428880514,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.2700850276217131,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
