coef,value,var1,var2
a0,0.0,,
a1,4.306172681958104,BUILDING_WWR,
a2,-2.0653548764948044,ASPECT_RATIO,
a3,-1.7060205313432342,AMPLIF_FACTOR,
a4,5.803476287652543,Shutter,
a5,3.5065390748767817,UROOF,
a6,-0.21830763299056777,UWALL,
a7,-1.9445284602728417,USLAB,
a8,0.07258536736319299,UWIN,
a9,-0.8765932682455494,INFILTRATION_RATE,
a10,-0.6057473038704001,NATURAL_VENT_RATE,
a11,-0.6116915788842442,MECHANICAL_VENT_RATE,
a12,0.43409837176423416,BUILDING_WWR,BUILDING_WWR
a13,-1.0168830738527797,BUILDING_WWR,ASPECT_RATIO
a14,-0.1846308533558264,BUILDING_WWR,AMPLIF_FACTOR
a15,3.0481600223615213,BUILDING_WWR,Shutter
a16,0.2743190734502986,BUILDING_WWR,UROOF
a17,-0.33122006213284627,BUILDING_WWR,UWALL
a18,-0.6297256197589953,BUILDING_WWR,USLAB
a19,0.05849052780071998,BUILDING_WWR,UWIN
a20,-0.24599115580300324,BUILDING_WWR,INFILTRATION_RATE
a21,-0.08785055217598482,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.2132884712113981,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.48509830116985553,ASPECT_RATIO,ASPECT_RATIO
a24,0.24462201361691777,ASPECT_RATIO,AMPLIF_FACTOR
a25,-1.2949538561740273,ASPECT_RATIO,Shutter
a26,-0.1910679984540008,ASPECT_RATIO,UROOF
a27,0.17563816110768282,ASPECT_RATIO,UWALL
a28,0.40112047910874726,ASPECT_RATIO,USLAB
a29,-0.008841243644004404,ASPECT_RATIO,UWIN
a30,0.19479761485235203,ASPECT_RATIO,INFILTRATION_RATE
a31,0.11970544315021181,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.14989037982708425,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.25003537953126775,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.6276952779512881,AMPLIF_FACTOR,Shutter
a35,-0.17737104914975726,AMPLIF_FACTOR,UROOF
a36,-0.12468593403195127,AMPLIF_FACTOR,UWALL
a37,0.298551933730057,AMPLIF_FACTOR,USLAB
a38,-0.02124381256369845,AMPLIF_FACTOR,UWIN
a39,0.11130724196449948,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.12070909707270006,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.052586411920493015,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.1660097878274578,Shutter,Shutter
a43,0.4333583363011735,Shutter,UROOF
a44,-0.22170736648415423,Shutter,UWALL
a45,-0.9358401667503224,Shutter,USLAB
a46,0.027799625489375313,Shutter,UWIN
a47,-0.5329249068963917,Shutter,INFILTRATION_RATE
a48,-0.2741442956053979,Shutter,NATURAL_VENT_RATE
a49,-0.34920716542911845,Shutter,MECHANICAL_VENT_RATE
a50,1.385802940463322,UROOF,UROOF
a51,-0.5043651287470128,UROOF,UWALL
a52,-0.32277952685426203,UROOF,USLAB
a53,-0.202820284362496,UROOF,UWIN
a54,0.08133735148632626,UROOF,INFILTRATION_RATE
a55,-0.2059887295859879,UROOF,NATURAL_VENT_RATE
a56,0.019269466756313802,UROOF,MECHANICAL_VENT_RATE
a57,0.33548248161882754,UWALL,UWALL
a58,-0.026262246402630307,UWALL,USLAB
a59,0.13186612009574405,UWALL,UWIN
a60,0.04325249110659746,UWALL,INFILTRATION_RATE
a61,0.014875182237594653,UWALL,NATURAL_VENT_RATE
a62,-0.008032567669746346,UWALL,MECHANICAL_VENT_RATE
a63,0.5133224406446082,USLAB,USLAB
a64,-0.01822768819561771,USLAB,UWIN
a65,0.12376272560221863,USLAB,INFILTRATION_RATE
a66,0.15336060096078397,USLAB,NATURAL_VENT_RATE
a67,0.09487881840346996,USLAB,MECHANICAL_VENT_RATE
a68,0.2127539161469525,UWIN,UWIN
a69,0.02536644588227044,UWIN,INFILTRATION_RATE
a70,0.000373366349160964,UWIN,NATURAL_VENT_RATE
a71,0.0784864988205185,UWIN,MECHANICAL_VENT_RATE
a72,-0.045078961772533344,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.07493041464978832,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.18771798003956508,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.08798931678257826,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,0.1924104258019299,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,0.008657360298595096,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
