coef,value,var1,var2
a0,0.0,,
a1,0.05635973643234104,BUILDING_WWR,
a2,-1.1620617681325733,ASPECT_RATIO,
a3,-0.13423927151328433,AMPLIF_FACTOR,
a4,16.173589687606327,Shutter,
a5,-1.8809715365166157,UROOF,
a6,0.26911842448280343,UWALL,
a7,-1.810583553145088,USLAB,
a8,-0.39344643272785956,UWIN,
a9,-1.2068064752428203,INFILTRATION_RATE,
a10,-2.2699364458080984,NATURAL_VENT_RATE,
a11,-5.946934469018067,MECHANICAL_VENT_RATE,
a12,0.0013769464822027955,BUILDING_WWR,BUILDING_WWR
a13,-0.0576489892604069,BUILDING_WWR,ASPECT_RATIO
a14,-0.0004816491247482957,BUILDING_WWR,AMPLIF_FACTOR
a15,0.597057452882373,BUILDING_WWR,Shutter
a16,0.02900795424399219,BUILDING_WWR,UROOF
a17,-0.021109538704893016,BUILDING_WWR,UWALL
a18,-0.03251597465285322,BUILDING_WWR,USLAB
a19,0.002145559669798708,BUILDING_WWR,UWIN
a20,-0.04407025172852028,BUILDING_WWR,INFILTRATION_RATE
a21,-0.004323259505414921,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.04582905329343401,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.5901201787683303,ASPECT_RATIO,ASPECT_RATIO
a24,0.013431176198379233,ASPECT_RATIO,AMPLIF_FACTOR
a25,-4.732659854551978,ASPECT_RATIO,Shutter
a26,-0.30531603919425976,ASPECT_RATIO,UROOF
a27,0.22732969429750738,ASPECT_RATIO,UWALL
a28,0.41380401579148735,ASPECT_RATIO,USLAB
a29,0.004411865416684507,ASPECT_RATIO,UWIN
a30,0.7051888905622881,ASPECT_RATIO,INFILTRATION_RATE
a31,0.1706786576966278,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.6385682455539574,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0011573639061506213,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.14354150503162533,AMPLIF_FACTOR,Shutter
a35,-0.008089698002788026,AMPLIF_FACTOR,UROOF
a36,-0.01567079824214357,AMPLIF_FACTOR,UWALL
a37,0.018378673512394528,AMPLIF_FACTOR,USLAB
a38,-0.002562720682969921,AMPLIF_FACTOR,UWIN
a39,0.02311465761422582,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.020904704691684373,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.025405501885739312,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,0.8837109796238158,Shutter,Shutter
a43,2.3926528404605376,Shutter,UROOF
a44,-1.1034513280135132,Shutter,UWALL
a45,-3.4165122469777174,Shutter,USLAB
a46,0.09136714192907897,Shutter,UWIN
a47,-5.396352572964302,Shutter,INFILTRATION_RATE
a48,-1.7889872987780508,Shutter,NATURAL_VENT_RATE
a49,-5.49744681094291,Shutter,MECHANICAL_VENT_RATE
a50,3.14850415874783,UROOF,UROOF
a51,-0.5453438319239334,UROOF,UWALL
a52,-0.407521701187038,UROOF,USLAB
a53,-0.1793948422872469,UROOF,UWIN
a54,0.26460225000543625,UROOF,INFILTRATION_RATE
a55,-0.7463644164537757,UROOF,NATURAL_VENT_RATE
a56,0.020003205789222434,UROOF,MECHANICAL_VENT_RATE
a57,0.503446897340793,UWALL,UWALL
a58,0.02864516922979543,UWALL,USLAB
a59,0.10024878606388743,UWALL,UWIN
a60,0.25124112405181076,UWALL,INFILTRATION_RATE
a61,0.09527569974028283,UWALL,NATURAL_VENT_RATE
a62,-0.33642623013673817,UWALL,MECHANICAL_VENT_RATE
a63,0.4113368911551938,USLAB,USLAB
a64,0.0020470551634869105,USLAB,UWIN
a65,0.3263297786266165,USLAB,INFILTRATION_RATE
a66,0.35769832248732714,USLAB,NATURAL_VENT_RATE
a67,0.6669822526109606,USLAB,MECHANICAL_VENT_RATE
a68,0.06113543913225916,UWIN,UWIN
a69,0.01461067627152357,UWIN,INFILTRATION_RATE
a70,-0.006003203934667245,UWIN,NATURAL_VENT_RATE
a71,0.13897634042871293,UWIN,MECHANICAL_VENT_RATE
a72,-1.004773270303354,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.40546584370989347,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,1.8201001638522027,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.13618179850392664,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,2.8341642834781338,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.8028828682407546,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
