coef,value,var1,var2
a0,0.0,,
a1,0.018478034846457426,BUILDING_WWR,
a2,-0.788087611295513,ASPECT_RATIO,
a3,-0.14964669483639553,AMPLIF_FACTOR,
a4,23.689746698727312,Shutter,
a5,-6.306532747829901,UROOF,
a6,-0.7201314549319697,UWALL,
a7,-1.8252791604566627,USLAB,
a8,-0.6905106728468456,UWIN,
a9,-0.5309395367390305,INFILTRATION_RATE,
a10,-3.1292713255114766,NATURAL_VENT_RATE,
a11,-7.054090346984999,MECHANICAL_VENT_RATE,
a12,0.0018626448373542936,BUILDING_WWR,BUILDING_WWR
a13,-0.07024514618964464,BUILDING_WWR,ASPECT_RATIO
a14,-0.0005885527320114298,BUILDING_WWR,AMPLIF_FACTOR
a15,0.8452968911982691,BUILDING_WWR,Shutter
a16,0.05783074219522183,BUILDING_WWR,UROOF
a17,-0.02113451444769878,BUILDING_WWR,UWALL
a18,-0.040715010974580024,BUILDING_WWR,USLAB
a19,0.003420348196557982,BUILDING_WWR,UWIN
a20,-0.045223521133121,BUILDING_WWR,INFILTRATION_RATE
a21,2.062472686709116e-05,BUILDING_WWR,NATURAL_VENT_RATE
a22,-0.03745306663599146,BUILDING_WWR,MECHANICAL_VENT_RATE
a23,0.6361731284276578,ASPECT_RATIO,ASPECT_RATIO
a24,0.013791160945353376,ASPECT_RATIO,AMPLIF_FACTOR
a25,-6.105371725763997,ASPECT_RATIO,Shutter
a26,-0.48725979586356494,ASPECT_RATIO,UROOF
a27,0.3383520258242636,ASPECT_RATIO,UWALL
a28,0.4820733319636712,ASPECT_RATIO,USLAB
a29,-0.010292325812559344,ASPECT_RATIO,UWIN
a30,0.8016777226729027,ASPECT_RATIO,INFILTRATION_RATE
a31,0.12050445185143738,ASPECT_RATIO,NATURAL_VENT_RATE
a32,0.6121887264949766,ASPECT_RATIO,MECHANICAL_VENT_RATE
a33,0.0010576937113713214,AMPLIF_FACTOR,AMPLIF_FACTOR
a34,-0.18182583633491767,AMPLIF_FACTOR,Shutter
a35,0.003787189159054183,AMPLIF_FACTOR,UROOF
a36,-0.01687823601935179,AMPLIF_FACTOR,UWALL
a37,0.023384782142999327,AMPLIF_FACTOR,USLAB
a38,-0.00031038787364545684,AMPLIF_FACTOR,UWIN
a39,0.013479616722677404,AMPLIF_FACTOR,INFILTRATION_RATE
a40,0.024829626005023364,AMPLIF_FACTOR,NATURAL_VENT_RATE
a41,0.013240609023004168,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a42,-3.4071054224923225,Shutter,Shutter
a43,3.3497224094707017,Shutter,UROOF
a44,-1.4669304733842725,Shutter,UWALL
a45,-4.234720954527381,Shutter,USLAB
a46,0.1586377995744925,Shutter,UWIN
a47,-6.083350203872812,Shutter,INFILTRATION_RATE
a48,-1.8109658182199855,Shutter,NATURAL_VENT_RATE
a49,-6.4532745203237685,Shutter,MECHANICAL_VENT_RATE
a50,4.12201303270922,UROOF,UROOF
a51,-0.3490480261183439,UROOF,UWALL
a52,-0.338293019604785,UROOF,USLAB
a53,-0.15825663499281495,UROOF,UWIN
a54,0.5152562614984879,UROOF,INFILTRATION_RATE
a55,-0.39056281534763554,UROOF,NATURAL_VENT_RATE
a56,0.6610757019739428,UROOF,MECHANICAL_VENT_RATE
a57,0.736619117581228,UWALL,UWALL
a58,0.07416558886782543,UWALL,USLAB
a59,0.10154340186551725,UWALL,UWIN
a60,0.14070263536921113,UWALL,INFILTRATION_RATE
a61,0.12061978498008052,UWALL,NATURAL_VENT_RATE
a62,0.033380306953218364,UWALL,MECHANICAL_VENT_RATE
a63,0.40771684395211194,USLAB,USLAB
a64,0.009940368924546833,USLAB,UWIN
a65,0.20219615856440365,USLAB,INFILTRATION_RATE
a66,0.36623057287289296,USLAB,NATURAL_VENT_RATE
a67,0.781940135099547,USLAB,MECHANICAL_VENT_RATE
a68,0.05740651243968009,UWIN,UWIN
a69,-0.017447507076230107,UWIN,INFILTRATION_RATE
a70,0.08616504473379533,UWIN,NATURAL_VENT_RATE
a71,0.3569528367732059,UWIN,MECHANICAL_VENT_RATE
a72,-0.9984058488162939,INFILTRATION_RATE,INFILTRATION_RATE
a73,0.3202831262786927,INFILTRATION_RATE,NATURAL_VENT_RATE
a74,0.5709064062273573,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a75,0.14965418434615851,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a76,2.6857279319239944,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a77,-0.36966977960181596,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
