name,dTmorpho,Dmorpho,wspeed,MEAN_BUILD_HEIGHT,OPENING_FRACTION,NB_STREET_DENSITY,BLOCK_NB_DENSITY,FREE_FACADE_FRACTION
morphologie_1 hauteur bat 8,2.2443933549124,24,1.6,8,0.353201970443694,0.0147783251231527,0.000455374865610077,0.275782155272306
morphologie_2 hauteur bat 8,3.0122730388423,55,1.6,8,0.415776783981342,0.029126213592233,0.000632239239675446,0.363260108245782
morphologie_3 hauteur bat 8,3.157247070207,53,1.6,8,0.426315789474687,0.0430622009569378,0.00070755666233082,0.441340782122905
morphologie_4 hauteur bat 8,2.0847355653986,30,1.6,8,0.617821730916517,0.0099009900990099,0.000184424571584272,0.132697311361665
morphologie_5 hauteur bat 8,1.8147496581801,26,1.6,8,0.589655259880467,0.0147783251231527,0.000299626887646024,0.20280612244898
morphologie_6 hauteur bat 8,2.4221435042433,4,1.6,8,0.594174757282231,0.029126213592233,0.000434028870923386,0.330745549457904
morphologie_7 hauteur bat 8,1.640931295074,12,1.6,8,0.76699507389197,0.0147783251231527,0.000199549549549653,0.185136897001304
morphologie_1 hauteur bat 16,2.1589671871033,66,1.6,16,0.353201970443694,0.0147783251231527,0.000455374865610077,0.432334241598547
morphologie_2 hauteur bat 16,2.696074638233,64,1.6,16,0.415776783981342,0.029126213592233,0.000632239239675446,0.532928538066324
morphologie_3 hauteur bat 16,2.4931919351935,41,1.6,16,0.426315789474687,0.0430622009569378,0.00070755666233082,0.612403100775194
morphologie_4 hauteur bat 16,1.9791706683168,56,1.6,16,0.617821730916517,0.0099009900990099,0.000184424571584272,0.234303215926493
morphologie_5 hauteur bat 16,1.7110891324847,32,1.6,16,0.589655259880467,0.0147783251231527,0.000299626887646024,0.337221633085896
morphologie_6 hauteur bat 16,2.2961525848656,54,1.6,16,0.594174757282231,0.029126213592233,0.000434028870923386,0.497083081874874
morphologie_7 hauteur bat 16,1.4807034164528,17,1.6,16,0.76699507389197,0.0147783251231527,0.000199549549549653,0.312431243124312
morphologie_1 hauteur bat 32,1.8391184437675,39,1.6,32,0.353201970443694,0.0147783251231527,0.000455374865610077,0.603677869372226
morphologie_2 hauteur bat 32,2.4189150799695,74,1.6,32,0.415776783981342,0.029126213592233,0.000632239239675446,0.695307739183425
morphologie_3 hauteur bat 32,2.3382378982898,54,1.6,32,0.426315789474687,0.0430622009569378,0.00070755666233082,0.759615384615385
morphologie_4 hauteur bat 32,1.8461723944763,126.472563774921,1.6,32,0.617821730916517,0.0099009900990099,0.000184424571584272,0.379652605459057
morphologie_5 hauteur bat 32,1.6788036185761,37,1.6,32,0.589655259880467,0.0147783251231527,0.000299626887646024,0.50436161776368
morphologie_6 hauteur bat 32,2.0608308981612,55,1.6,32,0.594174757282231,0.029126213592233,0.000434028870923386,0.664068798710024
morphologie_7 hauteur bat 32,1.5983977019924,37,1.6,32,0.76699507389197,0.0147783251231527,0.000199549549549653,0.476110645431685
morphologie_1 hauteur bat 8,1.9939232355928,41,4.6,8,0.353201970443694,0.0147783251231527,0.000455374865610077,0.275782155272306
morphologie_2 hauteur bat 8,2.4400403274943,66,4.6,8,0.415776783981342,0.029126213592233,0.000632239239675446,0.363260108245782
morphologie_3 hauteur bat 8,2.44056319982,68,4.6,8,0.426315789474687,0.0430622009569378,0.00070755666233082,0.441340782122905
morphologie_4 hauteur bat 8,1.4392764851485,37,4.6,8,0.617821730916517,0.0099009900990099,0.000184424571584272,0.132697311361665
morphologie_5 hauteur bat 8,1.5398459963853,42,4.6,8,0.589655259880467,0.0147783251231527,0.000299626887646024,0.20280612244898
morphologie_6 hauteur bat 8,2.0736038967468,76,4.6,8,0.594174757282231,0.029126213592233,0.000434028870923386,0.330745549457904
morphologie_7 hauteur bat 8,1.479579027625,50,4.6,8,0.76699507389197,0.0147783251231527,0.000199549549549653,0.185136897001304
morphologie_1 hauteur bat 16,2.0397379030211,46,4.6,16,0.353201970443694,0.0147783251231527,0.000455374865610077,0.432334241598547
morphologie_2 hauteur bat 16,2.3174947210586,79,4.6,16,0.415776783981342,0.029126213592233,0.000632239239675446,0.532928538066324
morphologie_3 hauteur bat 16,2.1244720252025,63,4.6,16,0.426315789474687,0.0430622009569378,0.00070755666233082,0.612403100775194
morphologie_4 hauteur bat 16,1.4616403269932,40,4.6,16,0.617821730916517,0.0099009900990099,0.000184424571584272,0.234303215926493
morphologie_5 hauteur bat 16,1.4507741827754,36,4.6,16,0.589655259880467,0.0147783251231527,0.000299626887646024,0.337221633085896
