coef,value,var1,var2
a0,130.14909542529813,BUILDING_WWR,
a1,-1705.7477527976082,ASPECT_RATIO,
a2,-46.71898528374022,AMPLIF_FACTOR,
a3,18089.50448435623,Shutter,
a4,806.1203555878591,UROOF,
a5,-547.5575340998948,UWALL,
a6,81.16568108765902,USLAB,
a7,1212.4422458737079,UWIN,
a8,-6790.828762680058,INFILTRATION_RATE,
a9,1496.7151209182548,NATURAL_VENT_RATE,
a10,-7865.603702762638,MECHANICAL_VENT_RATE,
a11,0.7224787706407483,BUILDING_WWR,BUILDING_WWR
a12,-29.37421321961051,BUILDING_WWR,ASPECT_RATIO
a13,-0.7316094639325073,BUILDING_WWR,AMPLIF_FACTOR
a14,266.2670550632605,BUILDING_WWR,Shutter
a15,-7.854116335126619,BUILDING_WWR,UROOF
a16,-12.338627112448407,BUILDING_WWR,UWALL
a17,-5.506168544883707,BUILDING_WWR,USLAB
a18,0.3953792044340503,BUILDING_WWR,UWIN
a19,-84.52945155567869,BUILDING_WWR,INFILTRATION_RATE
a20,-24.82322612551431,BUILDING_WWR,NATURAL_VENT_RATE
a21,-80.42977163181456,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,247.0749488361647,ASPECT_RATIO,ASPECT_RATIO
a23,11.810116366393004,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2643.897848279895,ASPECT_RATIO,Shutter
a25,77.76121946844711,ASPECT_RATIO,UROOF
a26,174.21157509311047,ASPECT_RATIO,UWALL
a27,90.12182005038949,ASPECT_RATIO,USLAB
a28,-9.914032665790728,ASPECT_RATIO,UWIN
a29,1295.7713507208225,ASPECT_RATIO,INFILTRATION_RATE
a30,400.60077371089335,ASPECT_RATIO,NATURAL_VENT_RATE
a31,1242.9777801572022,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.3159724496567833,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-94.64596752791658,AMPLIF_FACTOR,Shutter
a34,-1.7315462112511,AMPLIF_FACTOR,UROOF
a35,1.1255163078583337,AMPLIF_FACTOR,UWALL
a36,3.493734993686303,AMPLIF_FACTOR,USLAB
a37,-1.735143958485878,AMPLIF_FACTOR,UWIN
a38,39.2398779046398,AMPLIF_FACTOR,INFILTRATION_RATE
a39,8.03123766328099,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,45.87099376082551,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,4501.04118446191,Shutter,Shutter
a42,-728.3808540535895,Shutter,UROOF
a43,-1552.7658412059213,Shutter,UWALL
a44,-481.8012143218548,Shutter,USLAB
a45,-123.99559011557494,Shutter,UWIN
a46,-10446.082280610795,Shutter,INFILTRATION_RATE
a47,-3104.493194931768,Shutter,NATURAL_VENT_RATE
a48,-10622.976690123927,Shutter,MECHANICAL_VENT_RATE
a49,-59.26341933184767,UROOF,UROOF
a50,72.2475380085715,UROOF,UWALL
a51,-86.2434963514811,UROOF,USLAB
a52,-24.577897342148844,UROOF,UWIN
a53,151.8640736285307,UROOF,INFILTRATION_RATE
a54,-130.8658958113865,UROOF,NATURAL_VENT_RATE
a55,56.52291799147963,UROOF,MECHANICAL_VENT_RATE
a56,1.4880259914871203,UWALL,UWALL
a57,-3.698619834633792,UWALL,USLAB
a58,-38.772230353294844,UWALL,UWIN
a59,888.8691465630098,UWALL,INFILTRATION_RATE
a60,63.75986919211914,UWALL,NATURAL_VENT_RATE
a61,1433.073818742078,UWALL,MECHANICAL_VENT_RATE
a62,-61.11034248786791,USLAB,USLAB
a63,13.314139817958903,USLAB,UWIN
a64,334.72072716170373,USLAB,INFILTRATION_RATE
a65,-7.8034228850567615,USLAB,NATURAL_VENT_RATE
a66,393.16577339893695,USLAB,MECHANICAL_VENT_RATE
a67,-119.52477972377119,UWIN,UWIN
a68,-336.80507344755415,UWIN,INFILTRATION_RATE
a69,-173.7309350887125,UWIN,NATURAL_VENT_RATE
a70,-83.27115871837816,UWIN,MECHANICAL_VENT_RATE
a71,2190.8480748412057,INFILTRATION_RATE,INFILTRATION_RATE
a72,1218.450702124765,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,8009.256278777011,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-654.5774691357819,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,1055.2696000345213,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,457.2517751687594,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
