coef,value,var1,var2
a0,107.55441288436612,BUILDING_WWR,
a1,-1201.6086213113228,ASPECT_RATIO,
a2,-46.1413778787613,AMPLIF_FACTOR,
a3,14200.5954854193,Shutter,
a4,709.5758637863306,UROOF,
a5,-684.4250766763261,UWALL,
a6,176.37145720877015,USLAB,
a7,1048.2596072895433,UWIN,
a8,-5940.629069756858,INFILTRATION_RATE,
a9,1568.0669380778318,NATURAL_VENT_RATE,
a10,-7251.682848128899,MECHANICAL_VENT_RATE,
a11,0.701913207417526,BUILDING_WWR,BUILDING_WWR
a12,-21.158594845899326,BUILDING_WWR,ASPECT_RATIO
a13,-0.7615990397276704,BUILDING_WWR,AMPLIF_FACTOR
a14,233.13629057278115,BUILDING_WWR,Shutter
a15,-6.4296426294164775,BUILDING_WWR,UROOF
a16,-10.883462423846765,BUILDING_WWR,UWALL
a17,-5.133550711117778,BUILDING_WWR,USLAB
a18,0.1878702785356836,BUILDING_WWR,UWIN
a19,-77.84466764364822,BUILDING_WWR,INFILTRATION_RATE
a20,-24.30076799438322,BUILDING_WWR,NATURAL_VENT_RATE
a21,-73.24285358205498,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,136.86800081627973,ASPECT_RATIO,ASPECT_RATIO
a23,9.613533053476317,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1891.5153181167957,ASPECT_RATIO,Shutter
a25,58.96872287613769,ASPECT_RATIO,UROOF
a26,139.46403659368775,ASPECT_RATIO,UWALL
a27,69.96562324438412,ASPECT_RATIO,USLAB
a28,-3.346041697790696,ASPECT_RATIO,UWIN
a29,986.3874075272574,ASPECT_RATIO,INFILTRATION_RATE
a30,323.01556487711406,ASPECT_RATIO,NATURAL_VENT_RATE
a31,941.3788022134868,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.31074310443250397,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-89.45778868646448,AMPLIF_FACTOR,Shutter
a34,-1.182020954291147,AMPLIF_FACTOR,UROOF
a35,2.7953195657701144,AMPLIF_FACTOR,UWALL
a36,3.504323260482124,AMPLIF_FACTOR,USLAB
a37,-1.3967057427935288,AMPLIF_FACTOR,UWIN
a38,39.84349062245019,AMPLIF_FACTOR,INFILTRATION_RATE
a39,9.715220462246748,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,46.37767147418447,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,5030.259865108284,Shutter,Shutter
a42,-591.5570270571717,Shutter,UROOF
a43,-1483.147085276516,Shutter,UWALL
a44,-410.53396251079255,Shutter,USLAB
a45,-116.32972077627416,Shutter,UWIN
a46,-9350.022487911927,Shutter,INFILTRATION_RATE
a47,-2722.194392895442,Shutter,NATURAL_VENT_RATE
a48,-9552.94965257132,Shutter,MECHANICAL_VENT_RATE
a49,-71.91450299347343,UROOF,UROOF
a50,83.05603883941563,UROOF,UWALL
a51,-80.43028305785901,UROOF,USLAB
a52,-0.06995675338907859,UROOF,UWIN
a53,70.11688416209455,UROOF,INFILTRATION_RATE
a54,-110.20225417970687,UROOF,NATURAL_VENT_RATE
a55,71.9169440299845,UROOF,MECHANICAL_VENT_RATE
a56,-41.289411992617275,UWALL,UWALL
a57,-4.481585444787413,UWALL,USLAB
a58,-33.72157538676231,UWALL,UWIN
a59,974.8749937310404,UWALL,INFILTRATION_RATE
a60,86.32058007320427,UWALL,NATURAL_VENT_RATE
a61,1500.7587126264227,UWALL,MECHANICAL_VENT_RATE
a62,-75.41237375945957,USLAB,USLAB
a63,15.307659271838247,USLAB,UWIN
a64,307.9287733536472,USLAB,INFILTRATION_RATE
a65,-15.773649149435641,USLAB,NATURAL_VENT_RATE
a66,369.4714280721762,USLAB,MECHANICAL_VENT_RATE
a67,-119.3402029193644,UWIN,UWIN
a68,-273.1264610722985,UWIN,INFILTRATION_RATE
a69,-134.62874893496064,UWIN,NATURAL_VENT_RATE
a70,-79.97112785441482,UWIN,MECHANICAL_VENT_RATE
a71,1790.2179120329254,INFILTRATION_RATE,INFILTRATION_RATE
a72,1179.9899680891845,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,7541.695928836125,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-686.8615704951503,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,1078.6334360540088,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,20.785711568019963,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
