coef,value,var1,var2
a0,155.40095895550115,BUILDING_WWR,
a1,-1675.8124276415888,ASPECT_RATIO,
a2,-39.7733882748869,AMPLIF_FACTOR,
a3,23636.080418400164,Shutter,
a4,674.7622929942747,UROOF,
a5,-1395.9611674680891,UWALL,
a6,-17.53075643458436,USLAB,
a7,1205.3888242603205,UWIN,
a8,-6796.930674537528,INFILTRATION_RATE,
a9,1963.3164724997823,NATURAL_VENT_RATE,
a10,-8149.21373109856,MECHANICAL_VENT_RATE,
a11,0.4587809481491547,BUILDING_WWR,BUILDING_WWR
a12,-30.06886133116071,BUILDING_WWR,ASPECT_RATIO
a13,-0.7251472783802534,BUILDING_WWR,AMPLIF_FACTOR
a14,340.82184787086396,BUILDING_WWR,Shutter
a15,-7.716789712835464,BUILDING_WWR,UROOF
a16,-18.35921400964867,BUILDING_WWR,UWALL
a17,-6.850112667670601,BUILDING_WWR,USLAB
a18,1.0062569812981792,BUILDING_WWR,UWIN
a19,-75.85489891354268,BUILDING_WWR,INFILTRATION_RATE
a20,-23.275180676540685,BUILDING_WWR,NATURAL_VENT_RATE
a21,-64.55737044679131,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,240.3611713909745,ASPECT_RATIO,ASPECT_RATIO
a23,11.94816061794279,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2949.5099170155504,ASPECT_RATIO,Shutter
a25,91.30386245981981,ASPECT_RATIO,UROOF
a26,283.82028800824685,ASPECT_RATIO,UWALL
a27,110.74440552765464,ASPECT_RATIO,USLAB
a28,-17.720261774381697,ASPECT_RATIO,UWIN
a29,1193.3884840566834,ASPECT_RATIO,INFILTRATION_RATE
a30,381.22384663491533,ASPECT_RATIO,NATURAL_VENT_RATE
a31,1002.7348440472358,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.2748621636330313,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-112.44975865606739,AMPLIF_FACTOR,Shutter
a34,-1.5441525717460536,AMPLIF_FACTOR,UROOF
a35,1.734398269562007,AMPLIF_FACTOR,UWALL
a36,4.285449841717309,AMPLIF_FACTOR,USLAB
a37,-1.615226068785887,AMPLIF_FACTOR,UWIN
a38,32.283345538172966,AMPLIF_FACTOR,INFILTRATION_RATE
a39,4.632120276542082,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,38.55599894493935,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,3127.5539568977956,Shutter,Shutter
a42,-794.3608692631315,Shutter,UROOF
a43,-2798.187553479938,Shutter,UWALL
a44,-682.8152029549778,Shutter,USLAB
a45,-105.06981985017455,Shutter,UWIN
a46,-11191.624725053429,Shutter,INFILTRATION_RATE
a47,-3149.4894637551965,Shutter,NATURAL_VENT_RATE
a48,-11440.1648158442,Shutter,MECHANICAL_VENT_RATE
a49,-71.3346504342835,UROOF,UROOF
a50,67.68870775948153,UROOF,UWALL
a51,-65.92492888963989,UROOF,USLAB
a52,-17.407514039727175,UROOF,UWIN
a53,179.22836075388625,UROOF,INFILTRATION_RATE
a54,-99.41006467219268,UROOF,NATURAL_VENT_RATE
a55,47.44305405471823,UROOF,MECHANICAL_VENT_RATE
a56,148.2830826730733,UWALL,UWALL
a57,58.65999898759469,UWALL,USLAB
a58,-57.2937731842847,UWALL,UWIN
a59,1450.118202048127,UWALL,INFILTRATION_RATE
a60,94.38661864225742,UWALL,NATURAL_VENT_RATE
a61,2195.2099438808677,UWALL,MECHANICAL_VENT_RATE
a62,-60.31945285328584,USLAB,USLAB
a63,9.770638985311052,USLAB,UWIN
a64,299.652288389596,USLAB,INFILTRATION_RATE
a65,14.080703526859907,USLAB,NATURAL_VENT_RATE
a66,469.10000952660585,USLAB,MECHANICAL_VENT_RATE
a67,-120.74175177213192,UWIN,UWIN
a68,-342.08770042259493,UWIN,INFILTRATION_RATE
a69,-158.11051502253622,UWIN,NATURAL_VENT_RATE
a70,-177.6040827215565,UWIN,MECHANICAL_VENT_RATE
a71,1861.2642010190807,INFILTRATION_RATE,INFILTRATION_RATE
a72,925.1349503915244,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,7605.9856990842845,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-757.5922659351327,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,639.2856865807694,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,250.14515841822467,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
