coef,value,var1,var2
a0,169.06479669814283,BUILDING_WWR,
a1,-1241.5815403232855,ASPECT_RATIO,
a2,-39.48447246883497,AMPLIF_FACTOR,
a3,25790.040109810816,Shutter,
a4,443.80896844691745,UROOF,
a5,-2096.916659842058,UWALL,
a6,69.03547227296087,USLAB,
a7,999.1191786809788,UWIN,
a8,-6391.024248906751,INFILTRATION_RATE,
a9,2193.3523013460076,NATURAL_VENT_RATE,
a10,-7921.565584801318,MECHANICAL_VENT_RATE,
a11,0.1120357790332136,BUILDING_WWR,BUILDING_WWR
a12,-24.26886155142059,BUILDING_WWR,ASPECT_RATIO
a13,-0.7438142948653734,BUILDING_WWR,AMPLIF_FACTOR
a14,364.4759680388096,BUILDING_WWR,Shutter
a15,-6.234440125248739,BUILDING_WWR,UROOF
a16,-20.43600322683838,BUILDING_WWR,UWALL
a17,-5.617910879108592,BUILDING_WWR,USLAB
a18,0.7155760020116304,BUILDING_WWR,UWIN
a19,-69.10357325414327,BUILDING_WWR,INFILTRATION_RATE
a20,-17.667337995488424,BUILDING_WWR,NATURAL_VENT_RATE
a21,-59.51335718719156,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,116.87765125226781,ASPECT_RATIO,ASPECT_RATIO
a23,11.184460870245402,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2620.7838732337386,ASPECT_RATIO,Shutter
a25,74.39979021117483,ASPECT_RATIO,UROOF
a26,323.8856127478747,ASPECT_RATIO,UWALL
a27,89.84266319090284,ASPECT_RATIO,USLAB
a28,-9.421725176881068,ASPECT_RATIO,UWIN
a29,1043.3452745863585,ASPECT_RATIO,INFILTRATION_RATE
a30,268.00547250750174,ASPECT_RATIO,NATURAL_VENT_RATE
a31,913.0483519812967,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.35136083638508353,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-121.51464994096023,AMPLIF_FACTOR,Shutter
a34,-0.9840729683305653,AMPLIF_FACTOR,UROOF
a35,4.674029136547688,AMPLIF_FACTOR,UWALL
a36,4.113692617924357,AMPLIF_FACTOR,USLAB
a37,-0.9680683518417936,AMPLIF_FACTOR,UWIN
a38,25.720694073606865,AMPLIF_FACTOR,INFILTRATION_RATE
a39,3.7960566788647156,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,27.668558855528715,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2064.5132945115,Shutter,Shutter
a42,-721.9945950518895,Shutter,UROOF
a43,-3930.2463920389996,Shutter,UWALL
a44,-855.8178478025519,Shutter,USLAB
a45,-33.880550294827344,Shutter,UWIN
a46,-10619.417049076981,Shutter,INFILTRATION_RATE
a47,-3080.0409469288775,Shutter,NATURAL_VENT_RATE
a48,-10533.449399411495,Shutter,MECHANICAL_VENT_RATE
a49,-72.37667053956648,UROOF,UROOF
a50,50.13836688708216,UROOF,UWALL
a51,-21.910615684120557,UROOF,USLAB
a52,-10.896972971362175,UROOF,UWIN
a53,206.9349459005182,UROOF,INFILTRATION_RATE
a54,-74.13010825497031,UROOF,NATURAL_VENT_RATE
a55,68.3967646549824,UROOF,MECHANICAL_VENT_RATE
a56,299.39120288129743,UWALL,UWALL
a57,64.90456251049261,UWALL,USLAB
a58,-53.51883950133697,UWALL,UWIN
a59,1696.0960683965197,UWALL,INFILTRATION_RATE
a60,123.15646191775431,UWALL,NATURAL_VENT_RATE
a61,2576.8782377312004,UWALL,MECHANICAL_VENT_RATE
a62,-64.38945251316909,USLAB,USLAB
a63,-1.5694530123300865,USLAB,UWIN
a64,211.99543275463384,USLAB,INFILTRATION_RATE
a65,-20.992626518567704,USLAB,NATURAL_VENT_RATE
a66,324.8711976446723,USLAB,MECHANICAL_VENT_RATE
a67,-105.67970096143108,UWIN,UWIN
a68,-257.0052829967576,UWIN,INFILTRATION_RATE
a69,-111.03857781103306,UWIN,NATURAL_VENT_RATE
a70,-203.67663565162684,UWIN,MECHANICAL_VENT_RATE
a71,1590.9629090268438,INFILTRATION_RATE,INFILTRATION_RATE
a72,628.5904292292362,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,7365.056822679152,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-783.4975325808582,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,342.5504477055756,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,500.70520880059195,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
