coef,value,var1,var2
a0,102.20065285108973,BUILDING_WWR,
a1,-762.2730254185924,ASPECT_RATIO,
a2,-49.66244780834176,AMPLIF_FACTOR,
a3,10889.338191245412,Shutter,
a4,987.5057902048906,UROOF,
a5,126.61856590560652,UWALL,
a6,-3397.9798958478696,USLAB,
a7,1330.419580916877,UWIN,
a8,-1841.9786230056225,INFILTRATION_RATE,
a9,902.6462487985964,NATURAL_VENT_RATE,
a10,-699.6619057693661,MECHANICAL_VENT_RATE,
a11,0.4415533277900616,BUILDING_WWR,BUILDING_WWR
a12,-11.352772835314632,BUILDING_WWR,ASPECT_RATIO
a13,-0.4993917432175863,BUILDING_WWR,AMPLIF_FACTOR
a14,141.02557369502284,BUILDING_WWR,Shutter
a15,-18.66263358785438,BUILDING_WWR,UROOF
a16,-3.832005158758342,BUILDING_WWR,UWALL
a17,-23.717519953238934,BUILDING_WWR,USLAB
a18,0.5813556917336911,BUILDING_WWR,UWIN
a19,-31.050882915084628,BUILDING_WWR,INFILTRATION_RATE
a20,-11.184450131126596,BUILDING_WWR,NATURAL_VENT_RATE
a21,-46.35215981871826,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,68.20745089530476,ASPECT_RATIO,ASPECT_RATIO
a23,4.99193331225257,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1057.174238090099,ASPECT_RATIO,Shutter
a25,89.28931417045328,ASPECT_RATIO,UROOF
a26,19.674484908560316,ASPECT_RATIO,UWALL
a27,232.7181688287703,ASPECT_RATIO,USLAB
a28,-18.449507334134225,ASPECT_RATIO,UWIN
a29,283.3739585904829,ASPECT_RATIO,INFILTRATION_RATE
a30,151.8820022581897,ASPECT_RATIO,NATURAL_VENT_RATE
a31,404.67430585347154,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.3159398610749804,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-59.70031958374696,AMPLIF_FACTOR,Shutter
a34,-1.1229918750641446,AMPLIF_FACTOR,UROOF
a35,-2.447421188932367,AMPLIF_FACTOR,UWALL
a36,17.717311983939624,AMPLIF_FACTOR,USLAB
a37,-2.0201456372897155,AMPLIF_FACTOR,UWIN
a38,18.97753207129881,AMPLIF_FACTOR,INFILTRATION_RATE
a39,5.515063374107285,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,24.512565626880132,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2121.6442157535903,Shutter,Shutter
a42,-1352.0456575979672,Shutter,UROOF
a43,-174.34378293114472,Shutter,UWALL
a44,-2334.084345702599,Shutter,USLAB
a45,92.02422862566303,Shutter,UWIN
a46,-2867.5201120743686,Shutter,INFILTRATION_RATE
a47,-1312.269871904336,Shutter,NATURAL_VENT_RATE
a48,-4740.432136300636,Shutter,MECHANICAL_VENT_RATE
a49,390.8460076373765,UROOF,UROOF
a50,-14.030251052380208,UROOF,UWALL
a51,-554.4423999053106,UROOF,USLAB
a52,-79.94841247821648,UROOF,UWIN
a53,-208.09766910344635,UROOF,INFILTRATION_RATE
a54,58.22573610384188,UROOF,NATURAL_VENT_RATE
a55,385.47148244808847,UROOF,MECHANICAL_VENT_RATE
a56,99.20516300968143,UWALL,UWALL
a57,302.6846375943893,UWALL,USLAB
a58,-69.38342000458897,UWALL,UWIN
a59,-430.0431737965613,UWALL,INFILTRATION_RATE
a60,81.82376690662454,UWALL,NATURAL_VENT_RATE
a61,-185.3417056364716,UWALL,MECHANICAL_VENT_RATE
a62,677.946324790104,USLAB,USLAB
a63,-53.000499339503676,USLAB,UWIN
a64,1228.3854759892142,USLAB,INFILTRATION_RATE
a65,352.2715327360213,USLAB,NATURAL_VENT_RATE
a66,1928.1241861973751,USLAB,MECHANICAL_VENT_RATE
a67,-112.54204180393856,UWIN,UWIN
a68,-361.9673023982205,UWIN,INFILTRATION_RATE
a69,-46.61113311920627,UWIN,NATURAL_VENT_RATE
a70,-667.7396328031467,UWIN,MECHANICAL_VENT_RATE
a71,781.7707204651068,INFILTRATION_RATE,INFILTRATION_RATE
a72,210.12927961814626,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1613.7336872507133,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-609.5467061835354,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,27.725892327999645,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-2074.6056290008137,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
