coef,value,var1,var2
a0,132.84293097784928,BUILDING_WWR,
a1,-854.8477852367707,ASPECT_RATIO,
a2,-24.149347103774613,AMPLIF_FACTOR,
a3,13207.325903172745,Shutter,
a4,567.3186871126312,UROOF,
a5,-250.70609908155626,UWALL,
a6,-3866.4767195107315,USLAB,
a7,1341.6787318857296,UWIN,
a8,-924.497472586205,INFILTRATION_RATE,
a9,1283.8082734108016,NATURAL_VENT_RATE,
a10,11.754962205609658,MECHANICAL_VENT_RATE,
a11,0.25924414155426234,BUILDING_WWR,BUILDING_WWR
a12,-14.80511629098578,BUILDING_WWR,ASPECT_RATIO
a13,-0.07038307459501425,BUILDING_WWR,AMPLIF_FACTOR
a14,163.5912917909266,BUILDING_WWR,Shutter
a15,-23.21154388952941,BUILDING_WWR,UROOF
a16,-5.509814022142507,BUILDING_WWR,UWALL
a17,-23.983215060628368,BUILDING_WWR,USLAB
a18,0.6424366740210985,BUILDING_WWR,UWIN
a19,-32.547288786208696,BUILDING_WWR,INFILTRATION_RATE
a20,-9.551746223296618,BUILDING_WWR,NATURAL_VENT_RATE
a21,-38.50439002085801,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,108.14656553253371,ASPECT_RATIO,ASPECT_RATIO
a23,-0.14752630226604424,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1102.0730784895131,ASPECT_RATIO,Shutter
a25,91.4129902383122,ASPECT_RATIO,UROOF
a26,39.99868786507352,ASPECT_RATIO,UWALL
a27,224.13949007130668,ASPECT_RATIO,USLAB
a28,-6.768941291669535,ASPECT_RATIO,UWIN
a29,376.2013869380211,ASPECT_RATIO,INFILTRATION_RATE
a30,139.2297933621319,ASPECT_RATIO,NATURAL_VENT_RATE
a31,423.8192597298239,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,-0.006644935467193136,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-76.49383651111407,AMPLIF_FACTOR,Shutter
a34,-1.160205140121775,AMPLIF_FACTOR,UROOF
a35,-0.8028654737618126,AMPLIF_FACTOR,UWALL
a36,13.683749652032247,AMPLIF_FACTOR,USLAB
a37,-0.5843518813426272,AMPLIF_FACTOR,UWIN
a38,6.431693183380958,AMPLIF_FACTOR,INFILTRATION_RATE
a39,1.9864473906254716,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,7.729411392921293,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2822.633239175292,Shutter,Shutter
a42,-1590.0821057687538,Shutter,UROOF
a43,-460.8553445804065,Shutter,UWALL
a44,-2845.19776408905,Shutter,USLAB
a45,182.26921396587022,Shutter,UWIN
a46,-3074.547467828572,Shutter,INFILTRATION_RATE
a47,-1231.9503045731121,Shutter,NATURAL_VENT_RATE
a48,-4771.668384186716,Shutter,MECHANICAL_VENT_RATE
a49,452.8954647686569,UROOF,UROOF
a50,37.67329291002386,UROOF,UWALL
a51,-443.4415781275866,UROOF,USLAB
a52,-66.14091091104638,UROOF,UWIN
a53,73.44639341127589,UROOF,INFILTRATION_RATE
a54,0.421699508007805,UROOF,NATURAL_VENT_RATE
a55,176.4735905958811,UROOF,MECHANICAL_VENT_RATE
a56,127.2588858183467,UWALL,UWALL
a57,432.2330690687495,UWALL,USLAB
a58,-95.9172470661092,UWALL,UWIN
a59,-417.7867515867185,UWALL,INFILTRATION_RATE
a60,79.99777429429764,UWALL,NATURAL_VENT_RATE
a61,-43.10084614057632,UWALL,MECHANICAL_VENT_RATE
a62,750.9491973736053,USLAB,USLAB
a63,-41.86755707228781,USLAB,UWIN
a64,1149.7181737367591,USLAB,INFILTRATION_RATE
a65,348.2479395872704,USLAB,NATURAL_VENT_RATE
a66,1890.8115581833388,USLAB,MECHANICAL_VENT_RATE
a67,-131.03800655741134,UWIN,UWIN
a68,-371.8909527722258,UWIN,INFILTRATION_RATE
a69,-69.18120618204591,UWIN,NATURAL_VENT_RATE
a70,-603.6507283304605,UWIN,MECHANICAL_VENT_RATE
a71,6.175123437260368,INFILTRATION_RATE,INFILTRATION_RATE
a72,-24.975037831607096,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1267.166504185338,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-659.1404855702408,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-82.42226379866179,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-3185.2055125440706,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
