coef,value,var1,var2
a0,120.01661689474008,BUILDING_WWR,
a1,-616.0759805396714,ASPECT_RATIO,
a2,-19.566101482663942,AMPLIF_FACTOR,
a3,11070.382749748547,Shutter,
a4,670.6941151048283,UROOF,
a5,-271.70851261472416,UWALL,
a6,-3503.176832234026,USLAB,
a7,1249.9347543648666,UWIN,
a8,-744.6756698188444,INFILTRATION_RATE,
a9,951.1737465628016,NATURAL_VENT_RATE,
a10,247.00033967528555,MECHANICAL_VENT_RATE,
a11,0.10796443279264617,BUILDING_WWR,BUILDING_WWR
a12,-9.321839879057094,BUILDING_WWR,ASPECT_RATIO
a13,-0.45986073729744703,BUILDING_WWR,AMPLIF_FACTOR
a14,138.86268433763453,BUILDING_WWR,Shutter
a15,-18.48535136646801,BUILDING_WWR,UROOF
a16,-5.046214493597631,BUILDING_WWR,UWALL
a17,-18.77811448320074,BUILDING_WWR,USLAB
a18,0.02254313170436717,BUILDING_WWR,UWIN
a19,-23.55453970276548,BUILDING_WWR,INFILTRATION_RATE
a20,-5.645730051097246,BUILDING_WWR,NATURAL_VENT_RATE
a21,-36.76035940621989,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,61.28661123462382,ASPECT_RATIO,ASPECT_RATIO
a23,5.098021505955103,ASPECT_RATIO,AMPLIF_FACTOR
a24,-744.8572941534152,ASPECT_RATIO,Shutter
a25,55.57647455841783,ASPECT_RATIO,UROOF
a26,29.650839009800393,ASPECT_RATIO,UWALL
a27,132.28764485318266,ASPECT_RATIO,USLAB
a28,-0.4758480502325142,ASPECT_RATIO,UWIN
a29,199.67795316912367,ASPECT_RATIO,INFILTRATION_RATE
a30,78.6598837192231,ASPECT_RATIO,NATURAL_VENT_RATE
a31,297.43178976515674,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,-0.22563303172955784,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-64.0104376257841,AMPLIF_FACTOR,Shutter
a34,-1.8791568622009436,AMPLIF_FACTOR,UROOF
a35,-2.6375274619811364,AMPLIF_FACTOR,UWALL
a36,16.7074321751586,AMPLIF_FACTOR,USLAB
a37,-1.9797679920975497,AMPLIF_FACTOR,UWIN
a38,11.027275675419332,AMPLIF_FACTOR,INFILTRATION_RATE
a39,3.160207790410368,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,18.77992182491107,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2484.146756953919,Shutter,Shutter
a42,-1275.950308570705,Shutter,UROOF
a43,-475.6450379610519,Shutter,UWALL
a44,-2446.2673067435776,Shutter,USLAB
a45,106.48696724751584,Shutter,UWIN
a46,-2740.2689822049897,Shutter,INFILTRATION_RATE
a47,-1077.9381003856,Shutter,NATURAL_VENT_RATE
a48,-4419.5790149943305,Shutter,MECHANICAL_VENT_RATE
a49,385.6138920660196,UROOF,UROOF
a50,38.04814130048682,UROOF,UWALL
a51,-423.5913249896944,UROOF,USLAB
a52,-56.36859323364308,UROOF,UWIN
a53,-14.169281048992474,UROOF,INFILTRATION_RATE
a54,-11.605169045629282,UROOF,NATURAL_VENT_RATE
a55,168.76429065127846,UROOF,MECHANICAL_VENT_RATE
a56,101.17083577232836,UWALL,UWALL
a57,418.31714130211424,UWALL,USLAB
a58,-76.4746183646622,UWALL,UWIN
a59,-355.76129798527325,UWALL,INFILTRATION_RATE
a60,103.25153495159067,UWALL,NATURAL_VENT_RATE
a61,16.551246335597057,UWALL,MECHANICAL_VENT_RATE
a62,658.9509759266869,USLAB,USLAB
a63,-40.75350154501098,USLAB,UWIN
a64,1033.9213040305613,USLAB,INFILTRATION_RATE
a65,305.2340197018723,USLAB,NATURAL_VENT_RATE
a66,1608.0226506016552,USLAB,MECHANICAL_VENT_RATE
a67,-117.7393604330731,UWIN,UWIN
a68,-297.802646778274,UWIN,INFILTRATION_RATE
a69,-54.72806336333281,UWIN,NATURAL_VENT_RATE
a70,-532.8026340979187,UWIN,MECHANICAL_VENT_RATE
a71,-166.9810340560374,INFILTRATION_RATE,INFILTRATION_RATE
a72,-36.77715452021016,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1217.5669007696156,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-549.9911457047158,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-216.00002020816044,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-2756.1280284714344,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
