coef,value,var1,var2
a0,135.21768734414889,BUILDING_WWR,
a1,-1191.2603400413432,ASPECT_RATIO,
a2,-47.97842021537073,AMPLIF_FACTOR,
a3,14961.74040632317,Shutter,
a4,585.294542147893,UROOF,
a5,-484.20484631710605,UWALL,
a6,-3278.7920323603357,USLAB,
a7,1263.803371964935,UWIN,
a8,-1513.2938502072973,INFILTRATION_RATE,
a9,985.478114851348,NATURAL_VENT_RATE,
a10,638.2011778466159,MECHANICAL_VENT_RATE,
a11,0.46801774565605214,BUILDING_WWR,BUILDING_WWR
a12,-16.774560220137474,BUILDING_WWR,ASPECT_RATIO
a13,-0.5778400261234102,BUILDING_WWR,AMPLIF_FACTOR
a14,214.0672272458196,BUILDING_WWR,Shutter
a15,-24.908572436040988,BUILDING_WWR,UROOF
a16,-8.520933189090584,BUILDING_WWR,UWALL
a17,-28.489553197912457,BUILDING_WWR,USLAB
a18,0.1914388808821954,BUILDING_WWR,UWIN
a19,-33.570883721812095,BUILDING_WWR,INFILTRATION_RATE
a20,-8.650748122140016,BUILDING_WWR,NATURAL_VENT_RATE
a21,-40.84461982943688,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,120.62454490509606,ASPECT_RATIO,ASPECT_RATIO
a23,7.811366462917626,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1755.86408392374,ASPECT_RATIO,Shutter
a25,119.6704389167391,ASPECT_RATIO,UROOF
a26,94.0721437237433,ASPECT_RATIO,UWALL
a27,340.97763273904627,ASPECT_RATIO,USLAB
a28,-9.53885318112026,ASPECT_RATIO,UWIN
a29,401.12688923903454,ASPECT_RATIO,INFILTRATION_RATE
a30,142.08553707659655,ASPECT_RATIO,NATURAL_VENT_RATE
a31,500.57959614056546,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.2900020650198485,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-68.76749568535706,AMPLIF_FACTOR,Shutter
a34,-0.7892694476331599,AMPLIF_FACTOR,UROOF
a35,-0.3249892651861046,AMPLIF_FACTOR,UWALL
a36,17.206078619834443,AMPLIF_FACTOR,USLAB
a37,-1.3284782870955496,AMPLIF_FACTOR,UWIN
a38,16.3448750132884,AMPLIF_FACTOR,INFILTRATION_RATE
a39,3.8930087711976284,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,19.422620702214658,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2256.493176423259,Shutter,Shutter
a42,-1725.1021315935282,Shutter,UROOF
a43,-888.0266432557062,Shutter,UWALL
a44,-3092.3345964907753,Shutter,USLAB
a45,140.32927687167762,Shutter,UWIN
a46,-3371.375682860151,Shutter,INFILTRATION_RATE
a47,-1204.2394522935524,Shutter,NATURAL_VENT_RATE
a48,-4701.658728145644,Shutter,MECHANICAL_VENT_RATE
a49,418.6377803689674,UROOF,UROOF
a50,29.599373146440826,UROOF,UWALL
a51,-382.6502435700198,UROOF,USLAB
a52,-43.676827711717806,UROOF,UWIN
a53,-43.58645053577345,UROOF,INFILTRATION_RATE
a54,-11.633082966238362,UROOF,NATURAL_VENT_RATE
a55,186.25404212991904,UROOF,MECHANICAL_VENT_RATE
a56,172.15933707540728,UWALL,UWALL
a57,489.8238971942319,UWALL,USLAB
a58,-94.72898033938077,UWALL,UWIN
a59,-185.97270869837052,UWALL,INFILTRATION_RATE
a60,81.51555217436942,UWALL,NATURAL_VENT_RATE
a61,-54.54069514049229,UWALL,MECHANICAL_VENT_RATE
a62,623.4008460957491,USLAB,USLAB
a63,-40.15833104214926,USLAB,UWIN
a64,1064.7534286523862,USLAB,INFILTRATION_RATE
a65,261.38307719723275,USLAB,NATURAL_VENT_RATE
a66,1606.0639285219956,USLAB,MECHANICAL_VENT_RATE
a67,-124.30400080331492,UWIN,UWIN
a68,-289.74360011731653,UWIN,INFILTRATION_RATE
a69,-47.55357884198406,UWIN,NATURAL_VENT_RATE
a70,-506.70339356609304,UWIN,MECHANICAL_VENT_RATE
a71,300.4665979855313,INFILTRATION_RATE,INFILTRATION_RATE
a72,152.33774917889332,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1097.7236160301502,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-529.8577018907163,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-231.23612939496286,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-3722.7261930466443,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
