coef,value,var1,var2
a0,99.68452360388841,BUILDING_WWR,
a1,-683.267144659351,ASPECT_RATIO,
a2,-52.40061487081048,AMPLIF_FACTOR,
a3,9572.604040533122,Shutter,
a4,1154.1300430888316,UROOF,
a5,-256.79599468794027,UWALL,
a6,-1241.7715332449002,USLAB,
a7,470.95178469067605,UWIN,
a8,-2024.0483534890282,INFILTRATION_RATE,
a9,-274.16503833628235,NATURAL_VENT_RATE,
a10,-2908.162797987257,MECHANICAL_VENT_RATE,
a11,0.4229126597560917,BUILDING_WWR,BUILDING_WWR
a12,-13.623202860309963,BUILDING_WWR,ASPECT_RATIO
a13,-0.5350444819673044,BUILDING_WWR,AMPLIF_FACTOR
a14,172.56568431672952,BUILDING_WWR,Shutter
a15,-8.229010555811328,BUILDING_WWR,UROOF
a16,-7.6329158113404745,BUILDING_WWR,UWALL
a17,-16.200658819471883,BUILDING_WWR,USLAB
a18,0.6527240643518297,BUILDING_WWR,UWIN
a19,-49.46752733403457,BUILDING_WWR,INFILTRATION_RATE
a20,-15.766665652290555,BUILDING_WWR,NATURAL_VENT_RATE
a21,-62.26198941470824,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,100.42878495273283,ASPECT_RATIO,ASPECT_RATIO
a23,4.845916285034235,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1187.4640087206135,ASPECT_RATIO,Shutter
a25,39.24249780594627,ASPECT_RATIO,UROOF
a26,79.70372005627718,ASPECT_RATIO,UWALL
a27,154.95728672520073,ASPECT_RATIO,USLAB
a28,-14.58160494153925,ASPECT_RATIO,UWIN
a29,416.7910337759633,ASPECT_RATIO,INFILTRATION_RATE
a30,177.97114367405732,ASPECT_RATIO,NATURAL_VENT_RATE
a31,453.3529671451045,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.4095959746972824,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-60.26606196501143,AMPLIF_FACTOR,Shutter
a34,-1.3474798640031622,AMPLIF_FACTOR,UROOF
a35,-0.6845143951136379,AMPLIF_FACTOR,UWALL
a36,10.360529940260676,AMPLIF_FACTOR,USLAB
a37,-2.0151314654335692,AMPLIF_FACTOR,UWIN
a38,28.435680081963255,AMPLIF_FACTOR,INFILTRATION_RATE
a39,6.266752201071995,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,33.621720946721865,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2285.103291205373,Shutter,Shutter
a42,-553.673895134162,Shutter,UROOF
a43,-598.5477489155624,Shutter,UWALL
a44,-1507.4356174068064,Shutter,USLAB
a45,82.10899654443733,Shutter,UWIN
a46,-4754.585041674337,Shutter,INFILTRATION_RATE
a47,-1664.321230039598,Shutter,NATURAL_VENT_RATE
a48,-5532.96358558716,Shutter,MECHANICAL_VENT_RATE
a49,700.2587908569606,UROOF,UROOF
a50,-309.579174280961,UROOF,UWALL
a51,-488.73442405323703,UROOF,USLAB
a52,-123.29282587236185,UROOF,UWIN
a53,-299.9833664156592,UROOF,INFILTRATION_RATE
a54,2.495307440439319,UROOF,NATURAL_VENT_RATE
a55,344.31687806939414,UROOF,MECHANICAL_VENT_RATE
a56,134.6629766750184,UWALL,UWALL
a57,173.26795323903434,UWALL,USLAB
a58,24.11532181628627,UWALL,UWIN
a59,132.58721466155146,UWALL,INFILTRATION_RATE
a60,92.17983885424769,UWALL,NATURAL_VENT_RATE
a61,161.94955754853504,UWALL,MECHANICAL_VENT_RATE
a62,271.4580933604615,USLAB,USLAB
a63,-27.975340982243097,USLAB,UWIN
a64,668.3954278366757,USLAB,INFILTRATION_RATE
a65,257.4631359801191,USLAB,NATURAL_VENT_RATE
a66,1072.7849698932152,USLAB,MECHANICAL_VENT_RATE
a67,-17.683627894636857,UWIN,UWIN
a68,-158.83744709248214,UWIN,INFILTRATION_RATE
a69,-34.146510976006766,UWIN,NATURAL_VENT_RATE
a70,-218.5024594750435,UWIN,MECHANICAL_VENT_RATE
a71,622.9362617957383,INFILTRATION_RATE,INFILTRATION_RATE
a72,644.2754138849358,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3262.946229764626,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-215.75012264465295,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,1127.6528441705168,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1201.898325347379,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
