coef,value,var1,var2
a0,111.08344352902724,BUILDING_WWR,
a1,-1291.1597588753748,ASPECT_RATIO,
a2,-47.62799171171295,AMPLIF_FACTOR,
a3,14100.746957277981,Shutter,
a4,1054.2836926303996,UROOF,
a5,-641.1755003100534,UWALL,
a6,-1290.0343049514656,USLAB,
a7,540.9113832955527,UWIN,
a8,-1848.7068522215466,INFILTRATION_RATE,
a9,-66.99691650644156,NATURAL_VENT_RATE,
a10,-2352.073513414635,MECHANICAL_VENT_RATE,
a11,0.44620053759411604,BUILDING_WWR,BUILDING_WWR
a12,-22.20571817152836,BUILDING_WWR,ASPECT_RATIO
a13,-0.5222725874449026,BUILDING_WWR,AMPLIF_FACTOR
a14,223.7136650335397,BUILDING_WWR,Shutter
a15,-5.149359223409725,BUILDING_WWR,UROOF
a16,-11.284372602761351,BUILDING_WWR,UWALL
a17,-17.519656590988873,BUILDING_WWR,USLAB
a18,0.41967903701086584,BUILDING_WWR,UWIN
a19,-48.36193360836219,BUILDING_WWR,INFILTRATION_RATE
a20,-12.033834735951757,BUILDING_WWR,NATURAL_VENT_RATE
a21,-55.58566614326725,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,228.8228945228653,ASPECT_RATIO,ASPECT_RATIO
a23,7.666901937150357,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2013.581241487078,ASPECT_RATIO,Shutter
a25,38.80216444185817,ASPECT_RATIO,UROOF
a26,157.35280595034592,ASPECT_RATIO,UWALL
a27,233.65140762750235,ASPECT_RATIO,USLAB
a28,-22.015851384588245,ASPECT_RATIO,UWIN
a29,629.9071737138603,ASPECT_RATIO,INFILTRATION_RATE
a30,228.2568515776357,ASPECT_RATIO,NATURAL_VENT_RATE
a31,633.7986766343129,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.325825927004999,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-72.05620038852112,AMPLIF_FACTOR,Shutter
a34,-0.926438148678244,AMPLIF_FACTOR,UROOF
a35,0.31590980260216384,AMPLIF_FACTOR,UWALL
a36,10.045696039970608,AMPLIF_FACTOR,USLAB
a37,-1.8591003432165962,AMPLIF_FACTOR,UWIN
a38,24.957787997836476,AMPLIF_FACTOR,INFILTRATION_RATE
a39,4.089541425981679,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,30.565350599369822,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1632.8755806171134,Shutter,Shutter
a42,-655.1353397524773,Shutter,UROOF
a43,-1090.9645217917707,Shutter,UWALL
a44,-1901.0667345579418,Shutter,USLAB
a45,99.03438724282,Shutter,UWIN
a46,-5315.54756361362,Shutter,INFILTRATION_RATE
a47,-1687.3278410545065,Shutter,NATURAL_VENT_RATE
a48,-6139.268531898828,Shutter,MECHANICAL_VENT_RATE
a49,752.5126760743108,UROOF,UROOF
a50,-268.7552936315983,UROOF,UWALL
a51,-468.117876984893,UROOF,USLAB
a52,-135.51713799161462,UROOF,UWIN
a53,-273.9611035118056,UROOF,INFILTRATION_RATE
a54,-82.35710199678374,UROOF,NATURAL_VENT_RATE
a55,72.23822557636888,UROOF,MECHANICAL_VENT_RATE
a56,193.46282502446547,UWALL,UWALL
a57,259.74433388270063,UWALL,USLAB
a58,19.85795738695151,UWALL,UWIN
a59,254.75209509602968,UWALL,INFILTRATION_RATE
a60,137.4613526831804,UWALL,NATURAL_VENT_RATE
a61,224.90247138151173,UWALL,MECHANICAL_VENT_RATE
a62,265.16473773435473,USLAB,USLAB
a63,-23.46642215383963,USLAB,UWIN
a64,540.9715944410766,USLAB,INFILTRATION_RATE
a65,233.18247124481582,USLAB,NATURAL_VENT_RATE
a66,1016.603344218182,USLAB,MECHANICAL_VENT_RATE
a67,-23.342192345266085,UWIN,UWIN
a68,-170.96907143795443,UWIN,INFILTRATION_RATE
a69,-32.82556910052608,UWIN,NATURAL_VENT_RATE
a70,-208.64424532801422,UWIN,MECHANICAL_VENT_RATE
a71,591.0485692718094,INFILTRATION_RATE,INFILTRATION_RATE
a72,446.7755909660757,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,2765.930344646514,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-279.75066796472015,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,788.6720418107448,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1463.3726514831685,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
