coef,value,var1,var2
a0,109.92455224620667,BUILDING_WWR,
a1,-1109.7008933975667,ASPECT_RATIO,
a2,-48.80891924571824,AMPLIF_FACTOR,
a3,13994.7808651796,Shutter,
a4,934.7289442399345,UROOF,
a5,-689.9675928708393,UWALL,
a6,-1318.4589528499946,USLAB,
a7,533.759624134636,UWIN,
a8,-1819.0759364437818,INFILTRATION_RATE,
a9,-29.44407149397216,NATURAL_VENT_RATE,
a10,-2336.180242036018,MECHANICAL_VENT_RATE,
a11,0.47409487167089104,BUILDING_WWR,BUILDING_WWR
a12,-20.419973073972535,BUILDING_WWR,ASPECT_RATIO
a13,-0.5512672211831671,BUILDING_WWR,AMPLIF_FACTOR
a14,233.17161139273452,BUILDING_WWR,Shutter
a15,-4.725535471148589,BUILDING_WWR,UROOF
a16,-11.664290356881352,BUILDING_WWR,UWALL
a17,-18.289613104562207,BUILDING_WWR,USLAB
a18,0.46656203258984874,BUILDING_WWR,UWIN
a19,-50.27051934337928,BUILDING_WWR,INFILTRATION_RATE
a20,-12.927656796379551,BUILDING_WWR,NATURAL_VENT_RATE
a21,-59.05313230769923,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,184.88222276490765,ASPECT_RATIO,ASPECT_RATIO
a23,7.369023240335935,ASPECT_RATIO,AMPLIF_FACTOR
a24,-1845.2003676878144,ASPECT_RATIO,Shutter
a25,26.9316969292845,ASPECT_RATIO,UROOF
a26,150.68886086733198,ASPECT_RATIO,UWALL
a27,223.57182323372746,ASPECT_RATIO,USLAB
a28,-19.08170023245204,ASPECT_RATIO,UWIN
a29,597.9702049403419,ASPECT_RATIO,INFILTRATION_RATE
a30,211.43710113892323,ASPECT_RATIO,NATURAL_VENT_RATE
a31,582.939019307637,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.3322780937369956,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-75.34326533080093,AMPLIF_FACTOR,Shutter
a34,-0.4033339930319926,AMPLIF_FACTOR,UROOF
a35,0.479248687510335,AMPLIF_FACTOR,UWALL
a36,10.280060638247733,AMPLIF_FACTOR,USLAB
a37,-1.8140807358172424,AMPLIF_FACTOR,UWIN
a38,25.960702822259464,AMPLIF_FACTOR,INFILTRATION_RATE
a39,4.408406748748234,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,31.26090144465161,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1811.7246463692095,Shutter,Shutter
a42,-685.0814015309472,Shutter,UROOF
a43,-1131.1757521262907,Shutter,UWALL
a44,-1955.850929848646,Shutter,USLAB
a45,108.08557358912185,Shutter,UWIN
a46,-5502.71084969234,Shutter,INFILTRATION_RATE
a47,-1769.8994945436946,Shutter,NATURAL_VENT_RATE
a48,-6365.82383611372,Shutter,MECHANICAL_VENT_RATE
a49,798.1281338494018,UROOF,UROOF
a50,-280.71065383594873,UROOF,UWALL
a51,-467.8499164519151,UROOF,USLAB
a52,-136.18701326490464,UROOF,UWIN
a53,-242.7665797712088,UROOF,INFILTRATION_RATE
a54,-75.65102790081096,UROOF,NATURAL_VENT_RATE
a55,113.69333789992271,UROOF,MECHANICAL_VENT_RATE
a56,204.88443850767862,UWALL,UWALL
a57,269.161011569528,UWALL,USLAB
a58,21.861622381081588,UWALL,UWIN
a59,260.88370889084456,UWALL,INFILTRATION_RATE
a60,143.02336983623331,UWALL,NATURAL_VENT_RATE
a61,280.79588425415164,UWALL,MECHANICAL_VENT_RATE
a62,277.28385803170204,USLAB,USLAB
a63,-25.921017411326375,USLAB,UWIN
a64,547.7134102191212,USLAB,INFILTRATION_RATE
a65,241.9778973416228,USLAB,NATURAL_VENT_RATE
a66,1051.6828358040766,USLAB,MECHANICAL_VENT_RATE
a67,-23.053312475615712,UWIN,UWIN
a68,-176.08369620034978,UWIN,INFILTRATION_RATE
a69,-33.36561120677902,UWIN,NATURAL_VENT_RATE
a70,-215.0670067644404,UWIN,MECHANICAL_VENT_RATE
a71,577.6131121230165,INFILTRATION_RATE,INFILTRATION_RATE
a72,457.2087145834271,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,2877.025828883635,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-278.344828709025,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,788.4887468045961,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1446.195529589466,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
