coef,value,var1,var2
a0,108.89268267254923,BUILDING_WWR,
a1,-1278.1620318617615,ASPECT_RATIO,
a2,-48.85554839004595,AMPLIF_FACTOR,
a3,17349.437833041662,Shutter,
a4,431.2688545129383,UROOF,
a5,-1212.9858192689683,UWALL,
a6,-1238.867542124858,USLAB,
a7,675.5548200274003,UWIN,
a8,-1489.4400772542235,INFILTRATION_RATE,
a9,529.4455619199027,NATURAL_VENT_RATE,
a10,-1352.2615138022845,MECHANICAL_VENT_RATE,
a11,0.43596537311508143,BUILDING_WWR,BUILDING_WWR
a12,-24.620592669395116,BUILDING_WWR,ASPECT_RATIO
a13,-0.5452071079117928,BUILDING_WWR,AMPLIF_FACTOR
a14,277.4181776541671,BUILDING_WWR,Shutter
a15,3.8069863408489795,BUILDING_WWR,UROOF
a16,-11.247131248594371,BUILDING_WWR,UWALL
a17,-18.777045078876228,BUILDING_WWR,USLAB
a18,0.40361491041062436,BUILDING_WWR,UWIN
a19,-47.07589141288406,BUILDING_WWR,INFILTRATION_RATE
a20,-10.523403260117163,BUILDING_WWR,NATURAL_VENT_RATE
a21,-52.72207418398659,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,232.0096581455283,ASPECT_RATIO,ASPECT_RATIO
a23,8.346575957469383,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2311.4033901021735,ASPECT_RATIO,Shutter
a25,-16.861900255147305,ASPECT_RATIO,UROOF
a26,215.03904408576557,ASPECT_RATIO,UWALL
a27,260.9389165627682,ASPECT_RATIO,USLAB
a28,-19.86127293864118,ASPECT_RATIO,UWIN
a29,711.3977901895721,ASPECT_RATIO,INFILTRATION_RATE
a30,185.2117982378065,ASPECT_RATIO,NATURAL_VENT_RATE
a31,693.1739760994506,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.32798615169980394,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-80.4510904969743,AMPLIF_FACTOR,Shutter
a34,0.4705975132341056,AMPLIF_FACTOR,UROOF
a35,1.0985905897546218,AMPLIF_FACTOR,UWALL
a36,10.29507501209082,AMPLIF_FACTOR,USLAB
a37,-1.7423572982233964,AMPLIF_FACTOR,UWIN
a38,20.55759236178983,AMPLIF_FACTOR,INFILTRATION_RATE
a39,4.158174292227386,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,29.604920922591646,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,792.2318377410114,Shutter,Shutter
a42,-466.7006045096996,Shutter,UROOF
a43,-1766.9973501685051,Shutter,UWALL
a44,-2207.3496554604444,Shutter,USLAB
a45,110.10878546317144,Shutter,UWIN
a46,-5629.903036150314,Shutter,INFILTRATION_RATE
a47,-1679.9017148942253,Shutter,NATURAL_VENT_RATE
a48,-6601.913901794167,Shutter,MECHANICAL_VENT_RATE
a49,897.7752191595905,UROOF,UROOF
a50,-206.00496213526918,UROOF,UWALL
a51,-404.39158038236883,UROOF,USLAB
a52,-151.82932213656932,UROOF,UWIN
a53,-229.32321729656405,UROOF,INFILTRATION_RATE
a54,-136.31469106435998,UROOF,NATURAL_VENT_RATE
a55,-132.50697989652775,UROOF,MECHANICAL_VENT_RATE
a56,277.5004862369701,UWALL,UWALL
a57,352.77768219169866,UWALL,USLAB
a58,6.4399758050685705,UWALL,UWIN
a59,297.3040736792701,UWALL,INFILTRATION_RATE
a60,165.5968567551513,UWALL,NATURAL_VENT_RATE
a61,390.7550991602103,UWALL,MECHANICAL_VENT_RATE
a62,233.7272509960078,USLAB,USLAB
a63,-24.45096056280545,USLAB,UWIN
a64,432.7270088436252,USLAB,INFILTRATION_RATE
a65,195.97829067034218,USLAB,NATURAL_VENT_RATE
a66,883.9690182632639,USLAB,MECHANICAL_VENT_RATE
a67,-39.9735698974564,UWIN,UWIN
a68,-136.29249750915596,UWIN,INFILTRATION_RATE
a69,-41.833571612037076,UWIN,NATURAL_VENT_RATE
a70,-166.44271959931643,UWIN,MECHANICAL_VENT_RATE
a71,193.52178209576823,INFILTRATION_RATE,INFILTRATION_RATE
a72,332.4207122724695,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,2338.8341621954487,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-401.5951807134811,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,432.3329724533917,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-2188.0259475068715,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
