coef,value,var1,var2
a0,0.10809891377433897,BUILDING_WWR,
a1,-1.3468423949484873,ASPECT_RATIO,
a2,-0.0805810354604245,AMPLIF_FACTOR,
a3,17.274144694506642,Shutter,
a4,0.8675470964928207,UROOF,
a5,1.4381998021653541,UWALL,
a6,-0.6263215378912368,USLAB,
a7,0.6542381723089787,UWIN,
a8,-3.493676050345833,INFILTRATION_RATE,
a9,-0.06465806133444915,NATURAL_VENT_RATE,
a10,-3.145630740827384,MECHANICAL_VENT_RATE,
a11,0.0011355743927609144,BUILDING_WWR,BUILDING_WWR
a12,-0.05596412085409242,BUILDING_WWR,ASPECT_RATIO
a13,-0.0005632384316527766,BUILDING_WWR,AMPLIF_FACTOR
a14,0.5067363965264235,BUILDING_WWR,Shutter
a15,-0.009080375859493367,BUILDING_WWR,UROOF
a16,-0.020804661566718702,BUILDING_WWR,UWALL
a17,-0.0045483649487555455,BUILDING_WWR,USLAB
a18,-0.000890063051995571,BUILDING_WWR,UWIN
a19,-0.05763206690991868,BUILDING_WWR,INFILTRATION_RATE
a20,-0.019955099800999188,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.058278095066526536,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.5891711771909357,ASPECT_RATIO,ASPECT_RATIO
a23,0.016937356656738012,ASPECT_RATIO,AMPLIF_FACTOR
a24,-4.5274115232340835,ASPECT_RATIO,Shutter
a25,0.021885208806209755,ASPECT_RATIO,UROOF
a26,0.09150554553156887,ASPECT_RATIO,UWALL
a27,0.09961537052875567,ASPECT_RATIO,USLAB
a28,-0.023660791877908594,ASPECT_RATIO,UWIN
a29,0.9266374705312017,ASPECT_RATIO,INFILTRATION_RATE
a30,0.3790994239670028,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.9277809440098224,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0007211059070344472,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.1610207287819181,AMPLIF_FACTOR,Shutter
a34,-0.009222974871812895,AMPLIF_FACTOR,UROOF
a35,-0.019696295622490645,AMPLIF_FACTOR,UWALL
a36,0.006181258437640835,AMPLIF_FACTOR,USLAB
a37,-0.0016403277906107405,AMPLIF_FACTOR,UWIN
a38,0.03538715255274605,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.009421344099426854,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.05673361146067135,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,3.65134884189295,Shutter,Shutter
a42,-0.2479349995745629,Shutter,UROOF
a43,-0.6768945932520991,Shutter,UWALL
a44,-0.7597938250510474,Shutter,USLAB
a45,-0.1307177807722355,Shutter,UWIN
a46,-8.04127907921783,Shutter,INFILTRATION_RATE
a47,-3.193440819305773,Shutter,NATURAL_VENT_RATE
a48,-6.997157923705225,Shutter,MECHANICAL_VENT_RATE
a49,0.14677406410385618,UROOF,UROOF
a50,0.13084870194275466,UROOF,UWALL
a51,-0.11117829445899297,UROOF,USLAB
a52,-0.0325339467244099,UROOF,UWIN
a53,-0.21445819504151253,UROOF,INFILTRATION_RATE
a54,-0.05468188648055716,UROOF,NATURAL_VENT_RATE
a55,-0.14834456006282304,UROOF,MECHANICAL_VENT_RATE
a56,0.2930343618054305,UWALL,UWALL
a57,0.010080245571808977,UWALL,USLAB
a58,-0.034004245867954586,UWALL,UWIN
a59,-0.23449598305673575,UWALL,INFILTRATION_RATE
a60,-0.056557015074066186,UWALL,NATURAL_VENT_RATE
a61,-0.19310374042343548,UWALL,MECHANICAL_VENT_RATE
a62,0.0639970683876605,USLAB,USLAB
a63,-0.0047029488280176945,USLAB,UWIN
a64,0.40126775408455995,USLAB,INFILTRATION_RATE
a65,0.05926652069722464,USLAB,NATURAL_VENT_RATE
a66,0.48991513530938235,USLAB,MECHANICAL_VENT_RATE
a67,-0.010978538288993978,UWIN,UWIN
a68,-0.27638668798531496,UWIN,INFILTRATION_RATE
a69,-0.09061736984723057,UWIN,NATURAL_VENT_RATE
a70,-0.211081328857551,UWIN,MECHANICAL_VENT_RATE
a71,1.8112151165002297,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.8532067337316973,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.077762460862321,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.12504493372172337,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.41236420847776695,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,0.8958746766682205,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
