coef,value,var1,var2
a0,0.08653696050384363,BUILDING_WWR,
a1,-0.8263765157284729,ASPECT_RATIO,
a2,-0.06945728742894668,AMPLIF_FACTOR,
a3,13.879803829294127,Shutter,
a4,0.829669025099774,UROOF,
a5,0.9149176789223057,UWALL,
a6,-0.3883551617217702,USLAB,
a7,0.42538704456369114,UWIN,
a8,-2.6355636346797295,INFILTRATION_RATE,
a9,-0.16814914149157686,NATURAL_VENT_RATE,
a10,-2.626203049330352,MECHANICAL_VENT_RATE,
a11,0.0010804122055020071,BUILDING_WWR,BUILDING_WWR
a12,-0.04157448609591257,BUILDING_WWR,ASPECT_RATIO
a13,-0.0006327149037308535,BUILDING_WWR,AMPLIF_FACTOR
a14,0.43705172424128724,BUILDING_WWR,Shutter
a15,-0.007861121131327267,BUILDING_WWR,UROOF
a16,-0.018408634273077096,BUILDING_WWR,UWALL
a17,-0.005551145916665043,BUILDING_WWR,USLAB
a18,-0.00018914498598146534,BUILDING_WWR,UWIN
a19,-0.05964728530512039,BUILDING_WWR,INFILTRATION_RATE
a20,-0.021250907179939216,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.0600730632771759,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.3622539846827283,ASPECT_RATIO,ASPECT_RATIO
a23,0.013900336382731249,ASPECT_RATIO,AMPLIF_FACTOR
a24,-3.2323774464944113,ASPECT_RATIO,Shutter
a25,0.022448451740014762,ASPECT_RATIO,UROOF
a26,0.11375488177782378,ASPECT_RATIO,UWALL
a27,0.08116830338623227,ASPECT_RATIO,USLAB
a28,-0.019961578869236773,ASPECT_RATIO,UWIN
a29,0.756709102123552,ASPECT_RATIO,INFILTRATION_RATE
a30,0.32549450319800227,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.732009362728381,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0007621035046483093,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.15122279427415464,AMPLIF_FACTOR,Shutter
a34,-0.010567261866660682,AMPLIF_FACTOR,UROOF
a35,-0.014604039939841718,AMPLIF_FACTOR,UWALL
a36,0.006146127685542457,AMPLIF_FACTOR,USLAB
a37,-0.0017745726848943377,AMPLIF_FACTOR,UWIN
a38,0.026707446576921257,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.009879208558357888,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.04886963774812925,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,3.738927572599667,Shutter,Shutter
a42,-0.21425236937236491,Shutter,UROOF
a43,-0.8993502668647304,Shutter,UWALL
a44,-0.7259483455279943,Shutter,USLAB
a45,-0.08986793184644593,Shutter,UWIN
a46,-7.558840608013813,Shutter,INFILTRATION_RATE
a47,-2.858929240393354,Shutter,NATURAL_VENT_RATE
a48,-6.830757233129463,Shutter,MECHANICAL_VENT_RATE
a49,0.16815197816896355,UROOF,UROOF
a50,0.10757065137585298,UROOF,UWALL
a51,-0.10216530172806726,UROOF,USLAB
a52,-0.014682224484404482,UROOF,UWIN
a53,-0.22803141249982295,UROOF,INFILTRATION_RATE
a54,-0.0756998947090004,UROOF,NATURAL_VENT_RATE
a55,-0.15627991000289004,UROOF,MECHANICAL_VENT_RATE
a56,0.245648764574255,UWALL,UWALL
a57,0.020469423075186927,UWALL,USLAB
a58,-0.01671806881638571,UWALL,UWIN
a59,-0.14357006716693455,UWALL,INFILTRATION_RATE
a60,0.008312079185759824,UWALL,NATURAL_VENT_RATE
a61,-0.011844855150698108,UWALL,MECHANICAL_VENT_RATE
a62,0.04170330914789244,USLAB,USLAB
a63,0.008001687702233085,USLAB,UWIN
a64,0.29674227696151145,USLAB,INFILTRATION_RATE
a65,0.032054001616949046,USLAB,NATURAL_VENT_RATE
a66,0.4426508688853631,USLAB,MECHANICAL_VENT_RATE
a67,-0.006917328367953779,UWIN,UWIN
a68,-0.23647431529170682,UWIN,INFILTRATION_RATE
a69,-0.05965770026349215,UWIN,NATURAL_VENT_RATE
a70,-0.17506764345904913,UWIN,MECHANICAL_VENT_RATE
a71,1.6003366329155218,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.9685924861498344,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.274572937459451,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.09216374893347412,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.5337086509816958,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,0.6110518653237298,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
