coef,value,var1,var2
a0,0.08737345551027202,BUILDING_WWR,
a1,-0.7397766868399662,ASPECT_RATIO,
a2,-0.07470428720641163,AMPLIF_FACTOR,
a3,17.03160228774632,Shutter,
a4,0.8273160408317699,UROOF,
a5,1.3335191637605792,UWALL,
a6,-0.5454845349124167,USLAB,
a7,0.5965911360361777,UWIN,
a8,-3.623575584284573,INFILTRATION_RATE,
a9,0.1360473002445038,NATURAL_VENT_RATE,
a10,-2.3621324437313582,MECHANICAL_VENT_RATE,
a11,0.0013822254802074822,BUILDING_WWR,BUILDING_WWR
a12,-0.04871815395563522,BUILDING_WWR,ASPECT_RATIO
a13,-0.0007992241404632394,BUILDING_WWR,AMPLIF_FACTOR
a14,0.5696308311819326,BUILDING_WWR,Shutter
a15,-0.00989007657988386,BUILDING_WWR,UROOF
a16,-0.022771919489216988,BUILDING_WWR,UWALL
a17,-0.0057688859964628025,BUILDING_WWR,USLAB
a18,-2.865012866246769e-05,BUILDING_WWR,UWIN
a19,-0.06722139565266662,BUILDING_WWR,INFILTRATION_RATE
a20,-0.021733281828218196,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.07178457675705624,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.3589653802066473,ASPECT_RATIO,ASPECT_RATIO
a23,0.017390832057955857,ASPECT_RATIO,AMPLIF_FACTOR
a24,-4.019192445230249,ASPECT_RATIO,Shutter
a25,0.03220766675967977,ASPECT_RATIO,UROOF
a26,0.1431842818910531,ASPECT_RATIO,UWALL
a27,0.09767021459342601,ASPECT_RATIO,USLAB
a28,-0.03569737209602508,ASPECT_RATIO,UWIN
a29,0.9396783062041046,ASPECT_RATIO,INFILTRATION_RATE
a30,0.34403994397983273,ASPECT_RATIO,NATURAL_VENT_RATE
a31,1.0188775056490462,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0008728799889745065,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.17149576171513026,AMPLIF_FACTOR,Shutter
a34,-0.009609826375545971,AMPLIF_FACTOR,UROOF
a35,-0.021512480160520653,AMPLIF_FACTOR,UWALL
a36,0.0066176495679468594,AMPLIF_FACTOR,USLAB
a37,-0.0019176361707738954,AMPLIF_FACTOR,UWIN
a38,0.02795283339730492,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.011034952777153162,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.05301586988996032,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,4.134260689952708,Shutter,Shutter
a42,-0.37209209709695373,Shutter,UROOF
a43,-0.8877410955894258,Shutter,UWALL
a44,-0.9307793462394882,Shutter,USLAB
a45,-0.11715643824626598,Shutter,UWIN
a46,-9.08971861468891,Shutter,INFILTRATION_RATE
a47,-3.497442641303958,Shutter,NATURAL_VENT_RATE
a48,-8.13534223508197,Shutter,MECHANICAL_VENT_RATE
a49,0.15950453682016796,UROOF,UROOF
a50,0.11942779253958058,UROOF,UWALL
a51,-0.1262500191688245,UROOF,USLAB
a52,-0.01612799567900869,UROOF,UWIN
a53,-0.22239505815110264,UROOF,INFILTRATION_RATE
a54,-0.027356290443307785,UROOF,NATURAL_VENT_RATE
a55,-0.17472605491760412,UROOF,MECHANICAL_VENT_RATE
a56,0.3347702723118502,UWALL,UWALL
a57,0.04805627033779414,UWALL,USLAB
a58,-0.02246153515010052,UWALL,UWIN
a59,-0.22547962460774346,UWALL,INFILTRATION_RATE
a60,-0.08496818491468794,UWALL,NATURAL_VENT_RATE
a61,-0.043613459844468905,UWALL,MECHANICAL_VENT_RATE
a62,0.05565958919503755,USLAB,USLAB
a63,-0.00026618753851037624,USLAB,UWIN
a64,0.4039809042986673,USLAB,INFILTRATION_RATE
a65,0.04948035930936334,USLAB,NATURAL_VENT_RATE
a66,0.5270240246488838,USLAB,MECHANICAL_VENT_RATE
a67,-0.0171739680566958,UWIN,UWIN
a68,-0.2787707992372399,UWIN,INFILTRATION_RATE
a69,-0.058634128718833056,UWIN,NATURAL_VENT_RATE
a70,-0.29855395713272087,UWIN,MECHANICAL_VENT_RATE
a71,1.994257242473161,INFILTRATION_RATE,INFILTRATION_RATE
a72,1.1157389617399849,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.5262713938060952,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.23066195603296952,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.2642835720229195,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,0.31214968700780465,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
