coef,value,var1,var2
a0,0.18208204033425324,BUILDING_WWR,
a1,-0.03653622935411649,ASPECT_RATIO,
a2,-0.027429984470051832,AMPLIF_FACTOR,
a3,31.815018940243537,Shutter,
a4,-0.38818145223179096,UROOF,
a5,0.25311997437245226,UWALL,
a6,-0.31982568895984564,USLAB,
a7,-0.35762423888531114,UWIN,
a8,-2.020802006624794,INFILTRATION_RATE,
a9,-0.012961794471558638,NATURAL_VENT_RATE,
a10,0.9426108451273142,MECHANICAL_VENT_RATE,
a11,0.0010782165047711068,BUILDING_WWR,BUILDING_WWR
a12,-0.06820300678897517,BUILDING_WWR,ASPECT_RATIO
a13,-0.0010309983191682526,BUILDING_WWR,AMPLIF_FACTOR
a14,0.9869915964920837,BUILDING_WWR,Shutter
a15,-0.01230033908307146,BUILDING_WWR,UROOF
a16,-0.04288888152197362,BUILDING_WWR,UWALL
a17,-0.011806375764352839,BUILDING_WWR,USLAB
a18,0.00185624373033208,BUILDING_WWR,UWIN
a19,-0.05981778936727494,BUILDING_WWR,INFILTRATION_RATE
a20,-0.013716779201372459,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.06017645183431852,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.2777982750747212,ASPECT_RATIO,ASPECT_RATIO
a23,0.020465409264450313,ASPECT_RATIO,AMPLIF_FACTOR
a24,-6.61225473818279,ASPECT_RATIO,Shutter
a25,0.11695721416210392,ASPECT_RATIO,UROOF
a26,0.561627568280675,ASPECT_RATIO,UWALL
a27,0.18828447936039683,ASPECT_RATIO,USLAB
a28,-0.031569174296201874,ASPECT_RATIO,UWIN
a29,0.9040595714366193,ASPECT_RATIO,INFILTRATION_RATE
a30,0.21441492806424045,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.9116215547800532,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0007404976432672239,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.2654527298675138,AMPLIF_FACTOR,Shutter
a34,-0.011431636724574368,AMPLIF_FACTOR,UROOF
a35,-0.029099970899308936,AMPLIF_FACTOR,UWALL
a36,0.0044526895676710865,AMPLIF_FACTOR,USLAB
a37,-0.0008036975806486879,AMPLIF_FACTOR,UWIN
a38,0.004335289264413511,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.008101224384881256,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.006498066815325831,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,0.48157615897942097,Shutter,Shutter
a42,-0.7358670350594434,Shutter,UROOF
a43,-2.5894882137425976,Shutter,UWALL
a44,-1.5264518851024866,Shutter,USLAB
a45,0.014745857476634483,Shutter,UWIN
a46,-10.844586648118511,Shutter,INFILTRATION_RATE
a47,-3.600760168922452,Shutter,NATURAL_VENT_RATE
a48,-10.54284219081391,Shutter,MECHANICAL_VENT_RATE
a49,0.21957982298574708,UROOF,UROOF
a50,0.24655323683886898,UROOF,UWALL
a51,-0.14395734438029573,UROOF,USLAB
a52,0.11767368457573524,UROOF,UWIN
a53,-0.18569876858109746,UROOF,INFILTRATION_RATE
a54,0.1498368319430874,UROOF,NATURAL_VENT_RATE
a55,-0.13905419338778657,UROOF,MECHANICAL_VENT_RATE
a56,0.7514791183961864,UWALL,UWALL
a57,0.05515695630879014,UWALL,USLAB
a58,0.04777336003654842,UWALL,UWIN
a59,-0.0934533901619139,UWALL,INFILTRATION_RATE
a60,-0.035416615998282275,UWALL,NATURAL_VENT_RATE
a61,0.4117099093755727,UWALL,MECHANICAL_VENT_RATE
a62,0.059695174165291576,USLAB,USLAB
a63,0.003270967849371642,USLAB,UWIN
a64,0.3523770285371951,USLAB,INFILTRATION_RATE
a65,0.04581816388695015,USLAB,NATURAL_VENT_RATE
a66,0.4367833951777374,USLAB,MECHANICAL_VENT_RATE
a67,-0.009729160333387554,UWIN,UWIN
a68,-0.04132814762484993,UWIN,INFILTRATION_RATE
a69,0.14145479600739996,UWIN,NATURAL_VENT_RATE
a70,-0.3672432292215103,UWIN,MECHANICAL_VENT_RATE
a71,1.067163516678153,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.6668559594903803,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1.3880270751648265,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.3906543379739003,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-0.17030721248435515,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1.2202701712043713,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
