coef,value,var1,var2
a0,0.13194534495517618,BUILDING_WWR,
a1,-1.4426957594921035,ASPECT_RATIO,
a2,-0.09207737603765713,AMPLIF_FACTOR,
a3,17.044253304503567,Shutter,
a4,3.0073674974667313,UROOF,
a5,1.154759596746054,UWALL,
a6,-4.618850832844184,USLAB,
a7,1.3571975927033577,UWIN,
a8,-1.4468307313741755,INFILTRATION_RATE,
a9,-0.2550515281129782,NATURAL_VENT_RATE,
a10,-0.6038828118507976,MECHANICAL_VENT_RATE,
a11,0.0009532577851654456,BUILDING_WWR,BUILDING_WWR
a12,-0.035156979020025125,BUILDING_WWR,ASPECT_RATIO
a13,-0.0005844908681257172,BUILDING_WWR,AMPLIF_FACTOR
a14,0.3538327920886564,BUILDING_WWR,Shutter
a15,-0.012613847518736121,BUILDING_WWR,UROOF
a16,-0.012198229900152513,BUILDING_WWR,UWALL
a17,-0.04544310641096172,BUILDING_WWR,USLAB
a18,-0.0013516386489107052,BUILDING_WWR,UWIN
a19,-0.028602423686349646,BUILDING_WWR,INFILTRATION_RATE
a20,-0.01044333274395956,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.050226329464257036,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.3180931517578884,ASPECT_RATIO,ASPECT_RATIO
a23,0.014619287654032033,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2.970786765413892,ASPECT_RATIO,Shutter
a25,0.05325152088109569,ASPECT_RATIO,UROOF
a26,0.055696156580557266,ASPECT_RATIO,UWALL
a27,0.5136250027897545,ASPECT_RATIO,USLAB
a28,-0.024249274726166378,ASPECT_RATIO,UWIN
a29,0.3253299616497925,ASPECT_RATIO,INFILTRATION_RATE
a30,0.21296933831072945,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.657113778352393,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0007683521905517132,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.10947892074272492,AMPLIF_FACTOR,Shutter
a34,-0.029234976198585727,AMPLIF_FACTOR,UROOF
a35,-0.017856456930688713,AMPLIF_FACTOR,UWALL
a36,0.03391190207735795,AMPLIF_FACTOR,USLAB
a37,-0.0041071091259681225,AMPLIF_FACTOR,UWIN
a38,0.016214793968601482,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.011631782940643376,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.015669012782995928,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2.0349084254655705,Shutter,Shutter
a42,-0.4772093907100101,Shutter,UROOF
a43,-0.1467405396702786,Shutter,UWALL
a44,-4.513294548239603,Shutter,USLAB
a45,0.029343510039049336,Shutter,UWIN
a46,-3.7457295889877757,Shutter,INFILTRATION_RATE
a47,-1.6975746817409711,Shutter,NATURAL_VENT_RATE
a48,-4.204555458135772,Shutter,MECHANICAL_VENT_RATE
a49,0.9642110668368524,UROOF,UROOF
a50,0.06400028267781033,UROOF,UWALL
a51,-1.0494663841027971,UROOF,USLAB
a52,-0.11591886492998338,UROOF,UWIN
a53,-0.9824132489068171,UROOF,INFILTRATION_RATE
a54,-0.1478495445678083,UROOF,NATURAL_VENT_RATE
a55,-0.4953846311867473,UROOF,MECHANICAL_VENT_RATE
a56,0.5366532001971063,UWALL,UWALL
a57,0.0478168275491363,UWALL,USLAB
a58,-0.08721049655024271,UWALL,UWIN
a59,-0.5298438460085044,UWALL,INFILTRATION_RATE
a60,0.011133045946624454,UWALL,NATURAL_VENT_RATE
a61,-0.8317153818297229,UWALL,MECHANICAL_VENT_RATE
a62,1.099487267677973,USLAB,USLAB
a63,-0.030745799569894566,USLAB,UWIN
a64,1.4330927748183908,USLAB,INFILTRATION_RATE
a65,0.5393492899934191,USLAB,NATURAL_VENT_RATE
a66,1.7863030725387747,USLAB,MECHANICAL_VENT_RATE
a67,-0.07555021388037897,UWIN,UWIN
a68,-0.41018103117978083,UWIN,INFILTRATION_RATE
a69,-0.039903315910015724,UWIN,NATURAL_VENT_RATE
a70,-0.4818378440765118,UWIN,MECHANICAL_VENT_RATE
a71,1.1452012844716406,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.2662674469590796,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1.158679036528412,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.39384752195795913,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.5713035122038985,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1.3830832381673241,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
