coef,value,var1,var2
a0,0.13041264633785948,BUILDING_WWR,
a1,-1.198357620081137,ASPECT_RATIO,
a2,-0.095812647514344,AMPLIF_FACTOR,
a3,17.157369707460692,Shutter,
a4,2.874100032372349,UROOF,
a5,1.1137944929535548,UWALL,
a6,-4.719370017684672,USLAB,
a7,1.276837245137993,UWIN,
a8,-1.2139217288241768,INFILTRATION_RATE,
a9,0.020725410366236097,NATURAL_VENT_RATE,
a10,-0.5083478636450082,MECHANICAL_VENT_RATE,
a11,0.0009776512604145263,BUILDING_WWR,BUILDING_WWR
a12,-0.030072556248574106,BUILDING_WWR,ASPECT_RATIO
a13,-0.0005985984809954506,BUILDING_WWR,AMPLIF_FACTOR
a14,0.37659039928271454,BUILDING_WWR,Shutter
a15,-0.014547863434546088,BUILDING_WWR,UROOF
a16,-0.013018710950881668,BUILDING_WWR,UWALL
a17,-0.04952031453907486,BUILDING_WWR,USLAB
a18,-0.000601926952130731,BUILDING_WWR,UWIN
a19,-0.029662877118258435,BUILDING_WWR,INFILTRATION_RATE
a20,-0.0111665898216603,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.05255209929628901,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.22243486395673345,ASPECT_RATIO,ASPECT_RATIO
a23,0.01408401326532055,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2.5710714287963046,ASPECT_RATIO,Shutter
a25,0.07556444473684348,ASPECT_RATIO,UROOF
a26,0.061287066051266714,ASPECT_RATIO,UWALL
a27,0.47816137080498616,ASPECT_RATIO,USLAB
a28,-0.032711168307490934,ASPECT_RATIO,UWIN
a29,0.3085750176867237,ASPECT_RATIO,INFILTRATION_RATE
a30,0.20234686747977382,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.5953186193019482,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0008148696818044421,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.11497349817668479,AMPLIF_FACTOR,Shutter
a34,-0.029513823811917472,AMPLIF_FACTOR,UROOF
a35,-0.01730122493052999,AMPLIF_FACTOR,UWALL
a36,0.035283689079232516,AMPLIF_FACTOR,USLAB
a37,-0.0035796004498607203,AMPLIF_FACTOR,UWIN
a38,0.015305297441429389,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.0110709266237079,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.01571970818538393,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2.1564565328801,Shutter,Shutter
a42,-0.731070904790881,Shutter,UROOF
a43,-0.12702244384196348,Shutter,UWALL
a44,-4.8321404600234,Shutter,USLAB
a45,0.06028661198184415,Shutter,UWIN
a46,-4.016396988193062,Shutter,INFILTRATION_RATE
a47,-1.7762085118588136,Shutter,NATURAL_VENT_RATE
a48,-4.494893219631928,Shutter,MECHANICAL_VENT_RATE
a49,1.0205903926329436,UROOF,UROOF
a50,0.06282706311964159,UROOF,UWALL
a51,-1.0508005015930033,UROOF,USLAB
a52,-0.09997673585178946,UROOF,UWIN
a53,-0.9925959289390985,UROOF,INFILTRATION_RATE
a54,-0.12093690553289509,UROOF,NATURAL_VENT_RATE
a55,-0.5808338496470171,UROOF,MECHANICAL_VENT_RATE
a56,0.5629822549109842,UWALL,UWALL
a57,0.06008337230612578,UWALL,USLAB
a58,-0.08019058560354558,UWALL,UWIN
a59,-0.5756726715198947,UWALL,INFILTRATION_RATE
a60,0.007811512902423934,UWALL,NATURAL_VENT_RATE
a61,-0.8335521426127108,UWALL,MECHANICAL_VENT_RATE
a62,1.1670330442386108,USLAB,USLAB
a63,-0.03773012504574763,USLAB,UWIN
a64,1.5090261850867042,USLAB,INFILTRATION_RATE
a65,0.5615161079100361,USLAB,NATURAL_VENT_RATE
a66,1.9361079867895938,USLAB,MECHANICAL_VENT_RATE
a67,-0.07366239079707237,UWIN,UWIN
a68,-0.4692917541007786,UWIN,INFILTRATION_RATE
a69,-0.03071795304985525,UWIN,NATURAL_VENT_RATE
a70,-0.48198669869540123,UWIN,MECHANICAL_VENT_RATE
a71,1.001424535371055,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.26763764109339583,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,1.4349790195476282,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.5001793399019103,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.5548721379141228,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1.6141565749184268,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
