coef,value,var1,var2
a0,0.1529817329346511,BUILDING_WWR,
a1,-1.881896327473057,ASPECT_RATIO,
a2,-0.08005207983699858,AMPLIF_FACTOR,
a3,20.75508032879069,Shutter,
a4,2.510611286144676,UROOF,
a5,0.5596768416055873,UWALL,
a6,-4.291846307382413,USLAB,
a7,0.6821596233308691,UWIN,
a8,0.1414788204941708,INFILTRATION_RATE,
a9,0.17277510890510397,NATURAL_VENT_RATE,
a10,0.677447296927077,MECHANICAL_VENT_RATE,
a11,0.0013755443868667117,BUILDING_WWR,BUILDING_WWR
a12,-0.04451714080544206,BUILDING_WWR,ASPECT_RATIO
a13,-0.0008835269618611419,BUILDING_WWR,AMPLIF_FACTOR
a14,0.5378198736256043,BUILDING_WWR,Shutter
a15,-0.01852703612436806,BUILDING_WWR,UROOF
a16,-0.014414152055770013,BUILDING_WWR,UWALL
a17,-0.05828504564936238,BUILDING_WWR,USLAB
a18,0.0007792646081647425,BUILDING_WWR,UWIN
a19,-0.0249717464325539,BUILDING_WWR,INFILTRATION_RATE
a20,-0.015018794479325609,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.048534650810660565,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.3845168309111599,ASPECT_RATIO,ASPECT_RATIO
a23,0.020437707477132,ASPECT_RATIO,AMPLIF_FACTOR
a24,-3.818134988668507,ASPECT_RATIO,Shutter
a25,0.09558451284905924,ASPECT_RATIO,UROOF
a26,0.06462538334775189,ASPECT_RATIO,UWALL
a27,0.6859241687045884,ASPECT_RATIO,USLAB
a28,-0.028838259748450057,ASPECT_RATIO,UWIN
a29,0.30946445023296887,ASPECT_RATIO,INFILTRATION_RATE
a30,0.24555727082761591,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.7404476684767294,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0008960202739365999,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.13935474757682131,AMPLIF_FACTOR,Shutter
a34,-0.029022094996224546,AMPLIF_FACTOR,UROOF
a35,-0.02126152907907386,AMPLIF_FACTOR,UWALL
a36,0.03595035058661855,AMPLIF_FACTOR,USLAB
a37,-0.003906301695669967,AMPLIF_FACTOR,UWIN
a38,0.0002309565206974895,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.01101718321686418,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.01807794019235409,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,2.2293977934781486,Shutter,Shutter
a42,-0.7261969446036813,Shutter,UROOF
a43,-0.47570870355098993,Shutter,UWALL
a44,-5.897374776398024,Shutter,USLAB
a45,0.15676504883097075,Shutter,UWIN
a46,-4.585615088477866,Shutter,INFILTRATION_RATE
a47,-1.7584495795163984,Shutter,NATURAL_VENT_RATE
a48,-4.59319734737295,Shutter,MECHANICAL_VENT_RATE
a49,0.9872712049934484,UROOF,UROOF
a50,0.16206504936308974,UROOF,UWALL
a51,-1.0066589913531594,UROOF,USLAB
a52,-0.034110498173268056,UROOF,UWIN
a53,-1.4173756699043278,UROOF,INFILTRATION_RATE
a54,-0.036020982248252786,UROOF,NATURAL_VENT_RATE
a55,-0.518875330775414,UROOF,MECHANICAL_VENT_RATE
a56,0.6188217817767393,UWALL,UWALL
a57,0.16915664397224922,UWALL,USLAB
a58,-0.07079811252478985,UWALL,UWIN
a59,-0.38619210932790415,UWALL,INFILTRATION_RATE
a60,-0.031161617500592764,UWALL,NATURAL_VENT_RATE
a61,-0.635517131851317,UWALL,MECHANICAL_VENT_RATE
a62,1.1023215750632804,USLAB,USLAB
a63,0.022451409732920258,USLAB,UWIN
a64,1.3670851981275696,USLAB,INFILTRATION_RATE
a65,0.39953434703114155,USLAB,NATURAL_VENT_RATE
a66,1.3683809801564941,USLAB,MECHANICAL_VENT_RATE
a67,-0.05331346922996705,UWIN,UWIN
a68,-0.32651836648897037,UWIN,INFILTRATION_RATE
a69,-0.025360518820248812,UWIN,NATURAL_VENT_RATE
a70,-0.10222584726577733,UWIN,MECHANICAL_VENT_RATE
a71,0.8325297421245385,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.13668697567437516,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,0.44248374399629553,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.37497691106435826,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,0.26429240575193036,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-3.5566541126332893,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
