coef,value,var1,var2
a0,0.1567247623258224,BUILDING_WWR,
a1,-1.9464138010298784,ASPECT_RATIO,
a2,-0.07420361258628903,AMPLIF_FACTOR,
a3,23.731245267509966,Shutter,
a4,2.1966847850309965,UROOF,
a5,0.7951490495812139,UWALL,
a6,-4.754807107352253,USLAB,
a7,0.7747348273991771,UWIN,
a8,0.014780700183606041,INFILTRATION_RATE,
a9,0.662788872092904,NATURAL_VENT_RATE,
a10,1.8517752677578678,MECHANICAL_VENT_RATE,
a11,0.0016873478689909127,BUILDING_WWR,BUILDING_WWR
a12,-0.051479951637475437,BUILDING_WWR,ASPECT_RATIO
a13,-0.0009710392988390437,BUILDING_WWR,AMPLIF_FACTOR
a14,0.6362025640279563,BUILDING_WWR,Shutter
a15,-0.024507191412234897,BUILDING_WWR,UROOF
a16,-0.016508596946553683,BUILDING_WWR,UWALL
a17,-0.06547786523625863,BUILDING_WWR,USLAB
a18,0.0010721783125899886,BUILDING_WWR,UWIN
a19,-0.028380690970614075,BUILDING_WWR,INFILTRATION_RATE
a20,-0.014155571167808023,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.05590919729784599,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.4225813638020466,ASPECT_RATIO,ASPECT_RATIO
a23,0.023178470806966223,ASPECT_RATIO,AMPLIF_FACTOR
a24,-4.444907272985812,ASPECT_RATIO,Shutter
a25,0.1098348219464968,ASPECT_RATIO,UROOF
a26,0.04108586395139857,ASPECT_RATIO,UWALL
a27,0.80462566369922,ASPECT_RATIO,USLAB
a28,-0.033595458095835085,ASPECT_RATIO,UWIN
a29,0.36380296033159426,ASPECT_RATIO,INFILTRATION_RATE
a30,0.24693372288386017,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.8301825018221309,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0007969324917765953,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.1528834302326475,AMPLIF_FACTOR,Shutter
a34,-0.029299007179037773,AMPLIF_FACTOR,UROOF
a35,-0.023330430375752442,AMPLIF_FACTOR,UWALL
a36,0.03934532898151577,AMPLIF_FACTOR,USLAB
a37,-0.00484001130742584,AMPLIF_FACTOR,UWIN
a38,0.0006225394808883067,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.010230579110812599,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.015949785466236488,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1.9666343064238534,Shutter,Shutter
a42,-1.2368797378194833,Shutter,UROOF
a43,-0.327531204186582,Shutter,UWALL
a44,-6.749550026646936,Shutter,USLAB
a45,0.16896602621574097,Shutter,UWIN
a46,-5.044654730030436,Shutter,INFILTRATION_RATE
a47,-1.84214117100419,Shutter,NATURAL_VENT_RATE
a48,-5.221259718739638,Shutter,MECHANICAL_VENT_RATE
a49,1.1003709019976489,UROOF,UROOF
a50,0.2082891327536811,UROOF,UWALL
a51,-1.0297090495151462,UROOF,USLAB
a52,-0.011805395279133712,UROOF,UWIN
a53,-1.109967932441256,UROOF,INFILTRATION_RATE
a54,0.005947555807908664,UROOF,NATURAL_VENT_RATE
a55,-0.6338969009828479,UROOF,MECHANICAL_VENT_RATE
a56,0.7593767905797799,UWALL,UWALL
a57,0.09531819857609602,UWALL,USLAB
a58,-0.08586524768424608,UWALL,UWIN
a59,-0.6641106471574211,UWALL,INFILTRATION_RATE
a60,0.017661172880777717,UWALL,NATURAL_VENT_RATE
a61,-0.6480850925155776,UWALL,MECHANICAL_VENT_RATE
a62,1.2191641520142849,USLAB,USLAB
a63,0.02190899955833192,USLAB,UWIN
a64,1.4059668619981798,USLAB,INFILTRATION_RATE
a65,0.518999159919844,USLAB,NATURAL_VENT_RATE
a66,1.5981884690599095,USLAB,MECHANICAL_VENT_RATE
a67,-0.057915334263482166,UWIN,UWIN
a68,-0.4724563474431229,UWIN,INFILTRATION_RATE
a69,-0.0296136533376381,UWIN,NATURAL_VENT_RATE
a70,-0.2095081173163844,UWIN,MECHANICAL_VENT_RATE
a71,0.9474447821616472,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.13944356012098985,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,0.41445863089502283,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.6719971131513107,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,-0.10428082432783514,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-4.0060495579433635,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
