coef,value,var1,var2
a0,0.075543426013289,BUILDING_WWR,
a1,-0.4459693435846559,ASPECT_RATIO,
a2,-0.11138672607036092,AMPLIF_FACTOR,
a3,13.97581339507902,Shutter,
a4,0.6476265225516238,UROOF,
a5,1.559683836462863,UWALL,
a6,-1.189244497871541,USLAB,
a7,0.17677385980760135,UWIN,
a8,-1.0257215200329188,INFILTRATION_RATE,
a9,-0.2916926038146559,NATURAL_VENT_RATE,
a10,-5.061045808173603,MECHANICAL_VENT_RATE,
a11,0.0011744329472112014,BUILDING_WWR,BUILDING_WWR
a12,-0.04176094372659651,BUILDING_WWR,ASPECT_RATIO
a13,-0.0006288204619332412,BUILDING_WWR,AMPLIF_FACTOR
a14,0.4870627868540296,BUILDING_WWR,Shutter
a15,0.016420153463297837,BUILDING_WWR,UROOF
a16,-0.02109189781174877,BUILDING_WWR,UWALL
a17,-0.0302875708076899,BUILDING_WWR,USLAB
a18,0.0006285969646998707,BUILDING_WWR,UWIN
a19,-0.049179047802556386,BUILDING_WWR,INFILTRATION_RATE
a20,-0.013023086924680072,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.05861774126441255,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.304560789176488,ASPECT_RATIO,ASPECT_RATIO
a23,0.01259479156214538,ASPECT_RATIO,AMPLIF_FACTOR
a24,-3.4704318534975593,ASPECT_RATIO,Shutter
a25,-0.2577140969746599,ASPECT_RATIO,UROOF
a26,0.16473190893680817,ASPECT_RATIO,UWALL
a27,0.3335476967162653,ASPECT_RATIO,USLAB
a28,-0.015948579790585005,ASPECT_RATIO,UWIN
a29,0.6339959574552225,ASPECT_RATIO,INFILTRATION_RATE
a30,0.18537563582172217,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.6839734862300932,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0010566300281315,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.12384659534342402,AMPLIF_FACTOR,Shutter
a34,-0.012915896485761635,AMPLIF_FACTOR,UROOF
a35,-0.01341619644413905,AMPLIF_FACTOR,UWALL
a36,0.01729769037954565,AMPLIF_FACTOR,USLAB
a37,-0.002296943541932883,AMPLIF_FACTOR,UWIN
a38,0.024739999885167396,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.016431553062812965,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.025429913057075204,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1.4840900982740861,Shutter,Shutter
a42,1.5850297888583629,Shutter,UROOF
a43,-0.7067307162410115,Shutter,UWALL
a44,-2.908552831097676,Shutter,USLAB
a45,0.01925456143966775,Shutter,UWIN
a46,-5.7156188458607335,Shutter,INFILTRATION_RATE
a47,-2.2387144855156667,Shutter,NATURAL_VENT_RATE
a48,-6.288625737705086,Shutter,MECHANICAL_VENT_RATE
a49,2.6811918019811767,UROOF,UROOF
a50,-0.859863690014909,UROOF,UWALL
a51,-0.48013044797906185,UROOF,USLAB
a52,-0.2612514523536129,UROOF,UWIN
a53,0.3719822598494028,UROOF,INFILTRATION_RATE
a54,-0.7835253968339102,UROOF,NATURAL_VENT_RATE
a55,-0.16563991791638022,UROOF,MECHANICAL_VENT_RATE
a56,0.44902480101792963,UWALL,UWALL
a57,-0.051758656432996375,UWALL,USLAB
a58,0.07015187792261113,UWALL,UWIN
a59,-0.011239545970985226,UWALL,INFILTRATION_RATE
a60,-0.1257118688398246,UWALL,NATURAL_VENT_RATE
a61,-0.5022315732876307,UWALL,MECHANICAL_VENT_RATE
a62,0.41531681320876723,USLAB,USLAB
a63,-0.025682234388735403,USLAB,UWIN
a64,0.3405588072842708,USLAB,INFILTRATION_RATE
a65,0.2164315765325855,USLAB,NATURAL_VENT_RATE
a66,0.5344761386265766,USLAB,MECHANICAL_VENT_RATE
a67,0.057994577291195504,UWIN,UWIN
a68,-0.03435017895087933,UWIN,INFILTRATION_RATE
a69,-0.13336252961133654,UWIN,NATURAL_VENT_RATE
a70,0.2048062808305769,UWIN,MECHANICAL_VENT_RATE
a71,-0.7114839553299976,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.2999477251646857,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.329147720698529,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,0.06130546635221962,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,2.5289659485559506,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-0.5241789358072451,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
