coef,value,var1,var2
a0,0.07647991197705273,BUILDING_WWR,
a1,-0.4695580931214159,ASPECT_RATIO,
a2,-0.09936087363184598,AMPLIF_FACTOR,
a3,11.547580034553473,Shutter,
a4,0.8869994825676617,UROOF,
a5,1.053317695581255,UWALL,
a6,-1.0131291168685455,USLAB,
a7,0.04041499491437976,UWIN,
a8,-0.3845296014384044,INFILTRATION_RATE,
a9,-0.5686568818956298,NATURAL_VENT_RATE,
a10,-4.070283362270885,MECHANICAL_VENT_RATE,
a11,0.0008476918665291377,BUILDING_WWR,BUILDING_WWR
a12,-0.03521772250121832,BUILDING_WWR,ASPECT_RATIO
a13,-0.0005628220636676512,BUILDING_WWR,AMPLIF_FACTOR
a14,0.37701345289580185,BUILDING_WWR,Shutter
a15,0.015872906024739952,BUILDING_WWR,UROOF
a16,-0.017313340917103945,BUILDING_WWR,UWALL
a17,-0.025325992024282575,BUILDING_WWR,USLAB
a18,0.000918445784607369,BUILDING_WWR,UWIN
a19,-0.03945625705998054,BUILDING_WWR,INFILTRATION_RATE
a20,-0.011894036349135079,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.05578217929016527,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.2919504092340592,ASPECT_RATIO,ASPECT_RATIO
a23,0.010926976873030292,ASPECT_RATIO,AMPLIF_FACTOR
a24,-2.756760568882908,ASPECT_RATIO,Shutter
a25,-0.21008035718708828,ASPECT_RATIO,UROOF
a26,0.14281264706114824,ASPECT_RATIO,UWALL
a27,0.2645227509504853,ASPECT_RATIO,USLAB
a28,-0.010709894449903834,ASPECT_RATIO,UWIN
a29,0.46744161447810556,ASPECT_RATIO,INFILTRATION_RATE
a30,0.1733500579075884,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.5606309235837686,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0009163670154234138,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.10790848776184081,AMPLIF_FACTOR,Shutter
a34,-0.016211548681102972,AMPLIF_FACTOR,UROOF
a35,-0.008671773395269144,AMPLIF_FACTOR,UWALL
a36,0.015468520353673243,AMPLIF_FACTOR,USLAB
a37,-0.0013415779904910607,AMPLIF_FACTOR,UWIN
a38,0.0205823622745106,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.015366359702896126,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.016188601292878246,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,1.2483424382141504,Shutter,Shutter
a42,1.6093274769806822,Shutter,UROOF
a43,-0.7098206944568527,Shutter,UWALL
a44,-2.2955317345443564,Shutter,USLAB
a45,0.013419387485402723,Shutter,UWIN
a46,-5.01324502052043,Shutter,INFILTRATION_RATE
a47,-1.9045265199160644,Shutter,NATURAL_VENT_RATE
a48,-5.483406648107758,Shutter,MECHANICAL_VENT_RATE
a49,2.4687065916552107,UROOF,UROOF
a50,-0.8118518344931998,UROOF,UWALL
a51,-0.43572280478726366,UROOF,USLAB
a52,-0.2197951384041274,UROOF,UWIN
a53,0.17735054461683408,UROOF,INFILTRATION_RATE
a54,-0.7893244800246741,UROOF,NATURAL_VENT_RATE
a55,-0.08317126304244153,UROOF,MECHANICAL_VENT_RATE
a56,0.3417802432652095,UWALL,UWALL
a57,-0.01596365838072744,UWALL,USLAB
a58,0.06595305806563756,UWALL,UWIN
a59,0.1495136457555714,UWALL,INFILTRATION_RATE
a60,-0.06680147166405126,UWALL,NATURAL_VENT_RATE
a61,-0.22092541233671956,UWALL,MECHANICAL_VENT_RATE
a62,0.3421372163451992,USLAB,USLAB
a63,-0.018860773722967128,USLAB,UWIN
a64,0.27412493809576816,USLAB,INFILTRATION_RATE
a65,0.21076159957617513,USLAB,NATURAL_VENT_RATE
a66,0.4205622083032422,USLAB,MECHANICAL_VENT_RATE
a67,0.05437427178678256,UWIN,UWIN
a68,0.021605196162204687,UWIN,INFILTRATION_RATE
a69,-0.11787496735711112,UWIN,NATURAL_VENT_RATE
a70,0.21380891077145087,UWIN,MECHANICAL_VENT_RATE
a71,-1.0672555883775336,INFILTRATION_RATE,INFILTRATION_RATE
a72,0.23162485594972654,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,3.0238779564903133,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,0.18893019341490702,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,2.218920412587946,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-0.7278146635783955,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
