coef,value,var1,var2
a0,0.06273349643525648,BUILDING_WWR,
a1,-0.6622856118718147,ASPECT_RATIO,
a2,-0.10610913283413159,AMPLIF_FACTOR,
a3,25.24106948192879,Shutter,
a4,-3.099110861764876,UROOF,
a5,0.5044381765339683,UWALL,
a6,-0.8965081001121289,USLAB,
a7,0.37806789838094934,UWIN,
a8,2.783076643104493,INFILTRATION_RATE,
a9,0.764593745933926,NATURAL_VENT_RATE,
a10,-3.786735367799022,MECHANICAL_VENT_RATE,
a11,0.0017441468478975042,BUILDING_WWR,BUILDING_WWR
a12,-0.07094688259889692,BUILDING_WWR,ASPECT_RATIO
a13,-0.0006773942936537623,BUILDING_WWR,AMPLIF_FACTOR
a14,0.8418401838635179,BUILDING_WWR,Shutter
a15,0.05363617549308383,BUILDING_WWR,UROOF
a16,-0.02094259806879928,BUILDING_WWR,UWALL
a17,-0.042454214659628786,BUILDING_WWR,USLAB
a18,0.0026579728413979598,BUILDING_WWR,UWIN
a19,-0.04683588913727377,BUILDING_WWR,INFILTRATION_RATE
a20,-0.010502009845436033,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.04156240434389946,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.6385911818738862,ASPECT_RATIO,ASPECT_RATIO
a23,0.013512208662881775,ASPECT_RATIO,AMPLIF_FACTOR
a24,-6.075270463152644,ASPECT_RATIO,Shutter
a25,-0.5273296512928793,ASPECT_RATIO,UROOF
a26,0.33226192562141216,ASPECT_RATIO,UWALL
a27,0.482417544204795,ASPECT_RATIO,USLAB
a28,-0.010877931855444833,ASPECT_RATIO,UWIN
a29,0.7601599193055788,ASPECT_RATIO,INFILTRATION_RATE
a30,0.11087538981527434,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.5540472902234435,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0009275035160579703,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.18296127922183514,AMPLIF_FACTOR,Shutter
a34,0.00020208279269340323,AMPLIF_FACTOR,UROOF
a35,-0.01389523077591015,AMPLIF_FACTOR,UWALL
a36,0.02181086387221942,AMPLIF_FACTOR,USLAB
a37,-0.0011528994136238424,AMPLIF_FACTOR,UWIN
a38,0.0022270995936430893,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.014568093835469087,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.004690411939167749,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,-4.350460902352835,Shutter,Shutter
a42,3.1952368393565145,Shutter,UROOF
a43,-1.3931560682482087,Shutter,UWALL
a44,-4.29551466634462,Shutter,USLAB
a45,0.19812787449278224,Shutter,UWIN
a46,-5.937644100937857,Shutter,INFILTRATION_RATE
a47,-2.1547014046699773,Shutter,NATURAL_VENT_RATE
a48,-6.154214117618524,Shutter,MECHANICAL_VENT_RATE
a49,3.809901026806837,UROOF,UROOF
a50,-0.573618051671879,UROOF,UWALL
a51,-0.3694763865837376,UROOF,USLAB
a52,-0.2919802156584519,UROOF,UWIN
a53,0.030970943578832066,UROOF,INFILTRATION_RATE
a54,-0.8508692130814255,UROOF,NATURAL_VENT_RATE
a55,-0.08802730273245163,UROOF,MECHANICAL_VENT_RATE
a56,0.66409765043784,UWALL,UWALL
a57,0.06496705877649678,UWALL,USLAB
a58,0.009318015928477141,UWALL,UWIN
a59,0.013585079171946624,UWALL,INFILTRATION_RATE
a60,-0.06291702538284438,UWALL,NATURAL_VENT_RATE
a61,-0.35675922825964734,UWALL,MECHANICAL_VENT_RATE
a62,0.30949324803130285,USLAB,USLAB
a63,0.00910781097382296,USLAB,UWIN
a64,-0.026966141957175838,USLAB,INFILTRATION_RATE
a65,0.26207182486393954,USLAB,NATURAL_VENT_RATE
a66,0.6117084877245886,USLAB,MECHANICAL_VENT_RATE
a67,-0.0007599667943023469,UWIN,UWIN
a68,-0.1103814404203165,UWIN,INFILTRATION_RATE
a69,-0.0759850127992681,UWIN,NATURAL_VENT_RATE
a70,0.1466009484481468,UWIN,MECHANICAL_VENT_RATE
a71,-1.978217058004565,INFILTRATION_RATE,INFILTRATION_RATE
a72,-0.012315446916207784,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,0.5439903657702474,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.3825060117184286,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,2.726012383984505,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-1.7415261605941685,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
