coef,value,var1,var2
a0,0.06086616189244617,BUILDING_WWR,
a1,-0.5959499852192033,ASPECT_RATIO,
a2,-0.10947191011869177,AMPLIF_FACTOR,
a3,24.748120171435694,Shutter,
a4,-3.1760270381552207,UROOF,
a5,0.5459572554973081,UWALL,
a6,-0.8833783411745915,USLAB,
a7,0.3991856897591085,UWIN,
a8,2.7728291447905646,INFILTRATION_RATE,
a9,0.9418019138997243,NATURAL_VENT_RATE,
a10,-3.6179995691433855,MECHANICAL_VENT_RATE,
a11,0.001755084952912822,BUILDING_WWR,BUILDING_WWR
a12,-0.07153623223226101,BUILDING_WWR,ASPECT_RATIO
a13,-0.0006861879924176945,BUILDING_WWR,AMPLIF_FACTOR
a14,0.8430968964690341,BUILDING_WWR,Shutter
a15,0.05364386546115066,BUILDING_WWR,UROOF
a16,-0.02198071637237914,BUILDING_WWR,UWALL
a17,-0.04255768635110946,BUILDING_WWR,USLAB
a18,0.002623619655074766,BUILDING_WWR,UWIN
a19,-0.045954066066231314,BUILDING_WWR,INFILTRATION_RATE
a20,-0.009387187706094369,BUILDING_WWR,NATURAL_VENT_RATE
a21,-0.04201456957501204,BUILDING_WWR,MECHANICAL_VENT_RATE
a22,0.6396024921079269,ASPECT_RATIO,ASPECT_RATIO
a23,0.013771662995436695,ASPECT_RATIO,AMPLIF_FACTOR
a24,-6.117292132107269,ASPECT_RATIO,Shutter
a25,-0.5271406368840231,ASPECT_RATIO,UROOF
a26,0.340950965049462,ASPECT_RATIO,UWALL
a27,0.4841703977688496,ASPECT_RATIO,USLAB
a28,-0.012559325880240113,ASPECT_RATIO,UWIN
a29,0.7423827141697755,ASPECT_RATIO,INFILTRATION_RATE
a30,0.09478032262203717,ASPECT_RATIO,NATURAL_VENT_RATE
a31,0.5649039783519804,ASPECT_RATIO,MECHANICAL_VENT_RATE
a32,0.0009981673072719244,AMPLIF_FACTOR,AMPLIF_FACTOR
a33,-0.18132258551111446,AMPLIF_FACTOR,Shutter
a34,-0.0003279618590692479,AMPLIF_FACTOR,UROOF
a35,-0.014868435301234939,AMPLIF_FACTOR,UWALL
a36,0.02195906268127651,AMPLIF_FACTOR,USLAB
a37,-0.0014485940454438406,AMPLIF_FACTOR,UWIN
a38,0.002906470221102353,AMPLIF_FACTOR,INFILTRATION_RATE
a39,0.014676923253293062,AMPLIF_FACTOR,NATURAL_VENT_RATE
a40,0.006060204309326078,AMPLIF_FACTOR,MECHANICAL_VENT_RATE
a41,-3.915394594151851,Shutter,Shutter
a42,3.2388619469149598,Shutter,UROOF
a43,-1.4206877817752175,Shutter,UWALL
a44,-4.260907107562746,Shutter,USLAB
a45,0.1757698803438861,Shutter,UWIN
a46,-5.981844710811055,Shutter,INFILTRATION_RATE
a47,-2.143536638571123,Shutter,NATURAL_VENT_RATE
a48,-6.277811307393931,Shutter,MECHANICAL_VENT_RATE
a49,3.812236918573007,UROOF,UROOF
a50,-0.5471593314524688,UROOF,UWALL
a51,-0.37756593402393346,UROOF,USLAB
a52,-0.27393603217322526,UROOF,UWIN
a53,0.10526790189683077,UROOF,INFILTRATION_RATE
a54,-0.8773824478386263,UROOF,NATURAL_VENT_RATE
a55,-0.1144644278360103,UROOF,MECHANICAL_VENT_RATE
a56,0.654301201854341,UWALL,UWALL
a57,0.06600778999939781,UWALL,USLAB
a58,0.020571730143513545,UWALL,UWIN
a59,-0.0018000557997234976,UWALL,INFILTRATION_RATE
a60,-0.06001582118734694,UWALL,NATURAL_VENT_RATE
a61,-0.3721311599266007,UWALL,MECHANICAL_VENT_RATE
a62,0.30790047504271456,USLAB,USLAB
a63,0.0017715396304947006,USLAB,UWIN
a64,-0.0063333351739671695,USLAB,INFILTRATION_RATE
a65,0.2617732157477244,USLAB,NATURAL_VENT_RATE
a66,0.6231886273378654,USLAB,MECHANICAL_VENT_RATE
a67,-0.002776111141301829,UWIN,UWIN
a68,-0.11333330688285415,UWIN,INFILTRATION_RATE
a69,-0.08413579512884883,UWIN,NATURAL_VENT_RATE
a70,0.1369437789616736,UWIN,MECHANICAL_VENT_RATE
a71,-2.0662836593580294,INFILTRATION_RATE,INFILTRATION_RATE
a72,-0.02781471754857978,INFILTRATION_RATE,NATURAL_VENT_RATE
a73,0.548387207312925,INFILTRATION_RATE,MECHANICAL_VENT_RATE
a74,-0.44907372594276707,NATURAL_VENT_RATE,NATURAL_VENT_RATE
a75,2.7410648360217245,NATURAL_VENT_RATE,MECHANICAL_VENT_RATE
a76,-2.0503122327308025,MECHANICAL_VENT_RATE,MECHANICAL_VENT_RATE
