,nom motif,a0,a1,a2,a12
4,sol asphalte,0.616302201811161,-0.567320421060463,0.604261783851686,-0.564168002572556
1,sol terre,0.0120294299085834,-0.00344183064912976,-0.00913995293322903,0.00300404037305722
3,sol pelouse,0.0020199622809933,-0.000665129807673763,0.000411730479291315,-0.000146070541233185
14,arbre isole asphalte,0.00149233285664738,-0.000775722359842437,-0.000629608745982017,-1.68687668783352E-05
11,arbre isole terre,0.00105609679430272,-0.000740687630875437,0.000601913055046758,-0.000417972796394255
13,arbre isole pelouse,0.00204826008915525,-0.00119390633099207,0.000407950001763492,-0.000195625032612598
24,boise asphalte,0.0095354303366143,-0.00713760965628965,0.0035075669658084,-0.00130787580222148
21,boise terre,0.0110270241720273,-0.00738608082207494,0.00252595351471598,-0.000784214285043361
23,boise pelouse,0.0127881706881536,-0.00748682081400627,0.00191417208936471,-0.000866651593697869
34,foret asphalte,0.0377976043801611,-0.023672859388678,0.00359154065771088,0.000126907117409067
31,foret terre,0.038193493458065,-0.0229491602906659,0.0034220650952427,-0.000175651080246326
33,foret pelouse,0.0385231575961782,-0.0221590744330968,0.00290921480771224,-0.00066896919064684
